#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,14.227271,6.481572,0.002126,9.647377,7.281393,0.001623,23.418547
1403715273312143104.000000,0.000000,0.000000,11.783939,4.802578,0.058928,5.264900,5.539851,0.000674,19.229097
1403715273362142976.000000,0.000000,0.000000,10.472362,4.911956,0.042138,4.504439,5.269357,0.000456,17.897388
1403715273412143104.000000,0.000000,0.000000,12.357838,7.976750,0.074503,4.158081,4.757068,0.000360,23.798683
1403715273462142976.000000,0.000000,0.000000,13.253006,5.785341,0.048694,5.018253,5.012014,3.524490,22.037869
1403715273512143104.000000,0.000000,0.000000,14.125106,10.474187,0.091428,5.447676,5.764678,0.000562,28.129600
1403715273562142976.000000,0.000000,0.000000,13.395430,11.355696,0.089653,4.901192,5.594274,0.000564,28.393520
1403715273612143104.000000,0.000000,0.000000,14.570906,16.470964,0.163706,6.710175,7.591564,0.000616,35.053928
1403715273662142976.000000,0.000000,0.000000,11.809409,12.276009,0.086956,4.254439,5.844604,0.000581,27.797303
1403715273712143104.000000,0.000000,0.000000,13.383689,11.675424,0.087907,5.927795,6.638467,3.511259,28.203455
1403715273762142976.000000,0.000000,0.000000,14.229852,10.601979,0.043487,5.440673,6.120015,0.000554,28.050084
1403715273812143104.000000,0.000000,0.000000,11.563831,11.707279,0.089121,4.128904,5.674917,0.000535,26.884644
1403715273862142976.000000,0.000000,0.000000,11.914760,10.815386,0.044779,3.752673,5.235111,0.000424,25.797798
1403715273912143104.000000,0.000000,0.000000,11.975716,11.941665,0.100976,3.478734,5.236625,0.000483,26.962071
1403715273962142976.000000,0.000000,0.000000,12.996966,8.864327,0.046686,4.973092,7.383650,2.610658,24.408335
1403715274012143104.000000,0.000000,0.000000,11.517367,4.975363,0.043993,7.459404,7.123867,0.000545,19.183170
1403715274062142976.000000,0.000000,0.000000,11.846662,11.542661,0.050024,4.518123,5.994252,0.000579,25.892893
1403715274112143104.000000,0.000000,0.000000,10.668583,5.427792,0.045251,6.212859,7.932286,0.000495,19.467415
1403715274162142976.000000,0.000000,0.000000,12.795954,10.955999,0.089045,4.394467,5.449061,0.000546,26.883225
1403715274212143104.000000,0.000000,0.000000,13.148924,5.137846,0.044344,4.239290,5.522876,2.617905,20.875796
1403715274262142976.000000,0.000000,0.000000,12.711161,9.781841,0.070940,7.477634,6.190497,0.000469,25.312105
1403715274312143104.000000,0.000000,0.000000,12.178134,4.678714,0.046159,6.086191,7.356585,0.000588,19.895404
1403715274362142976.000000,0.000000,0.000000,11.642961,4.702180,0.070254,4.846187,5.983089,0.000436,18.897943
1403715274412143104.000000,0.000000,0.000000,12.681414,12.003232,0.098521,6.381402,5.293322,0.000495,28.358321
1403715274462142976.000000,0.000000,0.000000,11.553901,11.115986,0.045756,6.029898,6.967166,3.648480,26.066472
1403715274512143104.000000,0.000000,0.000000,12.511164,11.683951,0.100801,6.100552,5.578445,0.000734,28.006481
1403715274562142976.000000,0.000000,0.000000,14.879084,5.484568,0.049372,5.464524,7.659270,0.001079,23.040799
1403715274612143104.000000,0.000000,0.000000,12.331919,8.114271,0.074591,5.074053,6.085287,0.000531,23.436931
1403715274662142976.000000,0.000000,0.000000,14.904432,12.052200,0.086724,4.926630,5.942448,0.000609,30.639927
1403715274712143104.000000,0.000000,0.000000,12.307612,12.294716,0.091478,5.296737,5.217559,2.270667,27.659199
1403715274762142976.000000,0.000000,0.000000,12.064815,12.322662,0.093515,5.609313,5.653382,0.000458,27.656589
1403715274812143104.000000,0.000000,0.000000,13.844907,10.488903,0.098311,5.474576,5.751156,0.000956,28.075563
1403715274862142976.000000,0.000000,0.000000,12.395759,4.652431,0.049390,4.758111,5.853468,0.000447,20.163897
1403715274912143104.000000,0.000000,0.000000,11.846889,4.658002,0.052560,4.727717,6.147553,0.000468,19.299763
1403715274962142976.000000,0.000000,0.000000,12.057505,12.300146,0.115738,4.894251,8.022769,3.381099,27.445162
1403715275012143104.000000,0.000000,0.000000,11.453804,5.181530,0.046626,7.462068,7.019087,0.000620,20.030762
