#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007276,3,1,0,1751
0.001454,4,1,0,2275
0.352394,5,1,0,2780
0.543144,6,1,0,3274
1.267406,7,1,0,3717
0.992975,8,1,0,4179
1.366158,9,1,0,4547
2.154017,10,1,0,4926
3.067205,0,0,0,0
60.004527,0,0,0,0
2.227086,0,0,0,0
3.836229,0,0,0,0
3.527292,0,0,0,0
3.640588,0,0,0,0
4.220694,0,0,0,0
4.701712,0,0,0,0
5.195176,0,0,0,0
5.278881,0,0,0,0
6.130394,0,0,0,0
6.647538,0,0,0,0
7.144697,0,0,0,0
8.439182,0,0,0,0
8.035484,0,0,0,0
10.323588,0,0,0,0
7.360943,0,0,0,0
6.914116,0,0,0,0
10.856173,0,0,0,0
8.458582,0,0,0,0
13.539226,0,0,0,0
7.616788,0,0,0,0
8.719503,0,0,0,0
9.577456,0,0,0,0
9.528444,0,0,0,0
7.138430,0,0,0,0
10.339686,0,0,0,0
9.130248,0,0,0,0
10.536513,0,0,0,0
8.508613,0,0,0,0
6.906669,0,0,0,0
8.707409,0,0,0,0
8.867598,0,0,0,0
9.206369,0,0,0,0
7.019856,0,0,0,0
9.592402,0,0,0,0
9.872867,0,0,0,0
7.536489,0,0,0,0
7.151563,0,0,0,0
8.692892,0,0,0,0
7.134481,0,0,0,0
5.852683,0,0,0,0
8.136451,0,0,0,0
5.679381,0,0,0,0
9.331532,0,0,0,0
5.476052,0,0,0,0
5.652682,0,0,0,0
6.245115,0,0,0,0
8.053167,0,0,0,0
4.777245,0,0,0,0
6.414024,0,0,0,0
6.122131,0,0,0,0
4.572441,0,0,0,0
4.812627,0,0,0,0
5.323274,0,0,0,0
6.525845,0,0,0,0
5.820731,0,0,0,0
6.108913,0,0,0,0
6.710653,0,0,0,0
6.683923,0,0,0,0
4.780548,0,0,0,0
4.591646,0,0,0,0
5.818914,0,0,0,0
5.750379,0,0,0,0
3.807248,0,0,0,0
3.697326,0,0,0,0
2.390226,0,0,0,0
2.235800,0,0,0,0
2.860290,0,0,0,0
2.273748,0,0,0,0
2.787423,0,0,0,0
3.727642,0,0,0,0
6.242073,0,0,0,0
2.780538,0,0,0,0
2.314867,0,0,0,0
2.929301,0,0,0,0
3.014364,0,0,0,0
3.906252,0,0,0,0
4.065306,0,0,0,0
4.123307,0,0,0,0
3.080551,0,0,0,0
4.368573,0,0,0,0
3.602205,0,0,0,0
4.429448,0,0,0,0
4.022839,0,0,0,0
4.645426,0,0,0,0
5.192391,0,0,0,0
6.848323,0,0,0,0
6.628449,0,0,0,0
6.825798,0,0,0,0
6.123329,0,0,0,0
7.041340,0,0,0,0
6.889543,0,0,0,0
8.378420,0,0,0,0
9.205704,0,0,0,0
7.620775,0,0,0,0
8.929505,0,0,0,0
11.008962,0,0,0,0
13.064391,0,0,0,0
8.263594,0,0,0,0
11.395183,0,0,0,0
10.894020,0,0,0,0
13.902735,0,0,0,0
9.310667,0,0,0,0
11.812390,0,0,0,0
8.905472,0,0,0,0
10.118028,0,0,0,0
12.636433,0,0,0,0
10.711710,0,0,0,0
10.101841,0,0,0,0
10.390960,0,0,0,0
10.231786,0,0,0,0
11.076039,0,0,0,0
9.266423,0,0,0,0
10.207571,0,0,0,0
10.560227,0,0,0,0
11.071782,0,0,0,0
9.086169,0,0,0,0
11.107547,0,0,0,0
9.178770,0,0,0,0
10.363249,0,0,0,0
9.892136,0,0,0,0
12.530244,0,0,0,0
8.942216,0,0,0,0
9.306965,0,0,0,0
11.803998,0,0,0,0
8.629456,0,0,0,0
11.696395,0,0,0,0
8.512004,0,0,0,0
7.692053,0,0,0,0
7.495532,0,0,0,0
8.847708,0,0,0,0
6.985819,0,0,0,0
5.639473,0,0,0,0
8.078062,0,0,0,0
7.144795,0,0,0,0
6.153571,0,0,0,0
6.857791,0,0,0,0
8.217162,0,0,0,0
7.649007,0,0,0,0
11.717849,0,0,0,0
10.601378,0,0,0,0
7.183303,0,0,0,0
10.181016,0,0,0,0
7.623128,0,0,0,0
8.576348,0,0,0,0
9.232680,0,0,0,0
8.652648,0,0,0,0
7.614374,0,0,0,0
6.972273,0,0,0,0
7.508089,0,0,0,0
5.669798,0,0,0,0
4.382071,0,0,0,0
5.328049,0,0,0,0
5.714516,0,0,0,0
5.212055,0,0,0,0
4.479079,0,0,0,0
5.588040,0,0,0,0
5.934634,0,0,0,0
4.731336,0,0,0,0
5.446144,0,0,0,0
7.277565,0,0,0,0
6.719161,0,0,0,0
5.817821,0,0,0,0
5.665702,0,0,0,0
6.140971,0,0,0,0
7.935261,0,0,0,0
7.298757,0,0,0,0
5.926710,0,0,0,0
6.535397,0,0,0,0
4.312017,0,0,0,0
5.362547,0,0,0,0
5.612041,0,0,0,0
4.901225,0,0,0,0
4.178843,0,0,0,0
6.276240,0,0,0,0
5.964265,0,0,0,0
6.258641,0,0,0,0
5.342058,0,0,0,0
5.879980,0,0,0,0
6.275728,0,0,0,0
7.041818,0,0,0,0
8.521306,0,0,0,0
8.989967,0,0,0,0
6.213410,0,0,0,0
5.838629,0,0,0,0
8.767700,0,0,0,0
7.303473,0,0,0,0
7.130778,0,0,0,0
5.899012,0,0,0,0
5.018784,0,0,0,0
6.584084,0,0,0,0
7.289138,0,0,0,0
5.805644,0,0,0,0
7.099788,0,0,0,0
8.103113,0,0,0,0
5.914531,0,0,0,0
7.117705,0,0,0,0
6.965382,0,0,0,0
6.503237,0,0,0,0
5.225264,0,0,0,0
7.838962,0,0,0,0
6.309459,0,0,0,0
5.742170,0,0,0,0
9.344857,0,0,0,0
6.377265,0,0,0,0
5.945130,0,0,0,0
8.223761,0,0,0,0
6.220960,0,0,0,0
6.252221,0,0,0,0
7.552438,0,0,0,0
6.932427,0,0,0,0
7.010413,0,0,0,0
8.541343,0,0,0,0
8.080653,0,0,0,0
7.840809,0,0,0,0
9.486761,0,0,0,0
10.500090,0,0,0,0
6.282783,0,0,0,0
14.333093,0,0,0,0
8.574974,0,0,0,0
11.468769,0,0,0,0
5.459067,0,0,0,0
6.556107,0,0,0,0
7.326674,0,0,0,0
5.217033,0,0,0,0
4.819742,0,0,0,0
6.605550,0,0,0,0
6.061470,0,0,0,0
5.591218,0,0,0,0
6.678836,0,0,0,0
5.721955,0,0,0,0
5.635847,0,0,0,0
9.255026,0,0,0,0
5.933244,0,0,0,0
8.000788,0,0,0,0
6.067542,0,0,0,0
9.889388,0,0,0,0
6.081182,0,0,0,0
7.968972,0,0,0,0
9.055680,0,0,0,0
9.178729,0,0,0,0
12.866699,0,0,0,0
13.176962,0,0,0,0
15.712997,0,0,0,0
13.480459,0,0,0,0
25.877964,0,0,0,0
12.296832,0,0,0,0
12.499626,0,0,0,0
7.554364,0,0,0,0
7.923473,0,0,0,0
6.269420,0,0,0,0
8.783509,0,0,0,0
7.709715,0,0,0,0
6.639347,0,0,0,0
7.490229,0,0,0,0
5.676710,0,0,0,0
4.501448,0,0,0,0
6.723784,0,0,0,0
8.556626,0,0,0,0
3.555269,0,0,0,0
8.280617,0,0,0,0
7.883326,0,0,0,0
7.546972,0,0,0,0
6.313638,0,0,0,0
6.894559,0,0,0,0
8.064111,0,0,0,0
6.634798,0,0,0,0
6.627783,0,0,0,0
11.656586,0,0,0,0
6.742560,0,0,0,0
13.273937,0,0,0,0
9.660892,0,0,0,0
8.964457,0,0,0,0
9.363880,0,0,0,0
10.557285,0,0,0,0
9.045874,0,0,0,0
10.536948,0,0,0,0
11.349761,0,0,0,0
8.672455,0,0,0,0
10.716356,0,0,0,0
10.191420,0,0,0,0
10.703250,0,0,0,0
10.697711,0,0,0,0
7.085053,0,0,0,0
9.765337,0,0,0,0
10.256295,0,0,0,0
8.705993,0,0,0,0
9.769420,0,0,0,0
9.510572,0,0,0,0
8.386292,0,0,0,0
8.951564,0,0,0,0
9.074554,0,0,0,0
7.206247,0,0,0,0
