#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.163307,0.086205,0.855309,0.009303,0.009303,8.122514
5.575879,0.168297,2.727651,0.002753,0.002753,8.476743
6.824473,0.278005,7.460200,0.441085,0.441085,41.695010
7.364532,0.401795,7.685036,1.043891,1.043891,57.081222
7.301756,0.164565,6.469769,1.012045,1.012045,39.563422
9.049828,0.252895,12.146637,1.381351,1.381351,62.836802
7.101476,0.134025,8.038487,1.267931,1.267931,51.492216
6.900288,0.235438,11.897333,1.954791,1.954791,66.204616
8.647803,0.459747,18.667387,1.550469,1.550469,58.710479
7.507630,0.125225,10.105962,54.408462,54.408462,108.876173
5.317074,0.131338,10.520712,1.877050,1.877050,58.883127
7.455552,0.122258,10.386300,2.207335,2.207335,54.131191
11.279355,0.314214,25.289909,2.351812,2.351812,87.268759
11.130438,0.249021,16.897787,2.608937,2.608937,75.380204
8.216350,0.213219,13.260663,2.530369,2.530369,71.047478
9.955016,0.185117,10.581865,2.879553,2.879553,70.902491
8.740260,0.473513,25.272902,3.713285,3.713285,118.385083
8.020318,0.309500,20.520251,3.392755,3.392755,97.029779
11.629178,0.471387,35.802203,3.506686,3.506686,118.557757
7.997746,0.198822,21.753955,5.487888,5.487888,108.318840
5.575848,0.196176,17.518021,4.293319,4.293319,94.962181
6.453964,0.170005,20.796700,4.728336,4.728336,120.078969
9.813557,0.195448,25.646679,4.833879,4.833879,116.529346
12.278075,0.356976,38.626474,5.104533,5.104533,129.454842
7.855982,0.175122,25.653970,4.888687,4.888687,119.228955
13.637734,0.400402,35.338964,5.043269,5.043269,222.899878
8.697020,0.252715,23.904818,4.987125,4.987125,114.803148
12.541869,0.444495,36.987550,5.508766,5.508766,126.455721
7.915153,0.230640,21.998893,4.675032,4.675032,102.521051
6.550173,0.181459,18.287904,5.006866,5.006866,97.222691
6.517413,0.188750,20.565759,4.273342,4.273342,113.197252
7.419893,0.242094,21.368624,5.265960,5.265960,115.481988
4.672068,0.186341,14.423706,5.145757,5.145757,92.714880
4.672281,0.247156,13.801468,6.386611,6.386611,97.345643
4.934886,0.121138,13.920532,5.899898,5.899898,99.176403
4.291391,0.110188,12.730409,6.997366,6.997366,100.893148
5.546179,0.113580,12.078083,5.747424,5.747424,92.839289
6.838945,0.214141,28.151595,4.303482,4.303482,119.901043
8.759470,0.280758,24.872677,5.433530,5.433530,121.790724
7.258358,0.230997,20.752861,4.592914,4.592914,113.864699
8.256874,0.369446,28.085004,3.226823,3.226823,120.744743
7.175694,0.294124,21.773211,5.047221,5.047221,123.984365
9.730954,0.437854,30.826319,3.830436,3.830436,117.204777
8.199013,0.316805,24.204536,4.238822,4.238822,120.881635
5.827509,0.227431,13.167570,3.685417,3.685417,99.680084
4.578390,0.266413,12.693944,2.890609,2.890609,96.278272
4.021214,0.196848,12.847096,1.760347,1.760347,82.693658
3.406118,0.202256,9.892628,1.996324,1.996324,94.840298
4.991369,0.178080,9.097776,1.502650,1.502650,82.585916
4.758715,0.212301,11.561751,3.163880,3.163880,91.324843
4.351890,0.179114,11.912965,5.208663,5.208663,93.427909
5.585372,0.179178,17.032531,3.579908,3.579908,111.036594
7.555967,0.271970,18.909612,3.859623,3.859623,116.163028
6.383245,0.310743,22.217250,3.959094,3.959094,118.105181
4.894184,0.339426,20.314026,2.276366,2.276366,111.807127
2.004816,0.255693,7.546315,2.112316,2.112316,53.427184
3.677438,0.398608,11.130842,1.730813,1.730813,113.165253
2.782377,0.119169,8.139662,2.639734,2.639734,55.610951
4.958297,0.275106,14.660750,2.283936,2.283936,58.020360
8.574338,0.296924,33.651397,4.715295,4.715295,120.339809
5.812577,0.206173,16.496081,4.576343,4.576343,104.055030
8.046903,0.286701,23.636344,3.462383,3.462383,114.977719
7.717944,0.308043,21.689367,4.230570,4.230570,109.519047
5.758932,0.278982,17.233180,3.022475,3.022475,108.120814
5.937161,0.254900,24.326828,1.835795,1.835795,111.951024
6.563119,0.337283,26.070026,2.904727,2.904727,107.734457
4.290142,0.213591,13.755553,3.805688,3.805688,96.966814
5.158965,0.159977,16.526347,3.608614,3.608614,95.545104
4.474977,0.204206,17.150097,5.106050,5.106050,111.600403
5.494683,0.200937,23.193793,5.072026,5.072026,110.612265
7.375909,0.285244,25.250972,5.128244,5.128244,117.887239
4.847972,0.203691,15.859704,5.883747,5.883747,99.265757
4.101945,0.172106,12.817697,4.507274,4.507274,92.836432
11.190457,0.284525,38.140387,4.752915,4.752915,132.243046
12.350010,0.377026,47.559293,3.638273,3.638273,144.459333
6.847284,0.170808,25.082233,3.923231,3.923231,108.523642
6.310524,0.208949,23.991193,3.289972,3.289972,114.972660
8.767755,0.232007,30.397935,4.711263,4.711263,122.290558
7.879554,0.199042,25.818101,4.802239,4.802239,112.211210
6.908224,0.173561,26.445413,3.900156,3.900156,115.571095
7.929696,0.277274,26.549955,5.027843,5.027843,133.148638
8.280624,0.230799,26.120238,4.047771,4.047771,117.115280
8.983097,0.260923,27.768641,3.867444,3.867444,120.464044
7.403727,0.254730,26.977765,5.280278,5.280278,120.566763
7.965569,0.260174,26.685343,5.122115,5.122115,118.346040
7.031436,0.299757,26.030147,3.738520,3.738520,115.716308
6.398152,0.527515,23.383280,5.621801,5.621801,121.540430
5.554059,0.245560,19.358379,4.343838,4.343838,108.889463
9.868728,0.389395,40.227829,4.828995,4.828995,141.637947
4.530707,0.128640,13.899025,6.121042,6.121042,104.064325
5.131952,0.157874,20.061898,4.133926,4.133926,111.492832
6.277370,0.193416,21.441036,4.909573,4.909573,123.037337
6.417495,0.277983,23.955885,4.804403,4.804403,345.682035
4.300788,0.290723,11.980104,4.812456,4.812456,97.177132
5.731500,0.492950,12.320815,3.809538,3.809538,115.453420
7.189962,0.438103,16.994639,3.128057,3.128057,117.383689
8.456900,0.651850,24.734116,4.119026,4.119026,130.852033
10.931386,0.656833,24.786768,3.000027,3.000027,133.726864
8.315451,0.342311,11.704609,2.692343,2.692343,104.993126
11.404892,0.372160,23.698870,2.115203,2.115203,135.521175
6.960889,0.273283,14.908659,2.148180,2.148180,117.482476
11.106769,0.421552,36.269791,3.024741,3.024741,159.359419
13.111727,0.611675,33.629076,5.761292,5.761292,153.078741
8.003963,0.222904,15.342852,3.657278,3.657278,124.947447
7.613791,0.164699,16.244223,4.361305,4.361305,126.418855
6.758434,0.206345,13.838923,4.222500,4.222500,127.389763
12.219369,0.445188,32.668989,5.424840,5.424840,181.303882
11.303025,0.437751,32.021674,5.054635,5.054635,179.745197
9.128663,0.533909,23.584737,5.178593,5.178593,153.040419
6.484919,0.211464,20.700655,5.187043,5.187043,149.849315
7.171260,0.242522,17.825240,5.676188,5.676188,150.429341
13.337890,0.490838,29.305122,6.647819,6.647819,181.632564
8.226316,0.250082,23.194102,5.668725,5.668725,152.630029
11.949619,0.389278,28.004060,7.190081,7.190081,178.156699
8.406168,0.284504,19.064183,5.775675,5.775675,153.308432
7.922814,0.193791,20.082948,8.079129,8.079129,157.661271
7.013369,0.314545,24.024330,5.734274,5.734274,157.070361
6.786609,0.182418,19.894271,5.876506,5.876506,152.678504
5.579920,0.250674,15.201662,9.458127,9.458127,146.693134
5.075568,0.274126,19.145514,7.482141,7.482141,149.909461
6.878449,0.375825,14.998266,6.186882,6.186882,140.218083
5.360456,0.243315,17.669847,8.288334,8.288334,144.347318
10.738920,0.485139,32.548581,7.318868,7.318868,176.776070
10.267459,0.578586,23.033552,5.549540,5.549540,172.094660
6.388061,0.391470,13.866654,5.680913,5.680913,153.520226
7.204994,0.467482,14.910092,7.075398,7.075398,142.747267
5.175916,0.349531,14.019145,6.843726,6.843726,139.992588
4.600033,0.371946,10.611092,6.971397,6.971397,131.251968
4.545366,0.426896,9.457292,2.336687,2.336687,122.045782
8.473143,0.735371,24.262100,4.583792,4.583792,172.253323
8.430073,0.333362,23.200448,2.961628,2.961628,149.940400
8.868291,0.320394,26.941738,1.810831,1.810831,165.190474
6.151049,0.342142,12.568821,2.321607,2.321607,135.254258
5.326411,0.262086,13.216584,3.415233,3.415233,136.208806
10.280119,0.603471,25.720491,2.441482,2.441482,159.373885
8.486983,0.536766,19.333901,3.768677,3.768677,144.765930
6.220937,0.319931,22.840230,4.172016,4.172016,153.572333
9.966590,0.339007,16.765176,2.429125,2.429125,152.392936
6.664281,0.282274,16.667657,2.327749,2.327749,153.058595
7.078873,0.272287,21.553476,2.896354,2.896354,158.205974
6.584043,0.346765,18.431674,4.262224,4.262224,150.992486
4.637113,0.234704,11.799309,2.531461,2.531461,133.081187
6.090837,0.275620,14.438073,5.081212,5.081212,136.934722
7.531272,0.519873,24.020670,4.675457,4.675457,161.849255
5.123345,0.258718,9.309979,4.586765,4.586765,131.583637
5.294543,0.230025,10.890700,3.934604,3.934604,127.590921
4.485212,0.238047,8.312738,4.312002,4.312002,121.316706
6.526248,0.260465,7.821341,3.475955,3.475955,122.537141
7.701382,0.540039,16.216064,2.873840,2.873840,140.879166
4.128102,0.330668,8.057579,2.851986,2.851986,129.435301
5.026222,0.432383,8.909276,2.507434,2.507434,122.618205
5.538817,0.393888,11.654093,2.605016,2.605016,127.129032
5.914385,0.375080,8.125943,2.080907,2.080907,119.176031
3.702058,0.366392,6.662335,2.352546,2.352546,108.763023
4.023759,0.376619,9.086910,2.244209,2.244209,116.018103
5.507604,0.483244,14.981749,2.612188,2.612188,140.133097
2.450183,0.162652,5.772526,3.198819,3.198819,102.548726
8.805310,0.505329,28.530365,2.559716,2.559716,155.240558
5.843141,0.407031,22.112053,3.312185,3.312185,132.520292
8.295700,0.709268,28.108252,2.750287,2.750287,148.410276
9.794173,0.693685,29.983988,3.593725,3.593725,144.370313
7.630748,0.491182,16.930093,2.802767,2.802767,128.172419
12.251193,1.018465,22.389493,4.431816,4.431816,142.591449
11.173987,0.507953,20.435383,3.381567,3.381567,137.779347
11.272905,0.564525,28.329803,3.395524,3.395524,164.884976
10.970295,0.499276,26.673666,5.594594,5.594594,150.516904
8.615444,0.311944,14.419072,3.994646,3.994646,132.330956
5.685449,0.231524,12.370690,3.852234,3.852234,126.192554
10.876447,0.437038,28.994772,6.010849,6.010849,140.381611
10.421126,0.407725,30.293208,4.153888,4.153888,137.697760
11.244841,0.499064,24.380714,5.802482,5.802482,138.330998
6.849968,0.484997,18.937243,6.266920,6.266920,126.398056
6.139051,0.412723,14.777224,4.400180,4.400180,122.921343
6.450215,0.422945,23.119199,5.260847,5.260847,132.345188
8.106105,0.475183,20.405446,5.836594,5.836594,131.019087
6.576094,0.337247,18.589839,6.408762,6.408762,133.638136
5.828155,0.334649,15.538263,3.745788,3.745788,125.581769
6.520598,0.326811,18.566648,4.924601,4.924601,123.746878
6.128206,0.282786,19.390436,5.238040,5.238040,129.166114
5.013394,0.283829,20.341985,6.661832,6.661832,127.476295
7.189191,0.319825,24.498334,7.908933,7.908933,139.515299
3.763754,0.280135,14.693210,6.786563,6.786563,85.573057
4.688215,0.373885,20.825742,5.184970,5.184970,128.226296
5.034361,0.298509,16.747752,4.591371,4.591371,102.567972
7.205034,0.534235,21.541153,7.234897,7.234897,135.844048
5.593650,0.363049,15.700454,4.461089,4.461089,119.706719
8.566439,0.655273,30.956683,5.104817,5.104817,150.727332
4.448406,0.292669,13.253679,4.569228,4.569228,128.375318
4.598773,0.344249,15.392442,3.827358,3.827358,132.607088
4.932585,0.242513,13.598683,2.774838,2.774838,126.646540
8.679795,0.433088,29.230770,4.841587,4.841587,152.739377
4.367305,0.188526,12.166175,4.794537,4.794537,124.707672
6.042128,0.230437,13.783675,2.927501,2.927501,123.221287
8.737482,0.316270,18.381517,6.110035,6.110035,138.541001
4.822010,0.326645,15.996056,3.404866,3.404866,124.622061
6.249112,0.328159,20.229246,3.427364,3.427364,148.145729
5.403504,0.255265,15.576663,6.082926,6.082926,130.725224
4.216409,0.250058,10.239397,4.103052,4.103052,121.532871
3.664098,0.276001,10.446231,4.952637,4.952637,127.167927
3.557138,0.140494,9.281417,5.227863,5.227863,114.332320
2.963518,0.138747,9.581232,3.903167,3.903167,112.740151
2.339123,0.094915,6.975448,4.488319,4.488319,105.904277
2.434266,0.104556,7.879163,3.324417,3.324417,111.714626
1.722324,0.078551,8.122307,2.529079,2.529079,54.817199
1.261097,0.043653,4.170739,3.865759,3.865759,38.337824
0.961806,0.040581,3.528865,2.664375,2.664375,35.905429
0.855594,0.057389,6.438316,2.525372,2.525372,54.787497
1.255270,0.045673,4.693054,2.440281,2.440281,32.581305
1.317560,0.044102,7.905021,3.387215,3.387215,60.396930
1.340719,0.040172,6.144079,3.033158,3.033158,38.939295
1.727698,0.053672,7.980966,3.323824,3.323824,67.318187
1.896244,0.066412,8.120020,2.603680,2.603680,60.572769
2.691649,0.099470,8.386869,3.300083,3.300083,65.746600
2.724447,0.075972,9.551711,2.512161,2.512161,54.493513
4.563107,0.153380,18.499350,3.538787,3.538787,134.272518
7.467907,0.250851,37.155667,5.590482,5.590482,155.028301
8.304939,0.450735,41.603433,4.830402,4.830402,154.073479
9.829102,0.524796,34.899547,7.166722,7.166722,143.534608
10.010818,0.429271,27.240921,5.303252,5.303252,124.697098
8.480794,0.262967,19.747543,4.460194,4.460194,122.405600
