#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.719922,0.104935,1.096978,0.008163,0.008163,7.937391
8.328284,0.262552,3.884804,0.002940,0.002940,12.480840
7.306129,0.295491,2.967898,0.359470,0.359470,24.618391
8.654258,0.245622,4.934367,0.539473,0.539473,29.512034
9.024484,0.247612,10.792996,0.678722,0.678722,44.667525
8.145925,0.278971,11.116141,0.491011,0.491011,46.680938
5.944349,0.232034,8.537410,0.862653,0.862653,44.425942
8.853574,0.220263,8.699492,1.820603,1.820603,49.998915
9.843528,0.309377,16.977102,1.021313,1.021313,66.696552
8.037785,0.179856,9.809799,49.949984,49.949984,98.208182
9.708383,0.090931,20.078769,0.994253,0.994253,56.642702
10.497097,0.232282,18.584307,1.114513,1.114513,65.617368
10.249368,0.204071,19.926364,1.174204,1.174204,65.400661
7.418139,0.218711,25.065646,1.454604,1.454604,75.669885
9.411553,0.197450,16.681632,1.645231,1.645231,69.522446
8.706174,0.161535,15.264406,1.800598,1.800598,70.527213
8.680216,0.164838,17.922267,1.874334,1.874334,74.127748
6.984238,0.106709,13.742187,2.053731,2.053731,83.345801
6.200058,0.111644,12.187410,2.363645,2.363645,89.664987
5.767326,0.069149,10.920430,2.026769,2.026769,71.765921
8.920879,0.127747,17.596199,3.052551,3.052551,94.812858
11.066407,0.191500,24.456536,3.203097,3.203097,104.346649
12.810243,0.254399,40.118200,3.528730,3.528730,294.893977
12.340386,0.239425,30.053917,3.381798,3.381798,106.609520
11.266510,0.136656,23.452619,4.679292,4.679292,100.063740
10.584433,0.157774,19.778799,2.932949,2.932949,94.977793
11.318535,0.269685,32.065113,3.562464,3.562464,109.465634
10.788586,0.233632,29.867704,3.016781,3.016781,124.516783
14.706191,0.258192,28.021140,4.287599,4.287599,112.850887
11.387501,0.283655,37.027703,2.982626,2.982626,127.461740
11.786183,0.317277,33.891945,3.834035,3.834035,124.794714
10.528983,0.269163,21.735539,3.985213,3.985213,105.704363
9.282293,0.257029,33.115399,3.881854,3.881854,128.995033
12.461210,0.320490,26.791187,4.263865,4.263865,112.187789
11.112436,0.430959,18.907036,3.649778,3.649778,95.591391
7.063098,0.113432,18.638529,4.506711,4.506711,94.363237
6.376266,0.125957,15.769922,4.204396,4.204396,89.205891
6.414404,0.134932,16.146525,6.052573,6.052573,89.869493
6.703279,0.146634,16.334097,3.514990,3.514990,85.001770
6.545466,0.140787,14.083763,2.487204,2.487204,80.553353
6.324416,0.137805,13.899194,4.530922,4.530922,84.776470
11.647496,0.268968,36.424244,3.158565,3.158565,117.590526
12.297843,0.284171,33.823102,2.647535,2.647535,126.886619
