#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,18.976392,4.350752,0.002961,7.627564,5.234796,0.001472,26.099519
1403636579813555456.000000,0.000000,0.000000,17.624722,4.190875,0.057394,1.961894,6.007743,0.000820,24.576099
1403636579863555584.000000,0.000000,0.000000,21.150750,4.136970,0.038762,3.372657,5.144417,0.001012,28.725516
1403636579913555456.000000,0.000000,0.000000,18.867147,6.090578,0.060609,3.053178,6.250070,0.000983,28.309770
1403636579963555584.000000,0.000000,0.000000,16.242313,6.627565,0.050414,1.275523,3.193004,0.371063,26.802565
1403636580013555456.000000,0.000000,0.000000,18.045150,6.182915,0.051878,2.810088,5.380376,0.000684,40.670660
1403636580063555584.000000,0.000000,0.000000,17.067527,4.741495,0.072052,1.860169,3.660249,0.000489,32.696963
1403636580113555456.000000,0.000000,0.000000,21.094990,6.306441,0.085627,2.640288,8.493132,0.000966,39.343093
1403636580163555584.000000,0.000000,0.000000,17.732313,6.912200,0.088108,1.182595,3.450687,0.000465,37.077919
1403636580213555456.000000,0.000000,0.000000,17.979138,3.601929,0.049525,1.143661,3.261324,0.254028,29.681044
1403636580263555584.000000,0.000000,0.000000,17.625367,3.150443,0.055077,2.384960,3.113248,0.001053,31.957581
1403636580313555456.000000,0.000000,0.000000,16.339001,3.674547,0.058982,1.764485,3.401551,0.000711,28.228023
1403636580363555584.000000,0.000000,0.000000,16.100259,6.202206,0.086629,1.779267,3.797673,0.000835,36.960315
1403636580413555456.000000,0.000000,0.000000,17.478304,3.217300,0.056225,0.979069,2.415580,0.000580,28.645598
1403636580463555584.000000,0.000000,0.000000,17.801045,4.966827,0.060608,1.044121,2.314608,0.296384,30.384558
1403636580513555456.000000,0.000000,0.000000,17.327973,4.927061,0.074152,1.875717,2.343987,0.000657,31.723824
1403636580563555584.000000,0.000000,0.000000,16.960103,4.330651,0.071937,1.558621,2.302720,0.000564,29.617429
1403636580613555456.000000,0.000000,0.000000,18.066509,5.355535,0.104097,2.891948,4.537194,0.000832,32.639743
1403636580663555584.000000,0.000000,0.000000,16.405913,2.861003,0.070362,1.177376,2.815629,0.001164,25.805323
1403636580713555456.000000,0.000000,0.000000,16.787909,3.060418,0.066245,1.338614,2.287552,0.483535,26.354852
1403636580763555584.000000,0.000000,0.000000,16.956290,3.072203,0.074169,2.539464,3.825904,0.000632,27.740282
1403636580813555456.000000,0.000000,0.000000,16.193676,3.533619,0.061721,1.778329,3.244455,0.000469,26.867073
1403636580863555584.000000,0.000000,0.000000,18.816016,7.869596,0.107223,1.428253,3.282663,0.000592,37.788393
1403636580913555456.000000,0.000000,0.000000,19.485776,4.021859,0.060679,1.391025,3.061272,0.000629,30.686795
1403636580963555584.000000,0.000000,0.000000,16.803461,3.940037,0.069755,1.364104,3.200135,0.527938,27.663367
1403636581013555456.000000,0.000000,0.000000,16.484799,3.946874,0.064149,3.072429,3.639424,0.000981,29.883735
1403636581063555584.000000,0.000000,0.000000,17.280664,4.304985,0.056250,2.608665,5.286746,0.000703,29.213188
1403636581113555456.000000,0.000000,0.000000,17.741844,4.528713,0.056832,2.440097,4.354838,0.000565,30.595032
1403636581163555584.000000,0.000000,0.000000,16.330218,8.112106,0.057339,3.640369,6.665561,0.001293,31.948350
1403636581213555456.000000,0.000000,0.000000,16.766449,7.496820,0.056262,2.200817,4.438985,0.423261,32.804989
1403636581263555584.000000,0.000000,0.000000,16.710832,7.377809,0.039995,3.611992,5.355592,0.000604,33.719164
1403636581313555456.000000,0.000000,0.000000,16.725855,4.807107,0.057752,2.750060,4.287457,0.000791,32.506688
1403636581363555584.000000,0.000000,0.000000,16.433274,4.590773,0.066052,2.445278,4.678547,0.000498,30.796199
1403636581413555456.000000,0.000000,0.000000,18.699548,7.903107,0.086958,3.853215,6.322466,0.000645,40.376399
1403636581463555584.000000,0.000000,0.000000,17.851985,4.940034,0.061804,2.177002,4.768378,0.375079,32.841115
1403636581513555456.000000,0.000000,0.000000,17.586992,6.594446,0.077269,3.935660,5.387508,0.000650,36.087630
