#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008333,3,1,0,393
0.002773,4,1,0,539
0.072810,5,1,0,656
0.204131,6,1,0,1092
0.136234,7,1,0,1615
0.400192,8,1,0,2202
0.230057,9,1,0,2590
0.469889,10,1,0,2900
0.603257,0,0,0,0
72.913138,0,0,0,0
0.768811,0,0,0,0
0.704080,0,0,0,0
0.925280,0,0,0,0
0.700861,0,0,0,0
0.778084,0,0,0,0
1.048750,0,0,0,0
1.219090,0,0,0,0
1.551120,0,0,0,0
1.815696,0,0,0,0
1.533250,0,0,0,0
1.716301,0,0,0,0
2.548910,0,0,0,0
2.327643,0,0,0,0
2.454309,0,0,0,0
2.324282,0,0,0,0
2.178674,0,0,0,0
2.340965,0,0,0,0
3.818379,0,0,0,0
2.525044,0,0,0,0
1.983455,0,0,0,0
2.354061,0,0,0,0
2.374987,0,0,0,0
2.583965,0,0,0,0
1.890043,0,0,0,0
2.369446,0,0,0,0
2.204933,0,0,0,0
2.357859,0,0,0,0
4.380899,0,0,0,0
2.469814,0,0,0,0
4.440987,0,0,0,0
2.593405,0,0,0,0
4.430608,0,0,0,0
3.042126,0,0,0,0
5.341455,0,0,0,0
4.127717,0,0,0,0
3.171334,0,0,0,0
4.257553,0,0,0,0
3.444526,0,0,0,0
4.765218,3,1,0,486
2.045309,4,1,0,627
0.003140,5,1,0,766
0.002774,6,1,0,895
0.301550,7,1,0,998
0.426978,8,1,0,1135
0.532312,9,1,0,1272
0.565023,10,1,0,1404
0.512707,0,0,0,0
0.787106,0,0,0,0
0.461090,3,1,0,676
50.378575,4,1,0,1056
1.545861,5,1,0,1385
0.979038,6,1,0,2098
0.003200,7,1,0,2724
0.003020,8,1,0,3209
0.444787,9,1,0,3798
0.716411,10,1,0,4471
0.852671,0,0,0,0
0.977198,0,0,0,0
0.942283,0,0,0,0
1.007611,0,0,0,0
1.087496,0,0,0,0
105.855797,0,0,0,0
0.934367,0,0,0,0
0.977971,0,0,0,0
1.805831,0,0,0,0
1.327902,0,0,0,0
1.317692,0,0,0,0
1.655431,0,0,0,0
1.542626,0,0,0,0
1.594219,0,0,0,0
1.998851,0,0,0,0
2.216971,0,0,0,0
3.059296,0,0,0,0
2.916857,0,0,0,0
2.740078,0,0,0,0
3.069353,0,0,0,0
3.114534,0,0,0,0
3.197040,0,0,0,0
2.454283,0,0,0,0
4.212416,0,0,0,0
3.318618,0,0,0,0
2.545902,0,0,0,0
3.538804,0,0,0,0
4.043463,0,0,0,0
2.463795,0,0,0,0
3.842521,0,0,0,0
3.550394,0,0,0,0
2.642204,0,0,0,0
6.186547,0,0,0,0
3.145056,0,0,0,0
4.416963,0,0,0,0
2.198004,0,0,0,0
2.122859,0,0,0,0
2.288313,0,0,0,0
3.179768,0,0,0,0
2.350983,0,0,0,0
2.275951,0,0,0,0
2.606522,0,0,0,0
3.114402,0,0,0,0
2.808008,0,0,0,0
2.202406,0,0,0,0
3.495398,0,0,0,0
4.843186,0,0,0,0
3.179888,0,0,0,0
2.392196,0,0,0,0
3.451935,0,0,0,0
4.064694,0,0,0,0
2.804756,0,0,0,0
2.663029,0,0,0,0
1.958444,0,0,0,0
3.478755,0,0,0,0
4.401727,0,0,0,0
3.068652,0,0,0,0
4.000371,0,0,0,0
2.758213,0,0,0,0
4.243049,0,0,0,0
4.948968,0,0,0,0
3.676759,0,0,0,0
2.835307,0,0,0,0
3.901561,0,0,0,0
4.176718,0,0,0,0
2.958875,0,0,0,0
3.488227,0,0,0,0
4.078676,0,0,0,0
3.336937,0,0,0,0
3.297989,0,0,0,0
4.860289,0,0,0,0
3.860995,0,0,0,0
5.958260,0,0,0,0
5.385278,0,0,0,0
5.433128,0,0,0,0
5.379827,0,0,0,0
5.648596,0,0,0,0
4.308352,0,0,0,0
4.244471,0,0,0,0
5.546116,0,0,0,0
5.372154,0,0,0,0
5.764635,0,0,0,0
5.794015,0,0,0,0
6.373860,0,0,0,0
6.693959,0,0,0,0
8.085253,0,0,0,0
4.497776,0,0,0,0
8.300673,0,0,0,0
10.864611,0,0,0,0
10.465721,0,0,0,0
5.707004,0,0,0,0
8.046822,0,0,0,0
8.673284,0,0,0,0
7.099270,0,0,0,0
8.318823,0,0,0,0
6.433257,0,0,0,0
12.301691,0,0,0,0
7.225769,0,0,0,0
8.769815,0,0,0,0
9.074996,0,0,0,0
8.152683,0,0,0,0
8.515034,0,0,0,0
10.683011,0,0,0,0
7.100443,0,0,0,0
5.991711,0,0,0,0
7.767002,0,0,0,0
7.233159,0,0,0,0
8.371972,0,0,0,0
8.377661,0,0,0,0
8.786603,0,0,0,0
8.040448,0,0,0,0
