#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.054196,0.034898,0.314751,0.005256,0.005256,7.412921
7.354627,0.150361,2.617038,0.001890,0.001890,10.125762
9.125597,0.355686,4.111053,0.370649,0.370649,26.110578
8.088899,0.313743,4.951542,0.189390,0.189390,20.357318
8.980293,0.202066,10.835657,0.407298,0.407298,37.930454
8.260145,0.281741,10.425158,0.175528,0.175528,31.016934
5.726764,0.177239,13.448198,0.920790,0.920790,49.302190
8.672497,0.322650,11.779736,1.195508,1.195508,40.391332
10.071277,0.330190,15.773050,1.030037,1.030037,60.043585
5.716208,0.123641,7.423955,38.551346,38.551346,73.003976
5.426350,0.065878,7.179227,0.974045,0.974045,33.827888
4.947411,0.082723,7.917616,0.789598,0.789598,37.527766
14.208832,0.312364,20.057122,1.109587,1.109587,73.823397
6.244379,0.096583,11.726291,0.935183,0.935183,50.774355
6.808269,0.161138,12.949145,1.204472,1.204472,53.148048
8.889524,0.173304,17.979652,1.170164,1.170164,68.956333
11.637187,0.240928,30.425482,1.745958,1.745958,94.445052
7.013995,0.133563,18.906501,2.759798,2.759798,73.965860
6.992859,0.112752,14.618926,2.137488,2.137488,69.965138
8.225048,0.136289,16.212491,2.041851,2.041851,73.529986
9.747547,0.119923,19.144876,2.192810,2.192810,78.901546
7.007187,0.079252,12.788390,2.584697,2.584697,76.021551
8.853236,0.068556,13.825777,2.502740,2.502740,77.923095
8.201766,0.068452,13.657648,2.553079,2.553079,75.923479
11.416507,0.116998,23.700918,3.003586,3.003586,91.774516
13.595526,0.211769,35.930563,2.831414,2.831414,124.944735
8.343098,0.098401,16.094682,2.746716,2.746716,91.077505
12.289546,0.238105,34.029757,3.626431,3.626431,101.417847
13.195511,0.170088,26.504550,3.316387,3.316387,223.446393
9.639152,0.250845,16.657034,2.802716,2.802716,82.586202
7.642521,0.101606,15.681737,3.270147,3.270147,89.238081
7.192633,0.119275,16.018839,3.165036,3.165036,77.651271
8.057207,0.095057,13.850473,3.005848,3.005848,77.647594
8.169138,0.115385,17.195583,2.550691,2.550691,78.530237
6.358869,0.078189,13.372818,2.850576,2.850576,75.657126
5.593676,0.017142,0.193277,0.001617,0.001617,5.806556
7.041271,0.165480,1.451602,0.002800,0.002800,8.662830
8.427015,0.300833,2.316165,0.414668,0.414668,24.117850
8.216836,0.275841,3.243441,0.694466,0.694466,24.287476
9.353592,0.210065,4.252540,1.047348,1.047348,31.184000
10.109600,0.254075,5.793350,0.686645,0.686645,42.120652
8.942388,0.248391,16.818318,0.829837,0.829837,58.348729
8.372470,0.176364,7.626986,1.442509,1.442509,43.866692
10.128672,0.359239,21.000463,1.284955,1.284955,63.670285
10.240877,0.283110,21.238832,47.378737,47.378737,116.065777
9.878791,0.232986,18.734143,0.999971,0.999971,58.666872
7.654690,0.194470,12.802917,1.076067,1.076067,51.589699
6.739614,0.135371,10.210340,1.373666,1.373666,50.411272
5.904446,0.119944,9.275237,1.410265,1.410265,50.163810
6.143306,0.107994,9.953324,1.422192,1.422192,53.276681
6.425893,0.084464,10.568308,1.885163,1.885163,62.650819
8.252526,0.122774,12.194204,1.924047,1.924047,63.233806
9.074834,0.149045,17.718393,1.983253,1.983253,74.666715
