#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005468,3,1,0,369
0.002727,4,1,0,475
0.107162,5,1,0,613
0.206132,6,1,0,1021
0.276191,7,1,0,1420
0.435896,8,1,0,2065
0.501770,9,1,0,2356
0.645094,10,1,0,2716
0.537178,0,0,0,0
36.212796,0,0,0,0
0.812786,0,0,0,0
0.848069,0,0,0,0
0.546451,0,0,0,0
0.562199,0,0,0,0
0.902551,0,0,0,0
1.091234,0,0,0,0
1.287742,0,0,0,0
0.970320,0,0,0,0
1.918392,0,0,0,0
1.878574,0,0,0,0
2.471779,0,0,0,0
2.645435,0,0,0,0
2.888732,0,0,0,0
2.931078,0,0,0,0
2.267534,0,0,0,0
2.304622,0,0,0,0
2.392353,0,0,0,0
2.404033,0,0,0,0
2.266302,0,0,0,0
2.495656,0,0,0,0
2.065914,0,0,0,0
2.391421,0,0,0,0
2.388460,0,0,0,0
2.142396,0,0,0,0
2.233346,0,0,0,0
2.229171,0,0,0,0
2.255974,0,0,0,0
2.584856,0,0,0,0
2.290537,0,0,0,0
2.420161,0,0,0,0
3.046547,0,0,0,0
1.719804,0,0,0,0
2.685141,0,0,0,0
2.009631,0,0,0,0
4.722398,0,0,0,0
2.240356,0,0,0,0
3.017525,0,0,0,0
2.953128,0,0,0,0
2.649984,0,0,0,0
3.739241,0,0,0,0
3.134965,0,0,0,0
3.755507,0,0,0,0
2.907241,0,0,0,0
2.311185,0,0,0,0
4.999228,0,0,0,0
2.521886,3,1,0,372
2.975460,4,1,0,493
0.002780,5,1,0,636
0.003273,6,1,0,748
0.224069,7,1,0,864
0.401361,8,1,0,1012
0.521872,9,1,0,1137
0.560865,10,1,0,1253
0.519872,0,0,0,0
0.657354,0,0,0,0
0.531720,0,0,0,0
47.208540,0,0,0,0
0.536647,3,1,0,583
0.357296,4,1,0,985
0.668975,5,1,0,1318
0.899745,6,1,0,1940
0.003047,7,1,0,2537
0.002526,8,1,0,3017
0.162524,9,1,0,3577
0.731871,10,1,0,4145
0.587758,0,0,0,0
1.132795,0,0,0,0
1.129878,0,0,0,0
0.915378,0,0,0,0
1.308304,0,0,0,0
100.666056,0,0,0,0
0.778143,0,0,0,0
0.927862,0,0,0,0
1.050024,0,0,0,0
1.108320,0,0,0,0
1.070604,0,0,0,0
1.251850,0,0,0,0
2.183079,0,0,0,0
1.575740,0,0,0,0
1.931356,0,0,0,0
1.990678,0,0,0,0
2.034016,0,0,0,0
3.029835,0,0,0,0
2.652812,0,0,0,0
2.591470,0,0,0,0
2.878066,0,0,0,0
3.110938,0,0,0,0
4.869941,0,0,0,0
2.910967,0,0,0,0
2.502377,0,0,0,0
3.119796,0,0,0,0
2.535830,0,0,0,0
2.976150,0,0,0,0
3.140035,0,0,0,0
2.767204,0,0,0,0
3.055373,0,0,0,0
2.307738,0,0,0,0
3.039734,0,0,0,0
2.405562,0,0,0,0
3.350756,0,0,0,0
2.917087,0,0,0,0
2.035161,0,0,0,0
3.828887,0,0,0,0
2.746978,0,0,0,0
2.357645,0,0,0,0
3.424482,0,0,0,0
2.342957,0,0,0,0
3.484860,0,0,0,0
3.462961,0,0,0,0
2.161914,0,0,0,0
1.526865,0,0,0,0
2.494009,0,0,0,0
3.289340,0,0,0,0
2.418203,0,0,0,0
2.504823,0,0,0,0
1.998653,0,0,0,0
2.180560,0,0,0,0
2.217066,0,0,0,0
3.079402,0,0,0,0
3.755048,0,0,0,0
3.725017,0,0,0,0
2.324534,0,0,0,0
3.162843,0,0,0,0
2.067134,0,0,0,0
2.534893,0,0,0,0
3.988119,0,0,0,0
2.939401,0,0,0,0
2.364566,0,0,0,0
2.240827,0,0,0,0
5.668188,0,0,0,0
4.166484,0,0,0,0
