#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,16.082920,2.632358,0.002636,6.516605,0.791659,0.001398,21.203311
1403638127345096960.000000,0.000000,0.000000,12.043854,2.181649,0.061153,1.648399,1.983534,0.000763,17.009575
1403638127395097088.000000,0.000000,0.000000,12.151325,3.225714,0.050785,1.629693,1.100298,0.000644,18.261548
1403638127445096960.000000,0.000000,0.000000,12.970310,2.922845,0.049415,0.637198,0.851386,0.000516,18.514019
1403638127495097088.000000,0.000000,0.000000,11.870005,1.834613,0.055725,1.430180,1.875907,0.193651,16.648737
1403638127545096960.000000,0.000000,0.000000,13.592956,3.489917,0.048051,1.322362,0.887646,0.000553,20.219019
1403638127595097088.000000,0.000000,0.000000,13.355070,4.957456,0.105791,0.824484,1.020607,0.000498,21.978053
1403638127645096960.000000,0.000000,0.000000,12.111840,1.775643,0.055192,1.704297,1.942490,0.000776,17.322093
1403638127695097088.000000,0.000000,0.000000,15.596413,3.686281,0.079576,1.603619,2.277899,0.000680,22.723732
1403638127745096960.000000,0.000000,0.000000,12.002626,2.147017,0.049387,1.089646,1.409054,0.302569,17.636820
1403638127795097088.000000,0.000000,0.000000,12.348521,4.702681,0.104738,1.062124,1.099508,0.000605,20.683373
1403638127845096960.000000,0.000000,0.000000,12.040874,4.224542,0.068546,0.766419,0.858939,0.000441,19.785309
1403638127895097088.000000,0.000000,0.000000,12.385924,4.833005,0.106601,0.710460,0.944026,0.000494,20.480873
1403638127945096960.000000,0.000000,0.000000,12.417340,4.613770,0.104845,1.300770,1.875084,0.000717,20.182336
1403638127995097088.000000,0.000000,0.000000,12.751282,4.603667,0.080465,0.673735,0.988344,0.191320,20.979896
1403638128045096960.000000,0.000000,0.000000,11.622123,2.203830,0.037215,2.166885,2.027651,0.000703,16.643909
1403638128095097088.000000,0.000000,0.000000,12.375074,4.851894,0.079685,1.071651,1.174967,0.000500,21.426061
1403638128145096960.000000,0.000000,0.000000,12.685237,5.017781,0.079096,1.862137,2.443034,0.000951,21.701389
1403638128195097088.000000,0.000000,0.000000,13.146391,4.920706,0.082325,2.011501,2.794269,0.000754,21.777516
1403638128245096960.000000,0.000000,0.000000,12.078477,4.843059,0.087625,1.641512,2.504281,0.501512,20.195070
1403638128295097088.000000,0.000000,0.000000,14.769816,4.947156,0.105902,1.575658,2.121556,0.000852,23.295039
1403638128345096960.000000,0.000000,0.000000,12.237517,5.072641,0.120311,1.178307,1.280189,0.000582,20.910174
1403638128395097088.000000,0.000000,0.000000,12.390247,2.286269,0.042038,1.032787,1.429828,0.000607,18.053351
1403638128445096960.000000,0.000000,0.000000,12.071978,2.021335,0.039021,1.708747,2.508244,0.000780,17.400907
1403638128495097088.000000,0.000000,0.000000,13.388572,2.147073,0.040279,1.926570,2.645940,0.629767,18.931106
1403638128545096960.000000,0.000000,0.000000,12.574577,4.937933,0.081882,2.138091,2.625237,0.000565,21.292618
1403638128595097088.000000,0.000000,0.000000,12.466548,4.924750,0.082505,1.767146,2.584402,0.000630,20.845463
1403638128645096960.000000,0.000000,0.000000,12.048051,5.091957,0.083515,1.743061,2.644228,0.001006,21.140194
1403638128695097088.000000,0.000000,0.000000,12.501228,2.808234,0.050334,2.839949,4.121643,0.000648,18.085233
1403638128745096960.000000,0.000000,0.000000,11.908587,2.814971,0.049903,2.769762,4.138737,0.565551,18.119842
1403638128795097088.000000,0.000000,0.000000,13.172836,2.296781,0.042511,2.512916,3.193923,0.000965,18.303902
1403638128845096960.000000,0.000000,0.000000,13.427335,4.988582,0.102644,2.447374,3.081850,0.000551,22.113716
