#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.426173,0.089719,0.992026,0.009177,0.009177,8.525488
8.786107,0.224940,2.848820,0.002670,0.002670,11.864770
9.104317,0.375354,4.782489,0.473803,0.473803,41.231716
10.171424,0.436704,10.291963,0.667953,0.667953,59.338288
9.999730,0.325417,6.098380,0.796420,0.796420,38.443326
10.083066,0.303352,14.207155,1.085176,1.085176,61.335988
6.644713,0.151117,6.719564,1.797066,1.797066,38.483597
11.988958,0.245787,21.917216,1.796189,1.796189,69.273704
11.745835,0.291896,24.482262,1.436668,1.436668,66.020115
11.701379,0.376331,28.920126,78.115353,78.115353,170.038072
6.850161,0.244826,15.205360,1.849199,1.849199,70.920992
10.496822,0.550586,33.319669,2.354758,2.354758,108.433494
10.278906,0.629228,36.503890,2.530142,2.530142,117.468896
11.275265,0.361785,26.031975,2.256088,2.256088,114.613278
10.336991,0.352804,24.122057,2.537885,2.537885,95.260782
6.266961,0.214203,16.580920,3.128799,3.128799,84.406627
7.003293,0.220847,16.717344,2.947621,2.947621,93.560734
8.844549,0.211112,17.756400,3.008887,3.008887,97.880922
9.430713,0.215693,25.320959,3.081154,3.081154,122.819753
6.459837,0.242633,21.804499,3.613478,3.613478,108.606910
6.287882,0.229210,19.412992,3.582793,3.582793,108.689217
9.050684,0.269141,20.618860,4.310031,4.310031,126.601364
7.611153,0.225568,21.290218,4.510892,4.510892,126.717322
8.930017,0.320044,18.566634,4.198438,4.198438,120.829858
8.290026,0.276403,19.908686,4.469290,4.469290,128.328259
8.102568,0.278428,19.210689,4.729732,4.729732,124.348535
5.740704,0.192100,14.156989,4.492139,4.492139,359.198112
7.458319,0.259109,17.122501,4.190436,4.190436,119.617286
12.585573,0.412364,38.685239,5.567044,5.567044,147.906801
6.743676,0.162815,17.034875,4.070284,4.070284,104.074621
9.392996,0.253356,24.588652,3.828607,3.828607,126.546361
9.107369,0.192291,21.806350,4.091960,4.091960,122.788389
11.685272,0.369058,19.797741,4.088235,4.088235,120.825318
6.555482,0.133700,15.024033,3.544420,3.544420,104.000484
6.313739,0.160724,18.356439,3.843291,3.843291,120.939610
9.537633,0.320535,26.371984,3.170696,3.170696,123.148875
11.746371,0.409507,37.006241,5.570079,5.570079,144.094910
11.190956,0.327746,29.357425,2.887154,2.887154,122.833464
10.622910,0.233812,23.290863,4.901760,4.901760,124.488408
11.592790,0.413457,32.105599,4.352821,4.352821,136.293637
6.382284,0.267868,15.976535,4.466314,4.466314,135.964686
7.872663,0.176214,16.462008,2.933718,2.933718,117.135114
12.265920,0.520992,32.767529,5.212503,5.212503,141.240033
9.193765,0.357671,29.759409,4.178848,4.178848,151.305923
