#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715523912143104.000000,0.000000,0.000000,17.784267,1.503492,0.002122,5.125071,0.411274,0.001311,21.347088
1403715523962142976.000000,0.000000,0.000000,12.302770,1.346558,0.065041,0.320546,0.425175,0.000385,16.682069
1403715524012143104.000000,0.000000,0.000000,12.189722,1.074991,0.044260,0.316549,0.376304,0.000537,15.882837
1403715524062142976.000000,0.000000,0.000000,12.214259,2.400637,0.058633,0.317203,0.367448,0.000485,18.121734
1403715524112143104.000000,0.000000,0.000000,15.169161,2.040902,0.087585,0.274731,0.340623,0.167168,20.140702
1403715524162142976.000000,0.000000,0.000000,12.722798,2.598965,0.107509,1.093596,1.187184,0.000954,18.881565
1403715524212143104.000000,0.000000,0.000000,12.858498,1.187708,0.051015,0.891810,1.434407,0.000760,17.371835
1403715524262142976.000000,0.000000,0.000000,14.480908,1.239525,0.050885,0.642263,1.332452,0.000760,18.998650
1403715524312143104.000000,0.000000,0.000000,14.110506,2.565569,0.109488,0.726005,1.462644,0.000787,19.985530
1403715524362142976.000000,0.000000,0.000000,12.149114,1.245978,0.056708,0.761444,1.500663,0.517742,16.607991
1403715524412143104.000000,0.000000,0.000000,13.395737,1.119416,0.048203,1.770669,2.479904,0.000754,17.377758
1403715524462142976.000000,0.000000,0.000000,13.287485,1.320596,0.056847,1.245681,1.405634,0.000739,17.563691
1403715524512143104.000000,0.000000,0.000000,11.963147,2.778995,0.109158,1.133662,2.346059,0.000724,18.568975
1403715524562142976.000000,0.000000,0.000000,13.457556,2.546867,0.109195,0.968531,2.207844,0.000717,19.552290
1403715524612143104.000000,0.000000,0.000000,13.830671,2.358689,0.108708,0.854287,2.469511,0.678939,19.316734
1403715524662142976.000000,0.000000,0.000000,14.001062,2.581405,0.106458,2.675427,2.608099,0.000940,19.795252
1403715524712143104.000000,0.000000,0.000000,13.000194,2.639838,0.111245,1.521186,2.789593,0.000901,19.653035
1403715524762142976.000000,0.000000,0.000000,12.756181,2.466327,0.111072,1.050550,3.086404,0.001016,18.455098
