#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.006525,3,1,0,1240
0.002834,4,1,0,2033
0.304567,5,1,0,2752
0.556428,6,1,0,3297
0.794773,7,1,0,3633
0.935206,8,1,0,3669
0.818538,9,1,0,3773
1.209986,10,1,0,3806
0.922826,3,1,0,616
46.897485,4,1,0,585
0.003194,5,1,0,588
0.002730,5,1,0,1103
0.173097,2,5,0,1259
0.317852,3,5,0,1422
0.324115,4,5,0,1773
0.484710,5,5,0,1984
0.311553,0,0,0,0
1.001575,0,0,0,0
0.395587,0,0,0,0
46.730309,0,0,0,0
0.567168,0,0,0,0
0.577016,0,0,0,0
0.851852,0,0,0,0
0.976560,0,0,0,0
1.033194,0,0,0,0
1.380529,0,0,0,0
1.345549,0,0,0,0
1.291347,0,0,0,0
1.631343,0,0,0,0
1.875867,0,0,0,0
1.842267,0,0,0,0
2.336280,0,0,0,0
2.348216,0,0,0,0
2.207031,0,0,0,0
2.262665,0,0,0,0
2.137859,0,0,0,0
2.931185,0,0,0,0
2.689955,0,0,0,0
2.135722,0,0,0,0
1.767563,0,0,0,0
1.875796,0,0,0,0
2.657207,0,0,0,0
1.483598,0,0,0,0
1.542467,0,0,0,0
1.938336,0,0,0,0
1.906729,0,0,0,0
1.707683,0,0,0,0
1.881062,0,0,0,0
1.252044,0,0,0,0
2.615134,0,0,0,0
1.893595,0,0,0,0
2.216296,0,0,0,0
3.239249,0,0,0,0
2.494540,0,0,0,0
1.933938,0,0,0,0
1.938131,0,0,0,0
1.781495,0,0,0,0
1.407030,0,0,0,0
1.917617,0,0,0,0
2.058011,0,0,0,0
1.499956,0,0,0,0
2.051160,0,0,0,0
1.981011,0,0,0,0
1.690475,0,0,0,0
2.001870,0,0,0,0
1.866598,0,0,0,0
1.830138,0,0,0,0
1.772085,0,0,0,0
1.918311,0,0,0,0
1.687387,0,0,0,0
1.602138,0,0,0,0
2.289155,0,0,0,0
1.636895,0,0,0,0
1.657424,0,0,0,0
2.416889,0,0,0,0
2.267647,0,0,0,0
2.478782,0,0,0,0
2.632229,0,0,0,0
2.451940,0,0,0,0
