#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008546,3,1,0,795
0.003284,4,1,0,1124
0.195596,5,1,0,1325
0.474371,6,1,0,1661
0.844907,7,1,0,1893
0.742580,8,1,0,1931
0.985492,9,1,0,2202
0.829533,10,1,0,2603
0.814966,0,0,0,0
48.037704,0,0,0,0
0.953798,0,0,0,0
1.316655,0,0,0,0
1.323366,0,0,0,0
1.391814,0,0,0,0
1.330780,0,0,0,0
1.559055,0,0,0,0
2.207405,0,0,0,0
1.641288,0,0,0,0
2.155199,0,0,0,0
2.545842,0,0,0,0
2.283615,0,0,0,0
3.114244,0,0,0,0
2.738543,0,0,0,0
3.236499,0,0,0,0
3.591272,0,0,0,0
3.108284,0,0,0,0
3.178054,0,0,0,0
3.564977,0,0,0,0
3.499719,0,0,0,0
4.468471,0,0,0,0
3.336654,0,0,0,0
3.995158,0,0,0,0
4.457761,0,0,0,0
3.019865,0,0,0,0
4.447420,0,0,0,0
4.415907,0,0,0,0
2.885294,0,0,0,0
3.958512,0,0,0,0
4.435426,0,0,0,0
2.998926,0,0,0,0
4.532259,0,0,0,0
4.527501,0,0,0,0
4.026518,0,0,0,0
4.981866,0,0,0,0
2.647555,0,0,0,0
3.705376,0,0,0,0
3.395992,0,0,0,0
3.904305,0,0,0,0
4.484724,0,0,0,0
4.391308,0,0,0,0
4.639283,0,0,0,0
4.787822,0,0,0,0
2.172024,0,0,0,0
4.316084,0,0,0,0
2.761368,0,0,0,0
2.819931,0,0,0,0
3.455087,0,0,0,0
4.420326,0,0,0,0
2.702340,0,0,0,0
4.031190,0,0,0,0
3.538736,0,0,0,0
3.102972,0,0,0,0
2.693197,0,0,0,0
4.720694,0,0,0,0
3.001973,0,0,0,0
3.220945,0,0,0,0
4.535558,0,0,0,0
2.693133,0,0,0,0
3.641802,0,0,0,0
3.926395,0,0,0,0
4.786677,0,0,0,0
4.415397,0,0,0,0
5.733597,0,0,0,0
2.873935,0,0,0,0
7.050775,0,0,0,0
3.325274,0,0,0,0
5.463128,0,0,0,0
5.057519,0,0,0,0
4.916940,0,0,0,0
3.449326,0,0,0,0
3.450773,0,0,0,0
4.484935,0,0,0,0
4.346782,0,0,0,0
4.348877,0,0,0,0
4.682085,0,0,0,0
2.664818,0,0,0,0
3.462236,0,0,0,0
5.136778,0,0,0,0
2.481208,0,0,0,0
3.368469,0,0,0,0
3.859665,0,0,0,0
3.626561,0,0,0,0
5.244329,0,0,0,0
1.782712,0,0,0,0
2.562379,0,0,0,0
3.664294,0,0,0,0
3.319633,0,0,0,0
2.402943,0,0,0,0
4.298457,0,0,0,0
3.318934,0,0,0,0
3.393947,0,0,0,0
4.591683,0,0,0,0
4.118135,0,0,0,0
3.096567,0,0,0,0
4.785763,0,0,0,0
4.799884,0,0,0,0
4.581904,0,0,0,0
3.569793,0,0,0,0
4.024340,0,0,0,0
5.652372,0,0,0,0
4.178465,0,0,0,0
5.232510,0,0,0,0
4.024559,0,0,0,0
2.563099,0,0,0,0
4.263770,0,0,0,0
2.914755,0,0,0,0
3.440918,0,0,0,0
4.869631,0,0,0,0
4.518240,0,0,0,0
4.047715,0,0,0,0
3.398756,0,0,0,0
4.225154,0,0,0,0
3.410054,0,0,0,0
5.319327,0,0,0,0
4.352371,0,0,0,0
3.847258,0,0,0,0
3.646042,0,0,0,0
6.887353,0,0,0,0
3.752501,0,0,0,0
3.053026,0,0,0,0
4.823097,0,0,0,0
