#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.449370,0.040036,0.410621,0.008546,0.008546,6.916294
7.854605,0.118171,1.337020,0.003284,0.003284,9.315766
8.186305,0.203436,4.607277,0.195596,0.195596,26.910074
7.650695,0.196362,10.163942,0.474371,0.474371,37.643918
7.769234,0.328296,10.114916,0.844907,0.844907,40.564523
11.284755,0.498294,14.916042,0.742580,0.742580,60.494117
8.385697,0.325317,13.031844,0.985492,0.985492,54.731589
8.360074,0.200363,6.154671,0.829533,0.829533,33.594248
8.456039,0.182553,10.431888,0.814966,0.814966,41.564997
9.661394,0.248982,15.538078,48.037704,48.037704,96.540803
9.535163,0.200990,24.829394,0.953798,0.953798,66.710826
10.127416,0.448497,12.453472,1.316655,1.316655,61.613935
10.631922,0.224112,20.274332,1.323366,1.323366,66.035297
8.666958,0.196649,13.709320,1.391814,1.391814,57.151545
6.179272,0.085367,10.026019,1.330780,1.330780,50.121832
5.868955,0.069288,9.381011,1.559055,1.559055,51.869468
8.986989,0.117083,14.772090,2.207405,2.207405,67.926416
9.555654,0.097989,14.874626,1.641288,1.641288,75.499983
10.850763,0.146413,26.250110,2.155199,2.155199,86.756010
12.035974,0.234530,27.900356,2.545842,2.545842,105.739185
13.202380,0.243701,32.427131,2.283615,2.283615,116.443943
6.205262,0.111575,11.126029,3.114244,3.114244,87.895433
7.019853,0.065213,11.595286,2.738543,2.738543,72.886385
15.879590,0.341596,35.883961,3.236499,3.236499,245.636182
12.221941,0.153437,24.397883,3.591272,3.591272,107.427981
14.007467,0.220399,36.226490,3.108284,3.108284,117.344125
7.749181,0.101279,13.313491,3.178054,3.178054,76.562041
9.292535,0.175911,20.398914,3.564977,3.564977,93.343409
12.128681,0.120047,29.461658,3.499719,3.499719,108.750258
12.892920,0.193729,20.042544,4.468471,4.468471,96.438077
11.856196,0.246779,21.746926,3.336654,3.336654,96.560199
7.736366,0.085189,14.350178,3.995158,3.995158,83.540722
10.958004,0.208311,32.584110,4.457761,4.457761,121.753005
10.998571,0.136325,23.476969,3.019865,3.019865,96.493394
5.303212,0.076034,10.697979,4.447420,4.447420,82.495299
5.441389,0.126869,12.004546,4.415907,4.415907,82.841285
10.474419,0.377356,26.093483,2.885294,2.885294,116.883313
10.522838,0.219469,31.266336,3.958512,3.958512,110.347082
10.865667,0.256615,31.147078,4.435426,4.435426,132.983728
11.554933,0.260865,32.108602,2.998926,2.998926,123.932054
10.065466,0.187846,19.299855,4.532259,4.532259,99.450947
6.495975,0.172803,25.826837,4.527501,4.527501,97.115135
9.656971,0.263710,22.819597,4.026518,4.026518,111.712290
8.523330,0.283460,23.620043,4.981866,4.981866,101.931375
8.608233,0.279722,17.638969,2.647555,2.647555,99.543812
9.933436,0.471317,19.987114,3.705376,3.705376,97.820228
10.260637,0.354646,30.508129,3.395992,3.395992,105.561207
10.228763,0.319967,22.989750,3.904305,3.904305,103.045969
8.656140,0.235481,25.615449,4.484724,4.484724,103.180118
9.156424,0.176449,21.165399,4.391308,4.391308,96.708500
5.840591,0.150400,14.818006,4.639283,4.639283,99.538652
6.429225,0.135346,14.046469,4.787822,4.787822,89.608993
5.565519,0.127634,12.722485,2.172024,2.172024,80.047546
6.765695,0.119477,13.038731,4.316084,4.316084,83.358150
6.613516,0.119648,10.911994,2.761368,2.761368,78.906831
6.126119,0.098760,11.437246,2.819931,2.819931,77.270686
7.250304,0.133632,19.133455,3.455087,3.455087,84.664301
11.940629,0.276025,26.629608,4.420326,4.420326,108.419109
9.403973,0.163578,22.246576,2.702340,2.702340,99.093840
6.512592,0.092758,14.561555,4.031190,4.031190,85.212868
6.251771,0.117172,18.651981,3.538736,3.538736,89.728421
11.590029,0.264505,30.247870,3.102972,3.102972,120.387686
9.036076,0.195500,13.647017,2.693197,2.693197,84.317155
6.064375,0.161497,14.164444,4.720694,4.720694,89.024405
6.636769,0.135751,11.211191,3.001973,3.001973,78.229547
11.796345,0.276588,29.103517,3.220945,3.220945,118.804549
6.505734,0.117605,13.797789,4.535558,4.535558,87.945595
9.176161,0.181310,24.438771,2.693133,2.693133,111.103247
