#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,18.132891,1.988290,0.002787,8.375791,3.143663,0.001892,22.914864
1403636858701666560.000000,0.000000,0.000000,19.054947,2.210636,0.055063,2.311876,2.828163,0.000917,24.924813
1403636858751666432.000000,0.000000,0.000000,18.417069,1.670609,0.049446,2.098617,2.280661,0.000717,22.684765
1403636858801666560.000000,0.000000,0.000000,18.031890,1.625464,0.051482,1.992477,2.401635,0.000845,22.693371
1403636858851666432.000000,0.000000,0.000000,20.235540,1.931800,0.052804,1.806092,2.551228,0.671854,25.387362
1403636858901666560.000000,0.000000,0.000000,17.750296,2.113774,0.045402,4.470036,3.470169,0.000658,22.948092
1403636858951666432.000000,0.000000,0.000000,16.649539,4.500364,0.080505,3.920715,3.842732,0.000616,24.459742
1403636859001666560.000000,0.000000,0.000000,19.805224,5.364422,0.101982,1.311317,1.901636,0.000535,28.408270
1403636859051666432.000000,0.000000,0.000000,18.436751,5.494069,0.094698,2.946973,3.706583,0.000947,27.967852
1403636859101666560.000000,0.000000,0.000000,20.723585,5.585144,0.105054,2.439105,3.944593,0.651959,42.052929
1403636859151666432.000000,0.000000,0.000000,21.563775,5.834242,0.159170,4.710935,5.112471,0.000696,36.644931
1403636859201666560.000000,0.000000,0.000000,20.291704,6.059348,0.105318,1.887646,2.731856,0.000718,34.348862
1403636859251666432.000000,0.000000,0.000000,21.083564,6.112857,0.100226,2.904615,4.755925,0.000990,35.173800
1403636859301666560.000000,0.000000,0.000000,18.617699,6.656262,0.097896,2.605246,3.857947,0.000818,33.532496
1403636859351666432.000000,0.000000,0.000000,22.019906,6.206452,0.107178,1.721617,5.921623,1.259709,39.840395
1403636859401666560.000000,0.000000,0.000000,21.258881,6.094899,0.133907,3.667315,3.082913,0.000810,38.636265
1403636859451666432.000000,0.000000,0.000000,18.988677,3.711628,0.081035,3.145505,4.360134,0.000710,28.840912
1403636859501666560.000000,0.000000,0.000000,24.123583,7.189071,0.098361,2.771692,5.017150,0.000728,41.067318
1403636859551666432.000000,0.000000,0.000000,17.763965,6.744258,0.097946,2.925909,5.059949,0.000949,34.810959
1403636859601666560.000000,0.000000,0.000000,19.015518,7.251254,0.101458,1.580340,2.898998,0.379902,39.326909
1403636859651666432.000000,0.000000,0.000000,20.450074,3.459834,0.053752,4.358899,4.849178,0.000523,31.766645
1403636859701666560.000000,0.000000,0.000000,17.824438,7.068451,0.140640,2.340478,3.584366,0.000503,36.381928
1403636859751666432.000000,0.000000,0.000000,21.292205,7.115948,0.089495,2.294937,3.661155,0.000536,38.079427
1403636859801666560.000000,0.000000,0.000000,18.201355,7.049939,0.084640,2.052850,3.047951,0.000436,37.859846
1403636859851666432.000000,0.000000,0.000000,18.838229,7.815920,0.098152,1.993504,4.080587,0.597066,36.959998
