#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009080,3,1,0,770
0.002578,4,1,0,1122
0.309889,5,1,0,1330
0.396971,6,1,0,1767
0.346546,7,1,0,1896
0.429808,8,1,0,1888
0.973297,9,1,0,2189
0.694433,10,1,0,2653
0.939929,0,0,0,0
42.369004,0,0,0,0
0.925384,0,0,0,0
0.945701,0,0,0,0
1.213087,0,0,0,0
1.447425,0,0,0,0
1.350860,0,0,0,0
1.752961,0,0,0,0
1.930166,0,0,0,0
1.906667,0,0,0,0
2.471817,0,0,0,0
2.976816,0,0,0,0
2.633184,0,0,0,0
3.414178,0,0,0,0
3.125442,0,0,0,0
3.162064,0,0,0,0
4.647033,0,0,0,0
3.573462,0,0,0,0
3.262805,0,0,0,0
3.797620,0,0,0,0
3.116719,0,0,0,0
3.289286,0,0,0,0
3.168803,0,0,0,0
3.307967,0,0,0,0
7.150698,0,0,0,0
5.865776,0,0,0,0
5.409012,0,0,0,0
5.214121,0,0,0,0
4.718697,0,0,0,0
2.833552,0,0,0,0
5.103076,3,1,0,1052
2.982789,4,1,0,1355
0.003747,5,1,0,1639
0.003077,6,1,0,1966
0.395796,7,1,0,2273
1.098398,8,1,0,2700
1.213125,9,1,0,2995
2.196407,10,1,0,2990
1.260245,0,0,0,0
1.391087,0,0,0,0
0.930759,0,0,0,0
62.485386,0,0,0,0
0.924406,0,0,0,0
1.080462,0,0,0,0
1.253533,0,0,0,0
1.307764,0,0,0,0
1.477887,0,0,0,0
1.997600,0,0,0,0
1.932378,0,0,0,0
1.936958,0,0,0,0
1.816939,0,0,0,0
1.633531,0,0,0,0
1.915892,0,0,0,0
2.923977,3,1,0,730
3.701369,3,1,0,677
3.019636,4,1,0,713
2.747634,4,2,0,778
0.003916,6,1,0,1061
0.003133,7,1,0,1304
0.630185,9,1,0,1517
0.546617,6,5,0,1410
0.272262,0,0,0,0
0.696954,0,0,0,0
0.826541,0,0,0,0
0.887840,0,0,0,0
0.668838,0,0,0,0
40.579887,0,0,0,0
0.429890,0,0,0,0
0.471478,0,0,0,0
0.587718,0,0,0,0
0.783667,0,0,0,0
0.763394,0,0,0,0
0.869596,0,0,0,0
1.054543,0,0,0,0
1.023383,0,0,0,0
1.312867,0,0,0,0
1.134242,0,0,0,0
1.287374,0,0,0,0
1.849197,0,0,0,0
1.478685,0,0,0,0
1.144711,0,0,0,0
2.162729,0,0,0,0
0.751456,0,0,0,0
0.833002,0,0,0,0
0.890538,0,0,0,0
1.381684,0,0,0,0
0.929953,0,0,0,0
2.180458,0,0,0,0
1.402410,0,0,0,0
1.649612,0,0,0,0
2.383371,0,0,0,0
1.866695,0,0,0,0
1.546054,0,0,0,0
1.735040,0,0,0,0
1.749987,0,0,0,0
1.955518,0,0,0,0
2.933097,0,0,0,0
2.805413,0,0,0,0
2.275855,0,0,0,0
2.308500,0,0,0,0
2.342910,0,0,0,0
2.930569,0,0,0,0
1.639330,0,0,0,0
2.956803,0,0,0,0
4.165058,0,0,0,0
2.597992,0,0,0,0
4.478620,0,0,0,0
4.508579,0,0,0,0
3.052333,0,0,0,0
2.528271,0,0,0,0
4.198405,0,0,0,0
3.308678,0,0,0,0
3.792614,0,0,0,0
4.330832,0,0,0,0
3.133127,0,0,0,0
4.212881,0,0,0,0
4.115008,0,0,0,0
3.987966,0,0,0,0
4.846054,0,0,0,0
3.508844,0,0,0,0
4.153652,0,0,0,0
4.708507,0,0,0,0
4.388802,0,0,0,0
5.138603,0,0,0,0
3.144863,0,0,0,0
5.437396,0,0,0,0
3.229811,0,0,0,0
3.511433,3,1,0,552
3.828388,4,1,0,713
3.131083,5,1,0,898
3.277004,6,1,0,1090
3.450339,7,1,0,1305
2.734282,8,1,0,1506
0.003626,9,1,0,1675
0.003173,10,1,0,1849
0.529628,0,0,0,0
0.676521,3,1,0,439
0.928055,4,1,0,606
0.876294,5,1,0,909
1.067494,6,1,0,1179
2.455319,7,1,0,1400
1.499320,8,1,0,1628
54.383456,9,1,0,2056
2.518389,10,1,0,2496
0.003194,0,0,0,0
0.002777,0,0,0,0
0.347901,0,0,0,0
0.578813,0,0,0,0
0.472426,0,0,0,0
