#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.424838,0.045876,0.463222,0.008883,0.008883,7.949576
8.034758,0.067441,0.981418,0.002693,0.002693,9.088507
8.548374,0.073631,1.046258,0.262986,0.262986,17.334305
8.188327,0.092651,1.906103,0.538371,0.538371,24.493596
8.751021,0.037249,2.273802,0.756306,0.756306,22.629985
5.786877,0.011146,1.209205,0.474965,0.474965,15.977968
6.689526,0.017237,2.547709,0.520489,0.520489,16.178966
9.298885,0.031216,3.562597,2.060088,2.060088,35.796202
10.354818,0.026493,4.381324,2.507719,2.507719,40.850885
10.040345,0.032276,5.304477,60.929050,60.929050,91.747775
9.390520,0.047562,6.800276,2.095458,2.095458,59.504953
7.734294,0.049865,0.510895,0.003126,0.003126,8.299911
8.219943,0.135110,1.308714,0.002624,0.002624,9.668003
8.668449,0.308477,7.436520,0.204615,0.204615,32.179025
9.175468,0.367062,11.972574,0.548338,0.548338,51.461239
7.478539,0.284208,6.964537,0.387599,0.387599,28.083242
9.447728,0.411044,18.595757,0.681860,0.681860,55.017068
7.839475,0.257202,6.564876,0.672490,0.672490,30.553766
8.624214,0.201228,12.024934,1.104462,1.104462,52.925865
8.688186,0.194999,18.650529,0.841767,0.841767,61.835518
6.423007,0.171216,12.914207,71.109106,71.109106,121.507334
10.346678,0.327106,31.979383,1.381693,1.381693,80.288032
8.077868,0.255876,11.976363,0.839821,0.839821,54.156060
8.389055,0.258141,15.010041,1.019723,1.019723,59.446535
9.729295,0.215679,15.834676,1.244950,1.244950,59.325915
6.451553,0.069527,10.900821,1.153489,1.153489,47.715947
6.110977,0.072950,9.153467,1.443836,1.443836,47.733783
5.651812,0.069378,9.297536,1.249684,1.249684,61.408911
11.341838,0.210019,32.350879,1.848743,1.848743,84.709116
8.036463,0.151345,18.182456,1.720164,1.720164,69.523459
7.673525,0.207275,18.281028,1.872421,1.872421,72.689416
8.504124,0.196430,26.906856,2.321700,2.321700,86.511330
9.615038,0.246767,26.261725,2.898462,2.898462,107.665384
12.874635,0.212384,19.557565,3.731606,3.731606,88.923717
6.933121,0.139499,15.412423,3.123897,3.123897,78.912784
8.223411,0.098583,14.311265,2.997475,2.997475,76.503582
6.902647,0.073038,11.048037,2.966077,2.966077,70.734257
7.846798,0.060584,15.210656,2.871701,2.871701,77.786539
7.349207,0.072273,16.833364,2.915325,2.915325,75.725730
8.918087,0.116442,20.532492,3.271787,3.271787,88.860361
6.690339,0.135798,17.314695,2.646897,2.646897,78.709333
6.314595,0.165949,17.763367,2.896573,2.896573,235.931865
9.994440,0.206323,31.379314,3.445008,3.445008,112.863300
9.703838,0.170861,24.898333,3.624562,3.624562,93.684131
7.250691,0.137034,18.126977,3.090789,3.090789,83.271259
6.139810,0.100182,17.945881,2.919692,2.919692,80.525591
6.668668,0.092460,16.455326,3.196051,3.196051,77.093657
6.795062,0.076221,14.873551,2.750047,2.750047,72.186597
8.081061,0.061347,20.260086,3.499585,3.499585,79.096181
7.031632,0.042196,15.811864,2.508260,2.508260,72.220728
4.741729,0.009643,0.099918,0.001566,0.001566,4.853704
7.265912,0.084458,0.895833,0.002900,0.002900,8.250840
6.372671,0.120547,1.053636,0.258332,0.258332,13.775737
7.784083,0.127221,1.784362,0.496362,0.496362,19.424132
5.768776,0.044862,1.028322,0.310174,0.310174,12.505882
8.238926,0.063132,2.691296,0.782279,0.782279,23.919000
9.173055,0.046962,3.042451,1.072459,1.072459,27.839094
8.905931,0.035459,3.415996,1.367892,1.367892,27.076385
9.215461,0.035649,4.084104,2.331064,2.331064,31.905759
8.296307,0.027814,3.276358,74.053188,74.053188,96.934506
10.221078,0.021670,4.674470,2.566698,2.566698,51.834789
9.536843,0.009807,5.962401,1.564533,1.564533,76.458892
7.560589,0.045735,0.479090,0.003507,0.003507,8.090803
7.413595,0.087365,0.916562,0.002646,0.002646,8.421826
8.612072,0.115517,1.379952,0.407914,0.407914,20.881630
7.854915,0.123508,1.806029,0.607593,0.607593,24.029738
9.047332,0.040102,2.178954,0.623155,0.623155,27.328533
8.293568,0.031953,2.420105,0.968968,0.968968,23.690652
9.371067,0.028732,3.056921,0.601253,0.601253,26.998057
9.587655,0.039093,3.588528,1.239748,1.239748,32.359949
6.150067,0.017058,1.815944,1.028596,1.028596,22.816350
10.759406,0.030736,4.735352,74.069841,74.069841,116.801144
9.641608,0.030806,5.183012,1.621087,1.621087,70.937633
7.835559,0.037089,0.368415,0.003090,0.003090,8.245977
7.790437,0.114471,0.796368,0.002653,0.002653,8.705613
7.655237,0.199912,1.559461,0.321089,0.321089,17.663353
8.291235,0.196249,7.977393,0.319681,0.319681,28.046745
8.495167,0.297030,10.909217,0.725294,0.725294,40.217919
7.489890,0.239333,7.963807,0.511758,0.511758,27.973182
9.167909,0.354012,18.345100,0.732275,0.732275,56.507342
9.323048,0.379858,12.604953,1.003059,1.003059,48.212807
9.547640,0.207902,12.444295,1.100413,1.100413,50.050872
7.958163,0.212279,13.627270,57.686586,57.686586,114.567667
9.803371,0.234521,16.021213,1.053037,1.053037,61.005105
11.131101,0.315650,36.581185,1.105554,1.105554,100.554293
10.299822,0.327972,37.213161,0.970351,0.970351,82.954033
11.368935,0.352036,39.013713,1.734881,1.734881,109.517424
10.181732,0.294064,26.457625,1.540718,1.540718,78.617467
7.380220,0.207380,24.010300,1.927678,1.927678,92.990453
8.898029,0.273692,24.001453,1.704864,1.704864,154.227889
9.130806,0.184307,30.412509,2.329555,2.329555,89.542621
12.299508,0.257438,35.897700,1.660281,1.660281,113.319975
8.562993,0.176853,23.417038,2.890497,2.890497,95.355375
11.288088,0.252957,41.323451,2.354072,2.354072,123.072927
9.021280,0.163352,27.598481,3.316890,3.316890,116.833322
9.430123,0.175870,25.406470,3.282350,3.282350,111.237332
6.544090,0.095762,18.455457,3.143807,3.143807,108.522909
6.224648,0.122749,18.429094,3.172343,3.172343,116.233000
8.098282,0.129014,20.590627,2.464093,2.464093,103.464352
5.978173,0.106402,18.912238,3.405196,3.405196,104.449802
5.842849,0.135354,17.991180,3.582095,3.582095,104.622023
10.938226,0.310813,39.125845,3.410205,3.410205,136.062309
8.016434,0.240863,20.137758,3.906751,3.906751,124.485554
7.504579,0.176100,22.609491,2.437410,2.437410,120.122176
9.788986,0.229917,25.309621,4.654793,4.654793,122.506224
7.530578,0.211662,18.113308,2.799439,2.799439,116.790872
8.943298,0.243426,24.664802,3.444082,3.444082,132.780985
6.225523,0.160501,15.116915,2.560942,2.560942,108.725293
4.946428,0.139192,14.770057,3.550542,3.550542,109.633931
5.402345,0.148025,13.339647,2.955570,2.955570,110.027372
5.415837,0.144176,16.192830,4.103874,4.103874,128.849323
5.438974,0.152733,12.283237,3.622598,3.622598,109.864343
7.114999,0.249349,16.569800,2.615965,2.615965,124.698643
9.068272,0.410107,30.153469,2.891305,2.891305,140.872600
6.753766,0.231505,12.722920,3.390574,3.390574,124.208188
5.589761,0.233747,16.627503,2.529846,2.529846,116.975897
5.174702,0.224149,14.647966,2.122416,2.122416,116.410519
7.885397,0.259786,17.805357,3.061787,3.061787,126.025186
5.877709,0.182607,11.128240,1.703655,1.703655,127.319562
3.803083,0.152701,9.745574,3.145051,3.145051,129.356491
4.374857,0.204751,10.689325,2.514319,2.514319,134.386873
4.823948,0.151630,10.106718,3.073504,3.073504,109.715456
6.441803,0.201323,13.568517,1.884771,1.884771,122.203362
7.251370,0.212268,12.406737,2.922661,2.922661,120.529518
9.704831,0.469666,29.525418,2.619879,2.619879,149.675750
10.621775,0.496552,31.708064,3.317764,3.317764,159.137663
5.891808,0.243775,13.431475,1.942262,1.942262,122.697145
6.842929,0.257726,14.194007,2.262037,2.262037,127.706503
6.941761,0.245724,17.160821,3.712796,3.712796,131.510438
7.091035,0.283609,17.337046,3.766840,3.766840,141.547660
5.176670,0.233606,12.479923,3.271622,3.271622,128.610789
7.001954,0.368470,14.427182,3.550878,3.550878,164.580145
10.550125,0.474890,29.972522,4.651265,4.651265,182.962015
6.046925,0.208293,14.235541,2.588837,2.588837,123.864714
7.036154,0.212222,19.197807,3.913019,3.913019,131.655526
6.238683,0.269643,14.162623,2.665594,2.665594,123.446110
8.932611,0.643519,30.080863,2.335017,2.335017,169.036009
7.050459,0.371940,18.262551,3.218053,3.218053,124.313495
5.923084,0.290497,16.488679,3.503630,3.503630,122.980407
5.430754,0.415184,12.973809,2.948255,2.948255,122.225884
6.101784,0.380602,16.215791,2.340940,2.340940,120.273886
5.688034,0.355950,14.394730,3.667688,3.667688,122.919598
6.042393,0.374601,17.055132,3.651863,3.651863,119.876681
5.573860,0.352161,14.022137,4.045532,4.045532,125.240520
5.684410,0.346478,16.388672,3.701533,3.701533,120.654902
5.365836,0.329434,15.512832,3.933019,3.933019,121.617161
5.687621,0.258033,13.475873,4.321666,4.321666,122.611271
5.071336,0.301118,14.015428,2.536158,2.536158,387.855913
4.293598,0.429013,12.217125,1.091830,1.091830,66.853143
6.926590,0.438707,21.579621,1.491028,1.491028,126.915295
5.013931,0.371473,14.102072,2.676355,2.676355,106.915846
5.487636,0.346578,13.571835,2.929818,2.929818,123.508557
5.038067,0.290354,16.312570,2.962719,2.962719,107.711865
4.554548,0.229961,15.145226,2.776889,2.776889,113.861904
5.459388,0.268783,17.678752,2.827208,2.827208,117.992404
5.332138,0.272514,17.022559,2.796620,2.796620,118.722292
5.035993,0.279858,15.297541,3.219453,3.219453,104.512545
4.326918,0.151240,14.784201,3.960632,3.960632,108.389689
4.142874,0.136860,13.256598,3.741980,3.741980,102.786480
