#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,13.422814,2.710288,0.006916,5.957459,1.658902,0.001192,18.668806
1403637130588318976.000000,0.000000,0.000000,12.422141,2.671179,0.067840,1.746441,1.457391,0.000480,18.091164
1403637130638319104.000000,0.000000,0.000000,13.708185,2.963195,0.051809,1.748686,1.456666,0.000466,19.486891
1403637130688318976.000000,0.000000,0.000000,12.640587,3.817700,0.065985,1.736829,1.363388,0.000438,19.457442
1403637130738319104.000000,0.000000,0.000000,13.268038,5.751843,0.094008,3.598422,1.983412,0.000741,28.641688
1403637130788318976.000000,0.000000,0.000000,14.500860,4.359750,0.047198,3.902128,3.104967,1.253627,30.066619
1403637130838319104.000000,0.000000,0.000000,13.205966,2.236497,0.078297,2.935850,2.063353,0.000535,21.560496
1403637130888318976.000000,0.000000,0.000000,11.208427,2.921266,0.054889,3.677352,2.725729,0.000752,20.698324
1403637130938319104.000000,0.000000,0.000000,13.082694,2.494540,0.047699,1.909743,1.900587,0.000495,21.470825
1403637130988318976.000000,0.000000,0.000000,11.453558,5.248215,0.088603,3.497508,2.668059,0.000790,25.673726
1403637131038319104.000000,0.000000,0.000000,12.552760,5.464627,0.088898,5.773784,3.779248,0.000957,29.340395
1403637131088318976.000000,0.000000,0.000000,14.099242,5.340136,0.062755,3.158572,1.885719,0.446550,28.056053
1403637131138319104.000000,0.000000,0.000000,14.259796,6.042216,0.095171,3.639021,2.623251,0.000664,29.999810
1403637131188318976.000000,0.000000,0.000000,12.574291,2.631938,0.051472,2.922648,4.166514,0.000941,22.008098
1403637131238319104.000000,0.000000,0.000000,13.207754,8.146809,0.086103,4.100915,2.701235,0.000611,30.578420
1403637131288318976.000000,0.000000,0.000000,13.205053,3.116206,0.091418,3.780543,2.619988,0.000823,29.519727
1403637131338319104.000000,0.000000,0.000000,14.038409,4.923811,0.085750,4.023954,3.109281,0.708836,27.347298
1403637131388318976.000000,0.000000,0.000000,13.069809,5.175886,0.069356,3.343524,4.392383,0.000977,27.537756
1403637131438319104.000000,0.000000,0.000000,11.883848,6.156406,0.101176,2.020227,1.827583,0.000496,28.434216
1403637131488318976.000000,0.000000,0.000000,12.539960,5.094015,0.091435,2.144490,3.590981,0.000741,27.808043
1403637131538319104.000000,0.000000,0.000000,13.452323,5.144374,0.088318,1.712986,1.693150,0.000558,28.224805
1403637131588318976.000000,0.000000,0.000000,12.286257,5.327104,0.089841,1.915592,1.643843,0.449219,28.817794
1403637131638319104.000000,0.000000,0.000000,13.072247,3.918380,0.060195,1.981213,1.312528,0.000493,28.418157
1403637131688318976.000000,0.000000,0.000000,13.676462,2.668515,0.053831,1.865200,1.843298,0.000543,23.457526
1403637131738319104.000000,0.000000,0.000000,13.441928,2.681508,0.049132,2.582025,2.754128,0.001027,25.000774
1403637131788318976.000000,0.000000,0.000000,12.905974,2.428663,0.036274,5.007708,3.396170,0.000889,21.575694
1403637131838319104.000000,0.000000,0.000000,12.887778,2.614828,0.047035,2.269699,1.896694,0.476426,22.176558
1403637131888318976.000000,0.000000,0.000000,13.052353,3.125955,0.058637,4.748404,3.326741,0.000824,22.159659
1403637131938319104.000000,0.000000,0.000000,12.233447,2.349641,0.057795,2.265824,1.645988,0.000484,21.078602
1403637131988318976.000000,0.000000,0.000000,14.468355,3.791835,0.068407,3.917899,2.629523,0.000643,27.056608
1403637132038319104.000000,0.000000,0.000000,12.791223,6.216102,0.140900,1.902075,1.779814,0.000533,30.657891
1403637132088318976.000000,0.000000,0.000000,13.229706,2.554271,0.049859,1.868270,1.379805,0.518897,23.061787
1403637132138319104.000000,0.000000,0.000000,11.812020,6.286831,0.089764,1.888818,1.517093,0.000457,29.816738
1403637132188318976.000000,0.000000,0.000000,12.564714,2.622373,0.051707,3.379481,3.464515,0.000604,22.421669
1403637132238319104.000000,0.000000,0.000000,12.037199,5.403393,0.094515,1.772228,1.925688,0.000595,27.653692
