#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009033,3,1,0,795
0.003560,4,1,0,1122
0.189440,5,1,0,1311
0.263309,6,1,0,1665
0.615865,7,1,0,1863
0.611662,8,1,0,1934
0.593311,9,1,0,2216
1.056770,10,1,0,2624
1.031770,0,0,0,0
39.190028,0,0,0,0
1.060917,0,0,0,0
1.215430,0,0,0,0
1.322871,0,0,0,0
1.440932,0,0,0,0
1.516147,0,0,0,0
1.660049,0,0,0,0
2.061911,0,0,0,0
1.698702,0,0,0,0
2.305693,0,0,0,0
1.958662,0,0,0,0
2.828973,0,0,0,0
3.046113,0,0,0,0
2.825220,0,0,0,0
3.089977,0,0,0,0
2.972867,0,0,0,0
3.920422,0,0,0,0
3.101841,0,0,0,0
3.327949,0,0,0,0
2.750465,0,0,0,0
3.899807,0,0,0,0
3.852085,0,0,0,0
4.412357,0,0,0,0
5.449813,0,0,0,0
3.025760,0,0,0,0
3.815444,0,0,0,0
5.073728,3,1,0,1018
2.775190,4,1,0,1361
0.002770,5,1,0,1694
0.002737,6,1,0,2021
0.377922,7,1,0,2339
0.962370,8,1,0,2679
1.411587,9,1,0,3038
2.119988,10,1,0,3392
1.786913,0,0,0,0
1.910561,0,0,0,0
2.039505,0,0,0,0
81.809007,0,0,0,0
1.419917,0,0,0,0
1.406854,0,0,0,0
1.603682,0,0,0,0
1.762698,0,0,0,0
1.641779,0,0,0,0
2.289761,0,0,0,0
2.013995,0,0,0,0
2.113127,0,0,0,0
2.175540,0,0,0,0
2.275483,0,0,0,0
2.680164,0,0,0,0
3.311711,0,0,0,0
3.564532,0,0,0,0
3.110469,0,0,0,0
3.497609,0,0,0,0
2.950746,0,0,0,0
3.324626,0,0,0,0
3.107496,0,0,0,0
3.400214,0,0,0,0
2.940892,0,0,0,0
3.479431,0,0,0,0
3.293714,0,0,0,0
3.898609,0,0,0,0
2.803114,0,0,0,0
4.122609,0,0,0,0
3.150129,0,0,0,0
2.920117,0,0,0,0
2.720234,0,0,0,0
2.846947,0,0,0,0
2.769326,0,0,0,0
2.771659,0,0,0,0
2.835901,0,0,0,0
2.965591,0,0,0,0
2.795106,0,0,0,0
3.627802,0,0,0,0
3.161256,0,0,0,0
4.999986,0,0,0,0
3.128061,0,0,0,0
3.802911,0,0,0,0
3.423094,0,0,0,0
3.462347,0,0,0,0
2.953992,0,0,0,0
1.955144,0,0,0,0
3.176599,0,0,0,0
2.584421,0,0,0,0
1.755863,0,0,0,0
2.510322,0,0,0,0
2.604131,0,0,0,0
2.156798,0,0,0,0
2.130197,0,0,0,0
3.094314,0,0,0,0
2.833238,0,0,0,0
2.739399,0,0,0,0
2.952512,0,0,0,0
2.105124,0,0,0,0
2.507830,0,0,0,0
2.388781,0,0,0,0
1.637638,0,0,0,0
4.662875,0,0,0,0
2.512240,0,0,0,0
3.696218,0,0,0,0
3.729435,0,0,0,0
1.838674,0,0,0,0
2.924201,0,0,0,0
2.771620,0,0,0,0
3.873593,0,0,0,0
2.997893,0,0,0,0
1.927373,0,0,0,0
2.577543,0,0,0,0
2.716110,0,0,0,0
4.045131,0,0,0,0
2.726552,0,0,0,0
3.126537,0,0,0,0
3.307109,0,0,0,0
2.958122,0,0,0,0
3.291642,0,0,0,0
2.638803,0,0,0,0
4.135655,0,0,0,0
3.698846,0,0,0,0
3.345223,0,0,0,0
2.823884,0,0,0,0
4.442448,0,0,0,0
2.742696,0,0,0,0
3.192136,0,0,0,0
3.152997,0,0,0,0
2.921733,0,0,0,0
3.246806,0,0,0,0
2.924768,0,0,0,0
2.461815,0,0,0,0
3.466207,0,0,0,0
2.938193,0,0,0,0
5.454529,0,0,0,0
2.042428,0,0,0,0
3.565080,0,0,0,0
2.952656,0,0,0,0
3.545584,0,0,0,0
2.524473,0,0,0,0
3.804662,0,0,0,0
4.806421,0,0,0,0
3.891510,0,0,0,0
3.947466,0,0,0,0
3.889865,0,0,0,0
4.057896,0,0,0,0
3.324488,0,0,0,0
4.148244,0,0,0,0
3.331665,0,0,0,0
3.748612,0,0,0,0
3.290187,0,0,0,0
3.644215,0,0,0,0
3.549025,0,0,0,0
4.191566,0,0,0,0
3.292817,0,0,0,0
4.252433,0,0,0,0
4.338743,0,0,0,0
3.362802,0,0,0,0
5.841427,0,0,0,0
3.510383,0,0,0,0
3.769460,0,0,0,0
5.572063,0,0,0,0
3.520710,0,0,0,0
3.574281,0,0,0,0
3.807152,0,0,0,0
5.076819,0,0,0,0
4.293035,0,0,0,0
2.898972,0,0,0,0
4.105707,0,0,0,0
3.448354,0,0,0,0
3.528321,0,0,0,0
2.764910,0,0,0,0
5.086940,0,0,0,0
3.211170,0,0,0,0
4.274145,0,0,0,0
3.531715,0,0,0,0
4.508941,0,0,0,0
2.892586,0,0,0,0
5.268010,0,0,0,0
3.761083,0,0,0,0
2.848125,0,0,0,0
2.842137,0,0,0,0
5.165412,0,0,0,0
3.811117,0,0,0,0
4.010472,0,0,0,0
6.346831,0,0,0,0
6.016101,0,0,0,0
4.615480,0,0,0,0
4.661628,0,0,0,0
4.229883,0,0,0,0
4.263899,0,0,0,0
4.078250,0,0,0,0
4.071657,0,0,0,0
4.443274,0,0,0,0
5.535270,0,0,0,0
6.583379,0,0,0,0
8.421044,0,0,0,0
5.687962,0,0,0,0
6.247357,0,0,0,0
4.974303,0,0,0,0
5.746757,0,0,0,0
5.442408,0,0,0,0
5.665463,0,0,0,0
6.030443,0,0,0,0
7.788980,0,0,0,0
5.135460,0,0,0,0
7.309042,0,0,0,0
5.426466,0,0,0,0
7.236789,0,0,0,0
4.963882,0,0,0,0
5.827055,0,0,0,0
6.406709,0,0,0,0
6.455236,0,0,0,0
8.445595,0,0,0,0
6.008778,0,0,0,0
5.216698,0,0,0,0
8.048099,0,0,0,0
6.233130,0,0,0,0
8.377392,0,0,0,0
8.074949,0,0,0,0
9.416341,0,0,0,0
6.643764,0,0,0,0
7.380264,0,0,0,0
7.566857,0,0,0,0
10.165142,0,0,0,0
10.767852,0,0,0,0
8.581025,0,0,0,0
9.670578,0,0,0,0
10.042508,0,0,0,0
11.140018,0,0,0,0
8.923879,0,0,0,0
7.879196,0,0,0,0
13.952068,0,0,0,0
9.076257,0,0,0,0
8.919406,0,0,0,0
9.764929,0,0,0,0
12.721082,0,0,0,0
11.704884,0,0,0,0
10.640253,0,0,0,0
8.856625,0,0,0,0
13.131469,0,0,0,0
11.434120,0,0,0,0
11.657983,0,0,0,0
9.720459,0,0,0,0
12.390874,0,0,0,0
9.437042,0,0,0,0
9.376967,0,0,0,0
10.825553,0,0,0,0
9.561406,0,0,0,0
9.162563,0,0,0,0
9.946233,0,0,0,0
9.063986,0,0,0,0
9.739192,0,0,0,0
9.822041,0,0,0,0
7.238552,0,0,0,0
9.205299,0,0,0,0
11.032718,0,0,0,0
11.218566,0,0,0,0
10.558420,0,0,0,0
9.333701,0,0,0,0
5.879667,0,0,0,0
8.532987,0,0,0,0
12.098543,0,0,0,0
8.352211,0,0,0,0
11.632005,0,0,0,0
10.510742,0,0,0,0
8.347592,0,0,0,0
10.382596,0,0,0,0
10.176396,0,0,0,0
9.354368,0,0,0,0
9.090110,0,0,0,0
8.636381,0,0,0,0
10.362864,0,0,0,0
9.909766,0,0,0,0
7.450498,0,0,0,0
9.019735,0,0,0,0
7.971128,0,0,0,0
6.826752,0,0,0,0
6.698661,0,0,0,0
6.991022,0,0,0,0
6.941862,0,0,0,0
8.754592,0,0,0,0
8.408768,0,0,0,0
5.140923,0,0,0,0
8.628172,0,0,0,0
6.287910,0,0,0,0
9.829954,0,0,0,0
7.506064,0,0,0,0
7.384133,0,0,0,0
7.107126,0,0,0,0
6.886184,0,0,0,0
6.558902,0,0,0,0
6.765072,0,0,0,0
6.617571,0,0,0,0
8.343828,0,0,0,0
6.426412,0,0,0,0
6.916447,0,0,0,0
7.539910,0,0,0,0
4.448117,0,0,0,0
6.986943,0,0,0,0
6.359515,0,0,0,0
6.419167,0,0,0,0
5.333405,0,0,0,0
7.734413,0,0,0,0
7.438061,0,0,0,0
7.300464,0,0,0,0
5.563095,0,0,0,0
6.836941,0,0,0,0
6.034119,0,0,0,0
6.078000,0,0,0,0
10.533911,0,0,0,0
9.378279,0,0,0,0
