#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
6.281459,0.048302,0.482693,0.008139,0.008139,6.827151
7.204663,0.072772,0.950633,0.002824,0.002824,8.233268
7.417674,0.086351,0.965200,0.212582,0.212582,14.880137
5.701877,0.044118,0.800065,0.236598,0.236598,12.201348
8.741204,0.038316,2.339517,0.718575,0.718575,26.537069
9.453376,0.029002,2.575280,0.960910,0.960910,30.361295
9.116329,0.029163,3.204303,0.954884,0.954884,28.163621
6.914316,0.024173,2.565627,1.095617,1.095617,21.484302
7.736208,0.054679,5.595393,1.847164,1.847164,41.191254
10.226437,0.027199,5.397557,61.051854,61.051854,104.225794
9.905697,0.030455,5.310500,1.959679,1.959679,43.178432
10.372300,0.015343,7.145085,2.151929,2.151929,56.381941
6.604447,0.052292,0.518563,0.003100,0.003100,7.180595
8.325473,0.138311,1.243584,0.003433,0.003433,9.712698
7.943517,0.213966,7.190356,0.302751,0.302751,30.648306
7.256211,0.222893,7.916632,0.509063,0.509063,33.140615
8.886694,0.330210,7.680795,0.471537,0.471537,33.200940
9.424402,0.320996,14.082146,0.832926,0.832926,65.638346
8.714675,0.349742,10.840637,0.998991,0.998991,52.038033
8.893961,0.208295,11.874799,0.742043,0.742043,49.236989
9.386741,0.190522,16.659746,1.462071,1.462071,64.338789
9.655049,0.136060,13.356637,31.970081,31.970081,80.281091
5.739143,0.155437,10.420195,1.173626,1.173626,43.130747
8.468678,0.193853,10.198113,1.440034,1.440034,45.355348
6.380732,0.124475,9.566175,1.174767,1.174767,45.672729
6.439539,0.094163,9.514260,1.262775,1.262775,47.055328
5.891272,0.082274,9.112519,1.370181,1.370181,62.351030
6.892301,0.092540,10.864338,1.342678,1.342678,64.243025
11.576178,0.173800,33.620383,1.616027,1.616027,89.029685
6.991450,0.087060,13.988911,1.645675,1.645675,73.104830
12.574984,0.237808,28.179811,3.021664,3.021664,91.165577
7.195032,0.132021,16.413944,1.764656,1.764656,74.846941
14.134938,0.385692,25.646574,2.125120,2.125120,98.439728
6.625381,0.117935,15.962428,3.517597,3.517597,83.054403
7.064826,0.116023,14.704380,3.972216,3.972216,86.869426
6.691935,0.079695,13.241470,3.027406,3.027406,81.903164
6.290836,0.063379,10.675518,2.961487,2.961487,71.556816
8.363665,0.064629,14.691297,3.499076,3.499076,82.046588
6.871001,0.062682,12.002138,3.034024,3.034024,76.005325
12.191513,0.161534,25.835172,4.001947,4.001947,100.029704
14.589845,0.328010,31.817748,3.226098,3.226098,230.534042
14.373566,0.253035,34.548172,3.058124,3.058124,106.795306
6.934123,0.091117,16.104637,3.183926,3.183926,78.422910
7.018379,0.091556,14.241812,2.724381,2.724381,76.361770
7.508329,0.068480,15.901610,4.170888,4.170888,81.637593
7.001539,0.046323,14.051262,4.012776,4.012776,79.267825
6.079888,0.034893,13.726999,3.224800,3.224800,89.599097
6.862737,0.038616,0.399708,0.003177,0.003177,7.305961
7.867105,0.127968,1.069241,0.002647,0.002647,9.068750
6.509363,0.087473,0.718518,0.210547,0.210547,12.115149
8.480000,0.141723,2.196018,0.533759,0.533759,22.391133
8.630506,0.082862,2.514477,0.784914,0.784914,27.332566
8.682007,0.054848,5.323448,1.085344,1.085344,32.098810
8.267779,0.031037,2.419983,0.740863,0.740863,20.197728
9.069371,0.039399,4.076300,1.256723,1.256723,26.882378
10.019997,0.029796,4.846529,2.229210,2.229210,37.541683
9.862787,0.022340,5.092057,87.597647,87.597647,124.928348
10.750939,0.025489,2.856413,2.193853,2.193853,32.193953
11.049639,0.011160,7.125944,2.303071,2.303071,61.368733
4.935346,0.024749,0.236024,0.002013,0.002013,5.199369
8.306183,0.115067,1.217715,0.002787,0.002787,9.643702
8.538868,0.149297,1.642619,0.361135,0.361135,22.478540
8.032072,0.140194,2.218010,0.526752,0.526752,23.520449
8.219511,0.041453,2.616689,0.711951,0.711951,26.231348
9.629203,0.033865,3.204887,1.682728,1.682728,30.195133
10.263459,0.027180,3.188043,2.110184,2.110184,41.657497
10.245287,0.025336,4.334116,1.328780,1.328780,35.797043
10.129902,0.027549,4.965573,2.805482,2.805482,44.571130
11.446128,0.027549,5.067539,45.144086,45.144086,90.539298
7.095549,0.015248,2.643671,1.706194,1.706194,53.754601
6.112351,0.005177,3.859403,1.749125,1.749125,58.849036
7.567589,0.048085,0.489210,0.003137,0.003137,8.109901
6.977691,0.117078,1.042961,0.003174,0.003174,8.142630
8.056028,0.262332,1.810748,0.440194,0.440194,22.050509
7.656370,0.224792,6.145979,0.354853,0.354853,24.521356
7.068428,0.219086,6.516174,0.545796,0.545796,25.939903
7.665370,0.231102,9.022516,0.863906,0.863906,35.840540
9.718617,0.330860,17.322625,0.685415,0.685415,54.398726
9.707754,0.293414,19.542255,1.196873,1.196873,65.571776
8.649497,0.166725,10.032091,1.192327,1.192327,48.941334
9.853468,0.307380,24.863338,51.570078,51.570078,114.650869
7.320562,0.133354,16.047287,0.850651,0.850651,55.282650
9.862898,0.306707,32.380534,1.156962,1.156962,85.323393
11.605041,0.367853,27.173579,1.291971,1.291971,83.312033
11.794574,0.335466,36.022634,1.903322,1.903322,96.620772
6.254681,0.184207,31.356912,1.524572,1.524572,95.256244
11.677827,0.326359,24.484649,2.413269,2.413269,81.898726
10.723869,0.340593,28.606588,1.672892,1.672892,234.903180
7.244136,0.190399,17.224020,1.903666,1.903666,79.959870
11.959793,0.358873,37.272955,1.746236,1.746236,112.753011
12.927079,0.258811,30.647201,1.901781,1.901781,104.843023
7.364490,0.172122,20.774889,2.153192,2.153192,94.906721
9.047366,0.186151,19.749751,2.395929,2.395929,105.480483
12.374898,0.346140,32.683611,4.184598,4.184598,131.437542
12.467907,0.340756,35.581259,3.160228,3.160228,150.607478
12.453210,0.378159,35.396790,4.783742,4.783742,152.865111
11.917655,0.364792,36.275875,2.538347,2.538347,162.709667
12.152594,0.232293,32.883345,4.298599,4.298599,149.999252
6.825195,0.127299,17.528831,4.268954,4.268954,135.482729
8.404557,0.151849,16.649781,3.079877,3.079877,139.119279
13.503491,0.345640,33.956504,3.971804,3.971804,153.264345
6.144282,0.133815,15.699341,2.469325,2.469325,123.818086
8.711880,0.183359,19.456708,4.223261,4.223261,167.249363
