#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.638766,2.774007,0.002467,5.654442,1.863217,0.001195,23.062970
1403637130588318976.000000,0.000000,0.000000,17.484799,2.653731,0.056150,1.686294,1.403914,0.000407,22.869436
1403637130638319104.000000,0.000000,0.000000,17.257945,2.432550,0.063784,1.737074,1.204928,0.000497,23.080376
1403637130688318976.000000,0.000000,0.000000,17.500453,2.451238,0.042402,1.616077,1.423522,0.000465,23.213897
1403637130738319104.000000,0.000000,0.000000,17.509021,5.330441,0.087383,1.643013,1.507264,0.000464,26.678688
1403637130788318976.000000,0.000000,0.000000,20.052387,2.481171,0.045007,1.538369,1.675666,0.165534,33.142604
1403637130838319104.000000,0.000000,0.000000,18.391888,5.028166,0.070529,1.718803,1.741637,0.000364,29.343252
1403637130888318976.000000,0.000000,0.000000,17.936967,2.233519,0.054656,1.885721,1.355265,0.000411,25.694967
1403637130938319104.000000,0.000000,0.000000,18.330705,2.327294,0.046762,1.589867,1.567149,0.000477,26.320131
1403637130988318976.000000,0.000000,0.000000,19.503793,2.496581,0.044780,1.808649,1.198897,0.000480,28.820916
1403637131038319104.000000,0.000000,0.000000,17.570596,2.359898,0.046541,3.995694,4.243012,0.000750,26.816001
1403637131088318976.000000,0.000000,0.000000,19.187710,2.579215,0.049759,1.886625,1.459059,0.177538,28.182405
1403637131138319104.000000,0.000000,0.000000,17.521388,2.395140,0.054934,4.378655,3.748703,0.000800,26.123073
1403637131188318976.000000,0.000000,0.000000,17.291159,2.463190,0.047100,1.774429,1.572549,0.000533,25.892141
1403637131238319104.000000,0.000000,0.000000,17.493652,2.410612,0.037583,3.824326,3.713672,0.000828,25.469978
1403637131288318976.000000,0.000000,0.000000,19.521962,4.631632,0.099084,4.029819,3.429803,0.000705,36.222179
1403637131338319104.000000,0.000000,0.000000,18.258695,2.370631,0.069592,3.905938,2.933053,0.335349,27.177382
1403637131388318976.000000,0.000000,0.000000,17.163650,6.101010,0.099340,2.028433,1.696304,0.000593,34.719310
1403637131438319104.000000,0.000000,0.000000,19.141077,3.122093,0.051182,1.924805,1.404561,0.000491,28.551278
1403637131488318976.000000,0.000000,0.000000,18.882257,6.247016,0.110106,1.925690,1.558954,0.000456,35.895992
1403637131538319104.000000,0.000000,0.000000,18.764095,6.231563,0.107821,1.715213,1.725664,0.000434,35.687873
