#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008766,3,1,0,800
0.002697,4,1,0,810
0.223160,5,1,0,1300
0.247691,6,1,0,1844
0.587231,7,1,0,2129
0.551550,8,1,0,2494
0.469100,9,1,0,2747
1.025007,10,1,0,2786
0.586964,0,0,0,0
58.900244,0,0,0,0
1.230991,0,0,0,0
0.913443,0,0,0,0
1.246404,0,0,0,0
2.189444,0,0,0,0
1.320076,0,0,0,0
1.374362,0,0,0,0
1.994384,0,0,0,0
1.936732,0,0,0,0
2.314225,0,0,0,0
2.383725,0,0,0,0
2.710416,0,0,0,0
3.246691,0,0,0,0
3.023002,0,0,0,0
3.618378,0,0,0,0
3.274879,0,0,0,0
3.494403,0,0,0,0
4.179184,0,0,0,0
3.498601,0,0,0,0
4.581674,0,0,0,0
3.497206,0,0,0,0
4.251900,0,0,0,0
3.362375,3,1,0,983
3.818225,4,1,0,1262
0.002166,5,1,0,1589
0.002443,6,1,0,1893
0.723765,7,1,0,2320
0.487392,8,1,0,2562
0.808268,9,1,0,2833
0.995730,10,1,0,3178
1.322279,0,0,0,0
1.499965,0,0,0,0
1.386619,0,0,0,0
40.556083,0,0,0,0
0.925686,0,0,0,0
1.243611,0,0,0,0
1.451802,0,0,0,0
1.572962,0,0,0,0
2.152756,0,0,0,0
1.926783,0,0,0,0
2.198466,0,0,0,0
2.129073,0,0,0,0
2.052843,0,0,0,0
2.342477,0,0,0,0
5.005616,0,0,0,0
3.675570,0,0,0,0
3.096703,0,0,0,0
3.007927,0,0,0,0
3.222523,0,0,0,0
3.203168,0,0,0,0
3.038212,0,0,0,0
2.991648,0,0,0,0
3.487685,0,0,0,0
3.375272,0,0,0,0
3.118966,0,0,0,0
2.491036,0,0,0,0
3.006820,0,0,0,0
3.101738,0,0,0,0
4.660579,0,0,0,0
2.297674,0,0,0,0
2.262122,0,0,0,0
5.357105,0,0,0,0
2.882946,0,0,0,0
2.996945,0,0,0,0
2.444145,0,0,0,0
3.640632,0,0,0,0
3.453323,0,0,0,0
4.434550,0,0,0,0
1.968754,0,0,0,0
2.278212,0,0,0,0
3.480765,0,0,0,0
2.176378,0,0,0,0
4.234848,0,0,0,0
2.193807,0,0,0,0
4.651987,0,0,0,0
2.217770,0,0,0,0
1.721291,0,0,0,0
3.118693,0,0,0,0
3.116976,0,0,0,0
4.091216,0,0,0,0
2.415455,0,0,0,0
2.542280,0,0,0,0
2.666743,0,0,0,0
2.237976,0,0,0,0
3.091331,0,0,0,0
2.490687,0,0,0,0
2.597209,0,0,0,0
2.695578,0,0,0,0
1.903375,0,0,0,0
3.703096,0,0,0,0
2.337045,0,0,0,0
3.292337,0,0,0,0
1.645639,0,0,0,0
2.977329,0,0,0,0
2.212999,0,0,0,0
3.487718,0,0,0,0
4.202965,0,0,0,0
3.428305,0,0,0,0
3.111123,0,0,0,0
2.584726,0,0,0,0
3.053538,0,0,0,0
3.531306,0,0,0,0
2.098094,0,0,0,0
3.470226,0,0,0,0
4.190527,0,0,0,0
3.192573,0,0,0,0
2.020299,0,0,0,0
3.603614,0,0,0,0
3.361522,0,0,0,0
2.830618,0,0,0,0
1.793365,0,0,0,0
2.349366,0,0,0,0
2.500050,0,0,0,0
2.563858,0,0,0,0
1.949276,0,0,0,0
3.129747,0,0,0,0
3.190691,0,0,0,0
1.688656,0,0,0,0
3.618060,0,0,0,0
2.727221,0,0,0,0
2.138720,0,0,0,0
3.603518,0,0,0,0
3.061821,0,0,0,0
2.399729,0,0,0,0
3.428440,0,0,0,0
2.490586,0,0,0,0
3.037573,0,0,0,0
3.309611,0,0,0,0
2.969215,0,0,0,0
3.505655,0,0,0,0
3.121248,0,0,0,0
4.054735,0,0,0,0
3.206558,0,0,0,0
1.771637,0,0,0,0
4.931351,0,0,0,0
3.546999,0,0,0,0
3.749068,0,0,0,0
3.872812,0,0,0,0
2.888502,0,0,0,0
3.579408,0,0,0,0
3.799019,0,0,0,0
3.422063,0,0,0,0
4.829910,0,0,0,0
1.690828,0,0,0,0
4.617008,0,0,0,0
3.242223,0,0,0,0
3.450120,0,0,0,0
4.111800,0,0,0,0
2.999943,0,0,0,0
3.714792,0,0,0,0
4.443932,0,0,0,0
3.729426,0,0,0,0
4.587472,0,0,0,0
3.187600,0,0,0,0
4.295620,0,0,0,0
3.426505,0,0,0,0
3.875528,0,0,0,0
4.722840,0,0,0,0
3.536726,0,0,0,0
4.541176,0,0,0,0
3.901847,0,0,0,0
4.005828,0,0,0,0
4.790637,0,0,0,0
2.409536,0,0,0,0
4.487485,0,0,0,0
4.577972,0,0,0,0
4.769473,0,0,0,0
3.986387,0,0,0,0
2.496398,0,0,0,0
3.889043,0,0,0,0
4.073757,0,0,0,0
4.901345,0,0,0,0
4.505273,0,0,0,0
2.855275,0,0,0,0
3.788151,0,0,0,0
4.656744,0,0,0,0
3.744831,0,0,0,0
4.197531,0,0,0,0
5.680711,0,0,0,0
2.637043,0,0,0,0
3.386593,0,0,0,0
3.522917,0,0,0,0
3.347114,0,0,0,0
2.631235,0,0,0,0
4.534273,0,0,0,0
3.642795,0,0,0,0
6.879880,0,0,0,0
3.743002,0,0,0,0
3.747282,0,0,0,0
4.955916,0,0,0,0
3.347273,0,0,0,0
4.609675,0,0,0,0
5.375986,0,0,0,0
4.763383,0,0,0,0
5.782714,0,0,0,0
5.340762,0,0,0,0
4.152722,0,0,0,0
5.342481,0,0,0,0
5.205476,0,0,0,0
