#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.018207,0.040213,0.411965,0.008897,0.008897,7.486711
6.817255,0.052405,0.526535,0.001737,0.001737,7.399333
8.211289,0.182657,4.015591,0.119940,0.119940,21.390473
8.285181,0.271145,9.671840,0.433015,0.433015,35.598630
8.486810,0.318633,10.486937,0.621261,0.621261,43.949541
9.274818,0.276384,12.671998,0.835980,0.835980,62.394772
9.164006,0.368829,13.552388,0.858484,0.858484,55.352971
6.708328,0.192196,6.709962,0.705233,0.705233,29.374420
8.094212,0.154346,11.681137,1.107881,1.107881,47.364216
10.385475,0.281407,22.720857,51.528740,51.528740,112.821183
8.360258,0.195903,17.215727,0.925207,0.925207,54.996302
9.638841,0.396098,15.933033,1.156253,1.156253,65.100912
10.094141,0.295134,16.370984,0.963670,0.963670,75.200524
7.992490,0.180783,13.645732,1.141685,1.141685,58.668126
7.397049,0.133138,12.531400,1.339295,1.339295,56.474395
5.806461,0.063846,8.181533,1.526167,1.526167,45.041751
4.985854,0.065077,8.075921,1.673940,1.673940,50.872176
7.439491,0.048516,0.544449,0.002826,0.002826,8.036986
8.052206,0.209816,3.915040,0.003246,0.003246,12.181949
8.711549,0.397536,6.841570,0.180659,0.180659,32.148931
9.005973,0.401755,6.026668,0.399225,0.399225,40.360208
6.357865,0.214615,3.855005,0.432102,0.432102,22.244179
8.542687,0.285125,9.125282,1.475930,1.475930,45.232090
7.960159,0.183110,8.047219,1.431636,1.431636,36.444316
9.133634,0.226665,16.003535,1.146348,1.146348,54.381487
10.006053,0.284201,14.641310,1.191927,1.191927,53.908261
5.912363,0.184659,8.895776,43.787061,43.787061,83.853753
10.851049,0.332520,22.471894,0.946229,0.946229,58.253616
9.475209,0.197023,17.175738,1.363643,1.363643,65.746915
12.407420,0.282333,19.549051,1.545456,1.545456,69.754460
5.773070,0.105924,11.302756,1.574572,1.574572,57.781453
10.163310,0.150607,18.489452,1.677357,1.677357,74.305162
7.185193,0.120031,13.579906,1.723611,1.723611,61.747079
10.056035,0.127884,22.799742,2.492076,2.492076,88.048503
11.797440,0.219365,32.855087,2.257911,2.257911,111.541140
12.893545,0.183359,27.906203,3.928406,3.928406,100.949297
9.724018,0.398197,29.755230,2.765901,2.765901,105.106941
13.561977,0.324820,28.788135,3.108870,3.108870,110.484115
6.828374,0.101503,13.056368,4.769039,4.769039,81.866438
6.995245,0.083895,12.395840,3.402522,3.402522,78.738488
11.135197,0.198066,25.415945,3.665469,3.665469,121.062966
8.177936,0.099960,14.846046,3.555961,3.555961,88.768644
6.248135,0.100160,12.312537,3.443380,3.443380,79.841883
6.424664,0.129865,14.103357,3.118608,3.118608,77.650136
5.547070,0.146094,11.720590,3.304073,3.304073,76.012860
6.337253,0.018948,0.164027,0.001740,0.001740,6.522932
7.828664,0.159483,1.506420,0.003006,0.003006,9.499466
7.709080,0.244325,2.329643,0.297344,0.297344,24.083510
9.080398,0.226609,3.611846,0.359000,0.359000,23.697544
5.765826,0.126029,2.163287,0.994648,0.994648,21.198225
9.197192,0.198326,5.241850,0.608058,0.608058,26.075552
6.187047,0.091785,4.160041,0.952846,0.952846,26.071738
6.428506,0.128482,4.622823,1.096653,1.096653,24.013672
9.806004,0.235395,21.249693,1.597334,1.597334,61.881189
10.409450,0.521512,17.049759,65.253894,65.253894,124.984621
5.792138,0.195974,12.656444,0.999206,0.999206,41.874675
10.546242,0.368072,28.260548,1.055997,1.055997,78.080580
11.279706,0.333017,15.643337,1.187813,1.187813,65.679532
8.305695,0.342649,27.234078,1.428560,1.428560,81.023971
7.780392,0.206901,14.605323,1.462055,1.462055,58.056893
8.940212,0.278067,18.905358,1.600283,1.600283,68.933812
6.652012,0.172602,13.415754,1.345474,1.345474,63.601317
9.003225,0.266899,21.143488,1.616636,1.616636,71.777873
6.889424,0.201088,15.157641,2.205591,2.205591,66.445775
8.157558,0.174179,12.396411,2.335643,2.335643,66.779527
7.651393,0.118943,8.623994,2.084501,2.084501,61.297133
5.539221,0.094358,8.916114,2.551364,2.551364,62.897555
5.893175,0.076328,9.910586,2.559764,2.559764,65.195093
7.250849,0.110914,16.493531,2.587697,2.587697,77.876011
9.738928,0.171953,19.152753,2.481625,2.481625,85.139088
7.310385,0.051795,0.552139,0.003170,0.003170,7.919262
7.237136,0.213586,1.529292,0.002670,0.002670,8.984867
5.264376,0.230339,3.185363,0.158481,0.158481,14.177141
8.261325,0.419988,7.379301,0.316070,0.316070,24.196121
7.379059,0.280638,9.126290,0.534372,0.534372,29.001956
7.729039,0.193659,10.605278,0.582088,0.582088,32.773802
5.131691,0.216946,10.535695,0.479717,0.479717,25.074011
7.860607,0.289604,22.197908,0.822063,0.822063,48.227183
6.172040,0.270050,9.238603,0.524797,0.524797,26.445348
8.785558,0.463075,17.811580,39.764911,39.764911,77.013762
5.674055,0.264611,10.144983,0.333877,0.333877,29.470643
8.701209,0.418555,23.207697,0.488224,0.488224,51.181021
8.082507,0.378841,20.773108,0.592430,0.592430,61.849009
6.175558,0.205908,11.985564,0.695207,0.695207,37.836973
5.951812,0.159177,12.916780,0.610702,0.610702,40.602153
5.455655,0.188035,11.636438,0.695213,0.695213,40.860550
5.461863,0.140742,12.873854,1.393196,1.393196,44.418177
5.162466,0.143399,11.612724,1.073694,1.073694,45.292422
5.264729,0.125132,11.808747,0.819974,0.819974,50.571969
5.451494,0.138992,12.177066,1.072771,1.072771,56.969208
5.264985,0.129180,12.286400,1.234424,1.234424,56.582107
6.301033,0.209296,17.512646,1.733741,1.733741,65.168159
6.238639,0.214190,18.418223,1.899976,1.899976,72.401093
5.476011,0.181964,17.833357,1.206729,1.206729,74.077681
5.403300,0.163035,15.881405,2.211162,2.211162,68.103233
7.117041,0.133099,12.541359,2.260199,2.260199,52.592145
5.151503,0.118580,10.632989,0.770793,0.770793,39.029572
6.082295,0.095612,11.315803,1.637508,1.637508,58.824631
6.005182,0.133873,14.168231,1.306123,1.306123,44.047022
5.361607,0.111762,11.180710,1.012751,1.012751,38.353243
5.930477,0.107031,11.329017,1.735515,1.735515,64.454843
6.505504,0.152078,14.070401,1.155440,1.155440,69.421882
7.220281,0.151622,19.013185,2.248447,2.248447,72.800239
6.474832,0.169955,15.080594,1.503835,1.503835,50.095650
5.028012,0.122299,13.584153,2.339674,2.339674,66.964664
5.741517,0.211474,16.718383,2.067167,2.067167,52.575529
4.908350,0.137049,13.474191,1.956468,1.956468,71.356028
6.081009,0.252997,17.209112,1.496246,1.496246,72.552204
6.942950,0.214351,18.261722,3.283247,3.283247,79.239321
5.679717,0.188289,15.102236,1.586572,1.586572,69.891063
10.017023,0.362559,35.436547,2.557010,2.557010,109.632779
5.456586,0.134224,14.656625,2.123855,2.123855,71.705818
9.984766,0.284811,31.571940,2.887640,2.887640,104.037052
5.392422,0.157269,13.804148,1.951521,1.951521,196.806560
5.620807,0.177917,14.688969,2.866892,2.866892,71.137217
6.197791,0.142280,17.556457,2.600437,2.600437,72.203765
