#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.588282,2.597384,0.008946,8.798036,3.191336,0.001787,23.579141
1403637130588318976.000000,0.000000,0.000000,14.861854,3.624547,0.087210,1.625947,1.593628,0.000460,21.255027
1403637130638319104.000000,0.000000,0.000000,14.092589,2.292509,0.043414,3.817318,2.973709,0.000853,19.402201
1403637130688318976.000000,0.000000,0.000000,15.047644,3.977029,0.070181,3.408191,2.883030,0.000710,21.970027
1403637130738319104.000000,0.000000,0.000000,13.600189,2.420365,0.053828,1.926399,1.397676,0.000597,19.696047
1403637130788318976.000000,0.000000,0.000000,14.786450,5.943296,0.082719,3.480717,2.854501,0.359566,36.790440
1403637130838319104.000000,0.000000,0.000000,15.705268,4.845920,0.083837,2.281390,1.706551,0.000533,27.131899
1403637130888318976.000000,0.000000,0.000000,13.488844,6.109073,0.104336,2.414332,3.669725,0.000562,29.869501
1403637130938319104.000000,0.000000,0.000000,14.888235,5.291580,0.096833,2.597277,3.287904,0.001026,30.376473
1403637130988318976.000000,0.000000,0.000000,13.873545,5.289500,0.047338,2.005488,1.424006,0.000530,25.280694
1403637131038319104.000000,0.000000,0.000000,15.916980,5.887856,0.099683,1.751192,1.468627,0.000555,31.612386
1403637131088318976.000000,0.000000,0.000000,13.351708,5.931233,0.104066,3.727920,2.995633,0.301023,26.392506
1403637131138319104.000000,0.000000,0.000000,16.421925,2.456379,0.049899,2.051075,1.654921,0.001001,28.285080
1403637131188318976.000000,0.000000,0.000000,15.783169,4.586992,0.042166,1.745748,1.359594,0.000671,29.616969
1403637131238319104.000000,0.000000,0.000000,15.092554,2.727593,0.052242,3.303796,3.201110,0.001367,24.432613
1403637131288318976.000000,0.000000,0.000000,14.029526,2.619406,0.059476,1.871855,1.641320,0.000634,22.559471
1403637131338319104.000000,0.000000,0.000000,14.746162,5.884149,0.103534,1.781128,1.257576,0.212031,31.131320
1403637131388318976.000000,0.000000,0.000000,14.038058,4.618713,0.052991,3.267770,2.991158,0.000666,25.540930
1403637131438319104.000000,0.000000,0.000000,13.982061,2.516287,0.062251,4.102766,3.280599,0.000816,22.598878
1403637131488318976.000000,0.000000,0.000000,13.431174,6.192591,0.116854,4.415623,3.977837,0.000990,29.705355
1403637131538319104.000000,0.000000,0.000000,14.591976,2.926391,0.051335,2.181464,1.556054,0.000509,23.767810
1403637131588318976.000000,0.000000,0.000000,15.122811,2.337492,0.060198,2.535590,2.021631,0.184503,24.159902
1403637131638319104.000000,0.000000,0.000000,13.428347,5.395452,0.097457,4.306155,1.763260,0.000771,28.849782
1403637131688318976.000000,0.000000,0.000000,15.064203,6.177753,0.123565,3.965113,2.934190,0.000678,32.039802
1403637131738319104.000000,0.000000,0.000000,14.943756,5.889910,0.105192,1.868055,1.602445,0.000627,32.582659
