#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.471289,0.103440,1.062998,0.009200,0.009200,8.654730
6.732679,0.178328,2.445208,0.001783,0.001783,9.359462
8.343976,0.353865,3.898535,0.439560,0.439560,28.479341
8.622541,0.248534,4.944780,0.246552,0.246552,24.431773
8.101987,0.231478,10.684401,0.701592,0.701592,42.731281
9.417512,0.359328,15.125520,0.747576,0.747576,63.937409
9.873151,0.428723,16.428153,0.654559,0.654559,59.061278
9.615251,0.510844,16.623028,1.021965,1.021965,60.521562
10.381236,0.344995,17.550945,0.880224,0.880224,71.936825
9.427512,0.249733,10.951255,44.709992,44.709992,99.113044
10.016605,0.174692,20.442259,0.882962,0.882962,69.917348
10.405521,0.296486,28.673202,1.032163,1.032163,75.081012
6.940271,0.122500,14.103408,1.151154,1.151154,60.875605
11.859677,0.332135,30.072918,2.677022,2.677022,83.277346
8.000799,0.140858,13.280137,1.374675,1.374675,63.434267
12.507184,0.248070,29.664160,1.957569,1.957569,93.959496
7.947247,0.127045,16.385377,1.967525,1.967525,69.654823
7.880021,0.122348,13.760731,2.136540,2.136540,71.823433
7.502982,0.120722,16.240921,2.176169,2.176169,76.612502
6.044178,0.080698,10.368307,2.407771,2.407771,72.289279
14.326107,0.173462,38.253025,2.940188,2.940188,133.728881
12.744371,0.184939,36.254841,3.344922,3.344922,123.753149
14.139635,0.210925,38.374397,3.482366,3.482366,323.376249
10.426535,0.178160,21.433498,3.452203,3.452203,98.100919
6.868796,0.085180,13.560638,3.393356,3.393356,79.742205
12.209101,0.170085,23.166266,3.283168,3.283168,123.285718
9.751080,0.206597,29.418214,3.997463,3.997463,111.534448
11.488036,0.351085,28.456702,3.435983,3.435983,124.282652
10.796543,0.268340,29.713042,2.759975,2.759975,111.185267
11.820931,0.257971,37.925266,3.675803,3.675803,133.343167
7.066205,0.164749,20.387551,4.730767,4.730767,99.982542
11.685531,0.431074,21.906965,4.623934,4.623934,110.633626
7.727117,0.190341,16.680319,5.099272,5.099272,106.214139
11.509778,0.290036,32.090273,3.650306,3.650306,126.961063
12.031929,0.377824,31.673330,4.297832,4.297832,124.412958
11.022580,0.311809,31.760578,2.890392,2.890392,116.004077
11.634248,0.248658,33.664619,4.280045,4.280045,122.603305
7.682176,0.128830,20.017967,2.973650,2.973650,90.124360
6.205491,0.120927,16.468307,4.773939,4.773939,93.903180
5.910672,0.102554,15.794247,4.597251,4.597251,83.936017
6.551444,0.106170,15.079297,2.805776,2.805776,82.991814
6.330772,0.141887,16.731176,4.614527,4.614527,94.186024
5.410868,0.133693,14.105057,2.840986,2.840986,81.336921
6.610666,0.128959,14.124503,4.648436,4.648436,87.963267
10.820378,0.225685,27.680202,2.637651,2.637651,104.787702
11.871333,0.276577,37.141514,3.568061,3.568061,119.198863
12.638061,0.263510,36.368909,2.697042,2.697042,123.226306
11.936887,0.225891,36.393128,3.512798,3.512798,124.213633
12.982110,0.281473,37.993099,3.828105,3.828105,128.582844
12.854833,0.296019,33.442050,4.029182,4.029182,124.790748
12.563358,0.255443,28.813482,4.333893,4.333893,126.763928
10.153063,0.187766,23.487629,4.597587,4.597587,107.314800
7.099115,0.193723,16.039152,4.154764,4.154764,88.696806
7.255364,0.169173,16.972693,5.547437,5.547437,95.357631
6.137349,0.130346,17.018044,6.058560,6.058560,91.349119
6.532839,0.155751,16.963855,3.699175,3.699175,87.356514
5.983976,0.136802,17.154953,3.244366,3.244366,92.103076
6.758188,0.145102,17.743870,4.885768,4.885768,93.864804
5.778240,0.139352,22.861434,3.806618,3.806618,97.070596
5.914795,0.120738,15.762455,4.561037,4.561037,92.622081
