#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,18.251663,4.113746,0.002783,10.490922,6.030483,0.001850,25.975741
1403636579813555456.000000,0.000000,0.000000,18.222958,4.402603,0.059235,3.500201,5.469194,0.000646,26.379819
1403636579863555584.000000,0.000000,0.000000,16.710073,5.693305,0.055880,3.607325,5.303139,0.000672,25.316996
1403636579913555456.000000,0.000000,0.000000,16.726102,8.483314,0.078233,1.629928,3.217170,0.000487,28.329959
1403636579963555584.000000,0.000000,0.000000,16.122006,8.415284,0.052096,1.223113,3.138072,0.370790,29.108543
1403636580013555456.000000,0.000000,0.000000,19.325487,3.763058,0.043728,2.352608,3.182479,0.000356,42.855494
1403636580063555584.000000,0.000000,0.000000,16.995539,6.746956,0.124414,3.160923,6.087987,0.000620,36.330018
1403636580113555456.000000,0.000000,0.000000,17.161738,7.307070,0.089260,3.229172,6.203820,0.000477,36.911623
1403636580163555584.000000,0.000000,0.000000,18.405253,3.435831,0.051981,1.163206,3.434269,0.000384,29.671421
1403636580213555456.000000,0.000000,0.000000,16.835792,3.160466,0.059625,2.126484,6.068791,0.245096,27.483075
1403636580263555584.000000,0.000000,0.000000,17.519001,3.250684,0.058532,2.628418,3.475341,0.000642,29.823022
1403636580313555456.000000,0.000000,0.000000,18.210915,7.210513,0.093163,1.965838,4.226578,0.000699,37.965295
1403636580363555584.000000,0.000000,0.000000,18.926048,5.496044,0.121543,1.918562,4.050970,0.000731,37.076377
1403636580413555456.000000,0.000000,0.000000,15.791556,5.517804,0.055516,0.921543,2.328391,0.000420,29.151957
1403636580463555584.000000,0.000000,0.000000,16.784520,5.673856,0.100629,1.126129,2.283565,0.288022,34.174150
1403636580513555456.000000,0.000000,0.000000,17.158647,4.387292,0.110091,2.534135,4.022535,0.001118,30.810159
1403636580563555584.000000,0.000000,0.000000,17.803893,5.257853,0.124597,2.648348,3.547932,0.000673,32.630349
1403636580613555456.000000,0.000000,0.000000,18.314298,4.579183,0.110422,2.712247,4.410584,0.000537,32.430655
1403636580663555584.000000,0.000000,0.000000,17.556573,2.859930,0.080664,2.352829,3.314734,0.000797,26.695633
1403636580713555456.000000,0.000000,0.000000,16.080725,3.080214,0.061225,1.378934,2.148015,0.502902,25.493080
1403636580763555584.000000,0.000000,0.000000,15.020054,4.891008,0.081626,3.140546,3.476784,0.000497,29.626877
1403636580813555456.000000,0.000000,0.000000,15.830445,6.227370,0.091649,3.032381,4.365120,0.000536,32.142987
1403636580863555584.000000,0.000000,0.000000,16.482626,8.371961,0.107175,2.287405,4.665485,0.000608,35.119847
1403636580913555456.000000,0.000000,0.000000,17.004588,8.387687,0.101523,2.275545,4.872800,0.000466,35.046761
