#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007050,3,1,0,793
0.004094,4,1,0,1123
0.131931,5,1,0,1304
0.467851,6,1,0,1665
0.868405,7,1,0,1869
0.801766,8,1,0,1914
0.938990,9,1,0,2191
1.081542,10,1,0,2598
0.674761,0,0,0,0
67.418637,0,0,0,0
0.821549,0,0,0,0
1.353599,0,0,0,0
1.316270,0,0,0,0
1.247273,0,0,0,0
1.545918,0,0,0,0
1.396567,0,0,0,0
1.876913,0,0,0,0
2.423192,0,0,0,0
2.133190,0,0,0,0
2.311545,0,0,0,0
2.595207,0,0,0,0
3.505915,0,0,0,0
3.210028,0,0,0,0
2.829943,0,0,0,0
3.352447,0,0,0,0
3.222243,0,0,0,0
3.472451,0,0,0,0
3.230775,0,0,0,0
3.167780,0,0,0,0
2.841453,0,0,0,0
3.086474,0,0,0,0
4.434011,0,0,0,0
3.374137,0,0,0,0
5.485045,0,0,0,0
3.967619,0,0,0,0
4.121365,0,0,0,0
3.588267,3,1,0,1034
3.658199,4,1,0,1341
0.002874,5,1,0,1691
0.002807,6,1,0,2018
0.559797,7,1,0,2320
0.758938,8,1,0,2650
0.726206,9,1,0,3011
1.056636,10,1,0,3335
1.647709,0,0,0,0
1.963137,0,0,0,0
1.723849,0,0,0,0
68.117002,0,0,0,0
1.149572,0,0,0,0
1.355056,0,0,0,0
1.411664,0,0,0,0
1.456541,0,0,0,0
1.669146,0,0,0,0
1.626756,0,0,0,0
2.134136,0,0,0,0
1.732380,0,0,0,0
1.964146,0,0,0,0
2.005744,0,0,0,0
2.446326,0,0,0,0
3.671555,0,0,0,0
3.146364,0,0,0,0
3.036340,0,0,0,0
2.980325,0,0,0,0
3.074699,0,0,0,0
2.857633,0,0,0,0
3.345861,0,0,0,0
2.835711,0,0,0,0
3.091229,0,0,0,0
3.075525,0,0,0,0
2.701220,0,0,0,0
2.875851,0,0,0,0
3.098416,0,0,0,0
3.104412,0,0,0,0
2.951251,0,0,0,0
2.765586,0,0,0,0
3.038562,0,0,0,0
2.816600,0,0,0,0
2.579468,0,0,0,0
2.596158,0,0,0,0
2.840309,0,0,0,0
2.526111,0,0,0,0
3.070638,0,0,0,0
1.947236,0,0,0,0
2.813475,0,0,0,0
2.977843,0,0,0,0
2.995708,0,0,0,0
3.597340,0,0,0,0
3.546120,0,0,0,0
3.671705,0,0,0,0
2.727576,0,0,0,0
3.275371,0,0,0,0
2.804144,0,0,0,0
2.736079,0,0,0,0
2.466048,0,0,0,0
3.207802,0,0,0,0
3.100264,0,0,0,0
2.004749,0,0,0,0
2.779376,0,0,0,0
2.050732,0,0,0,0
3.730593,0,0,0,0
2.711104,0,0,0,0
2.498934,0,0,0,0
1.958116,0,0,0,0
2.428501,0,0,0,0
3.389746,0,0,0,0
4.550834,0,0,0,0
1.764121,0,0,0,0
2.765170,0,0,0,0
3.777856,0,0,0,0
3.267482,0,0,0,0
2.791774,0,0,0,0
3.205422,0,0,0,0
2.473389,0,0,0,0
3.639060,0,0,0,0
3.214571,0,0,0,0
2.569465,0,0,0,0
3.843927,0,0,0,0
2.335344,0,0,0,0
3.198183,0,0,0,0
2.715210,0,0,0,0
4.478321,0,0,0,0
2.634607,0,0,0,0
2.469776,0,0,0,0
3.536968,0,0,0,0
2.640423,0,0,0,0
3.008427,0,0,0,0
3.420063,0,0,0,0
2.608279,0,0,0,0
3.123161,0,0,0,0
2.225127,0,0,0,0
4.094581,0,0,0,0
2.985234,0,0,0,0
3.880613,0,0,0,0
2.735920,0,0,0,0
3.217883,0,0,0,0
2.803302,0,0,0,0
2.904894,0,0,0,0
4.616948,0,0,0,0
4.686372,0,0,0,0
4.399896,0,0,0,0
2.322810,0,0,0,0
3.807876,0,0,0,0
2.911039,0,0,0,0
3.027715,0,0,0,0
2.977022,0,0,0,0
4.351394,0,0,0,0
3.056095,0,0,0,0
3.682342,0,0,0,0
3.939535,0,0,0,0
3.512875,0,0,0,0
4.363901,0,0,0,0
4.039541,0,0,0,0
4.393969,0,0,0,0
2.617208,0,0,0,0
4.216302,0,0,0,0
4.612267,0,0,0,0
3.560065,0,0,0,0
4.224989,0,0,0,0
2.480920,0,0,0,0
3.944625,0,0,0,0
5.628107,0,0,0,0
5.066820,0,0,0,0
4.837233,0,0,0,0
2.450367,0,0,0,0
3.711793,0,0,0,0
3.673673,0,0,0,0
3.790548,0,0,0,0
4.710209,0,0,0,0
2.702811,0,0,0,0
4.033344,0,0,0,0
5.362814,0,0,0,0
4.234059,0,0,0,0
4.258815,0,0,0,0
3.141834,0,0,0,0
5.623630,0,0,0,0
4.534728,0,0,0,0
4.462910,0,0,0,0
3.635722,0,0,0,0
4.744183,0,0,0,0
4.198480,0,0,0,0
5.747327,0,0,0,0
3.829241,0,0,0,0
3.614680,0,0,0,0
3.345357,0,0,0,0
3.498198,0,0,0,0
4.245407,0,0,0,0
4.634894,0,0,0,0
4.235491,0,0,0,0
4.826803,0,0,0,0
4.486743,0,0,0,0
5.039193,0,0,0,0
5.476879,0,0,0,0
5.904562,0,0,0,0
4.464987,0,0,0,0
3.901960,0,0,0,0
5.781279,0,0,0,0
4.180659,0,0,0,0
6.008405,0,0,0,0
4.882566,0,0,0,0
6.453808,0,0,0,0
6.091628,0,0,0,0
6.527919,0,0,0,0
7.583721,0,0,0,0
7.352564,0,0,0,0
6.661949,0,0,0,0
6.378661,0,0,0,0
5.529600,0,0,0,0
6.046343,0,0,0,0
6.549894,0,0,0,0
6.796113,0,0,0,0
7.599749,0,0,0,0
6.335472,0,0,0,0
6.872746,0,0,0,0
6.214834,0,0,0,0
5.859987,0,0,0,0
7.825779,0,0,0,0
9.411258,0,0,0,0
5.839370,0,0,0,0
7.903348,0,0,0,0
5.760283,0,0,0,0
8.263674,0,0,0,0
7.304578,0,0,0,0
9.151071,0,0,0,0
6.955208,0,0,0,0
9.409243,0,0,0,0
9.971414,0,0,0,0
8.445242,0,0,0,0
9.319285,0,0,0,0
9.384221,0,0,0,0
8.092407,0,0,0,0
11.432678,0,0,0,0
9.477358,0,0,0,0
8.920485,0,0,0,0
6.029139,0,0,0,0
12.808075,0,0,0,0
9.956756,0,0,0,0
8.926852,0,0,0,0
7.681352,0,0,0,0
9.369948,0,0,0,0
7.221650,0,0,0,0
10.797437,0,0,0,0
8.499255,0,0,0,0
12.093131,0,0,0,0
8.931985,0,0,0,0
10.644234,0,0,0,0
11.536392,0,0,0,0
11.818373,0,0,0,0
8.878906,0,0,0,0
8.885158,0,0,0,0
10.828609,0,0,0,0
9.259478,0,0,0,0
9.485180,0,0,0,0
11.237402,0,0,0,0
10.736839,0,0,0,0
8.843378,0,0,0,0
10.993157,0,0,0,0
