#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008576,3,1,0,768
0.001924,4,1,0,1112
0.216009,5,1,0,1341
0.519882,6,1,0,1775
0.631101,7,1,0,1889
0.436430,8,1,0,1884
0.665963,9,1,0,2175
1.009190,10,1,0,2663
1.041531,0,0,0,0
49.883907,0,0,0,0
0.959714,0,0,0,0
1.038239,0,0,0,0
1.377181,0,0,0,0
1.469695,0,0,0,0
1.393863,0,0,0,0
1.708379,0,0,0,0
2.117339,0,0,0,0
2.001409,0,0,0,0
2.179080,0,0,0,0
2.524637,0,0,0,0
4.807463,0,0,0,0
3.689276,0,0,0,0
3.307988,0,0,0,0
3.563962,0,0,0,0
3.708469,0,0,0,0
4.404088,0,0,0,0
3.960691,0,0,0,0
3.836356,0,0,0,0
3.838254,0,0,0,0
3.440870,0,0,0,0
3.716182,0,0,0,0
3.178764,0,0,0,0
3.378336,0,0,0,0
4.854313,0,0,0,0
3.834840,0,0,0,0
3.661256,0,0,0,0
4.996463,0,0,0,0
4.248439,0,0,0,0
3.647782,0,0,0,0
6.558821,0,0,0,0
2.980281,0,0,0,0
4.616901,0,0,0,0
3.066037,3,1,0,1037
4.452819,4,1,0,1327
0.003013,5,1,0,1611
0.002076,6,1,0,1905
0.260597,7,1,0,2272
0.897846,8,1,0,2676
1.398411,9,1,0,2955
2.228740,10,1,0,2975
1.859752,0,0,0,0
1.482097,0,0,0,0
0.667306,0,0,0,0
64.293451,0,0,0,0
1.016067,0,0,0,0
1.233197,0,0,0,0
1.108982,0,0,0,0
1.325053,0,0,0,0
1.249613,0,0,0,0
1.469627,0,0,0,0
1.895515,0,0,0,0
1.905249,0,0,0,0
2.333560,0,0,0,0
2.004538,0,0,0,0
2.200708,0,0,0,0
3.006416,3,1,0,733
3.032860,3,1,0,682
2.782227,3,2,0,641
2.500868,4,2,0,777
0.003433,6,1,0,1063
0.003030,7,1,0,1299
0.327596,9,1,0,1518
0.467757,6,5,0,1389
0.462772,0,0,0,0
0.680981,0,0,0,0
0.462881,0,0,0,0
0.569854,0,0,0,0
1.227856,0,0,0,0
29.631318,0,0,0,0
0.457301,0,0,0,0
0.735386,0,0,0,0
1.222404,0,0,0,0
1.027189,0,0,0,0
0.697277,0,0,0,0
1.185113,0,0,0,0
0.915470,0,0,0,0
0.900183,0,0,0,0
1.357221,0,0,0,0
0.977843,0,0,0,0
0.990306,0,0,0,0
1.019247,0,0,0,0
1.333132,0,0,0,0
1.247020,0,0,0,0
