#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.823103,0.036376,0.381835,0.008576,0.008576,8.258270
6.904567,0.086842,0.957693,0.001924,0.001924,7.952704
8.864950,0.239665,5.436184,0.216009,0.216009,28.760784
7.859136,0.334910,10.126868,0.519882,0.519882,40.791621
9.456087,0.414421,11.308368,0.631101,0.631101,45.766222
9.066692,0.304603,13.983148,0.436430,0.436430,52.705557
8.180892,0.416724,14.975829,0.665963,0.665963,53.559154
10.304390,0.419891,11.891162,1.009190,1.009190,50.197248
9.620687,0.211575,19.042911,1.041531,1.041531,66.513737
9.685978,0.288424,25.169706,49.883907,49.883907,119.858035
8.320785,0.198201,20.276826,0.959714,0.959714,59.074575
8.574475,0.213003,10.023810,1.038239,1.038239,60.529016
6.852719,0.189414,15.702401,1.377181,1.377181,66.828113
6.189421,0.130048,12.159605,1.469695,1.469695,57.091492
8.799338,0.177219,12.143462,1.393863,1.393863,58.842510
9.362786,0.112176,10.574699,1.708379,1.708379,66.899071
12.157367,0.277854,34.463431,2.117339,2.117339,99.789301
7.163743,0.108763,16.695071,2.001409,2.001409,72.050415
8.247887,0.195179,20.898635,2.179080,2.179080,76.959615
12.425856,0.249526,32.461721,2.524637,2.524637,112.975398
10.393852,0.180358,27.550809,4.807463,4.807463,99.392708
6.414577,0.104406,14.909650,3.689276,3.689276,107.193190
6.356776,0.089061,15.775662,3.307988,3.307988,79.685364
6.659335,0.077330,12.970329,3.563962,3.563962,74.518993
11.068467,0.123691,21.563547,3.708469,3.708469,246.267460
12.993547,0.227668,41.866936,4.404088,4.404088,119.255766
11.145203,0.224675,26.198689,3.960691,3.960691,109.871034
10.249718,0.181075,16.797153,3.836356,3.836356,89.925254
6.350711,0.119156,16.591065,3.838254,3.838254,83.189858
10.201693,0.159236,27.956522,3.440870,3.440870,120.013269
14.077729,0.261441,42.629207,3.716182,3.716182,139.585627
7.571472,0.115846,21.149489,3.178764,3.178764,93.648871
7.302707,0.169386,21.496563,3.378336,3.378336,98.196876
