#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,13.519097,2.028439,0.002284,7.512229,3.206742,0.002029,18.594131
1403636858701666560.000000,0.000000,0.000000,13.287756,1.860620,0.061346,0.853601,1.306279,0.000425,17.865695
1403636858751666432.000000,0.000000,0.000000,12.500057,1.956287,0.044618,0.678092,1.080551,0.000383,17.774460
1403636858801666560.000000,0.000000,0.000000,15.287702,3.466464,0.057002,0.686075,1.217950,0.000415,21.535773
1403636858851666432.000000,0.000000,0.000000,13.829824,1.705591,0.045141,1.281892,1.953775,3.328735,18.252608
1403636858901666560.000000,0.000000,0.000000,13.083651,1.884163,0.055469,3.690787,5.687840,0.000904,18.336899
1403636858951666432.000000,0.000000,0.000000,13.588171,4.781816,0.098774,1.405657,2.122901,0.000460,22.196616
1403636859001666560.000000,0.000000,0.000000,14.607568,4.984007,0.100808,2.661793,4.131675,0.000665,23.350847
1403636859051666432.000000,0.000000,0.000000,14.417856,3.844558,0.070116,2.139696,5.325014,0.000812,25.445651
1403636859101666560.000000,0.000000,0.000000,16.849407,2.063646,0.043642,1.238767,2.074666,3.585047,33.768267
1403636859151666432.000000,0.000000,0.000000,18.539423,5.075756,0.073446,4.283435,2.837252,0.000635,29.218998
1403636859201666560.000000,0.000000,0.000000,13.393140,2.341941,0.047865,2.248319,3.200676,0.000549,20.178996
1403636859251666432.000000,0.000000,0.000000,12.739703,2.479003,0.046633,2.320694,5.559668,0.000674,20.510670
1403636859301666560.000000,0.000000,0.000000,14.170820,5.072242,0.081002,1.741786,4.557786,0.000682,29.439123
1403636859351666432.000000,0.000000,0.000000,14.074394,6.135616,0.067858,1.781616,4.121425,5.442408,33.410333
1403636859401666560.000000,0.000000,0.000000,14.853919,3.189741,0.052909,2.759605,3.313848,0.000531,24.965625
1403636859451666432.000000,0.000000,0.000000,16.037828,6.878259,0.102638,2.291324,3.886182,0.000532,33.431224
1403636859501666560.000000,0.000000,0.000000,12.932044,6.410544,0.069721,3.119592,5.536408,0.000599,30.509596
1403636859551666432.000000,0.000000,0.000000,13.549744,3.822438,0.056584,1.909163,4.433782,0.000628,27.695080
1403636859601666560.000000,0.000000,0.000000,14.641693,6.550874,0.090993,1.790953,3.909810,3.383594,31.805907
1403636859651666432.000000,0.000000,0.000000,12.958273,3.796563,0.055393,5.686050,6.902514,0.000712,25.095870
1403636859701666560.000000,0.000000,0.000000,13.164028,7.093957,0.176734,2.557957,4.173327,0.000619,31.216317
1403636859751666432.000000,0.000000,0.000000,12.913891,7.195253,0.095170,3.946452,5.853101,0.000725,30.253177
1403636859801666560.000000,0.000000,0.000000,13.248649,8.193794,0.062165,2.909087,4.420440,0.000584,36.369555
1403636859851666432.000000,0.000000,0.000000,14.763297,4.044195,0.078614,3.551206,6.684990,3.481942,28.237072
1403636859901666560.000000,0.000000,0.000000,12.967563,5.302852,0.070850,3.374620,4.859570,0.000614,27.388315
1403636859951666432.000000,0.000000,0.000000,13.317719,7.950296,0.084314,2.354662,4.084573,0.000569,33.055773
1403636860001666560.000000,0.000000,0.000000,14.510591,4.752857,0.063528,1.924565,4.419189,0.000532,28.625441
1403636860051666432.000000,0.000000,0.000000,13.659606,5.225885,0.064828,1.400289,4.149003,0.000519,31.361425
1403636860101666560.000000,0.000000,0.000000,13.732126,7.504573,0.095782,2.429598,5.774121,3.595159,37.300731
1403636860151666432.000000,0.000000,0.000000,13.724259,4.374436,0.077061,2.353221,3.796347,0.000556,28.295697
1403636860201666560.000000,0.000000,0.000000,13.555492,7.539319,0.083760,1.527687,3.615620,0.000583,34.639975
1403636860251666432.000000,0.000000,0.000000,14.318575,7.306873,0.088816,1.268991,4.346123,0.000738,32.450235
1403636860301666560.000000,0.000000,0.000000,12.305034,7.258732,0.091243,1.055707,3.993393,0.000488,36.228568
1403636860351666432.000000,0.000000,0.000000,12.503698,4.056386,0.056234,1.077425,4.342788,1.704137,27.813437
1403636860401666560.000000,0.000000,0.000000,12.230543,3.875959,0.072786,1.754124,3.490075,0.000507,25.298871
1403636860451666432.000000,0.000000,0.000000,11.625484,4.114187,0.045984,1.571484,3.548033,0.000547,24.843075
1403636860501666560.000000,0.000000,0.000000,13.852287,3.756714,0.071055,1.278200,3.677458,0.000601,26.735874
1403636860551666432.000000,0.000000,0.000000,12.778555,6.197577,0.104445,1.424142,3.569478,0.000665,34.055340
1403636860601666560.000000,0.000000,0.000000,13.666703,4.253509,0.075432,1.329686,4.882818,3.481420,27.621877
1403636860651666432.000000,0.000000,0.000000,12.692743,2.658400,0.108290,3.989726,6.430252,0.000768,23.567535
1403636860701666560.000000,0.000000,0.000000,12.548335,2.741779,0.076887,1.845303,4.110719,0.000479,24.181404
1403636860751666432.000000,0.000000,0.000000,12.546011,2.434846,0.081554,1.698406,4.295387,0.000496,23.654345
1403636860801666560.000000,0.000000,0.000000,12.703378,2.514469,0.086474,1.941912,4.406666,0.000549,25.433478
1403636860851666432.000000,0.000000,0.000000,13.472614,2.668164,0.053767,1.854268,4.449815,3.657998,24.745977
1403636860901666560.000000,0.000000,0.000000,12.844776,3.136448,0.071244,3.684376,5.103102,0.000685,24.197611
1403636860951666432.000000,0.000000,0.000000,12.172317,5.988497,0.058324,0.055124,7.969857,0.066973,26.041148
1403636861001666560.000000,0.000000,0.000000,12.266752,3.288593,0.058635,0.043936,7.999514,4.059836,24.296102
1403636861051666432.000000,0.000000,0.000000,14.325360,3.403719,0.080860,0.070527,9.983692,0.073887,30.750657
1403636861101666560.000000,0.000000,0.000000,12.585007,9.816791,0.109320,0.062424,6.896675,0.054151,36.731726
1403636861151666432.000000,0.000000,0.000000,12.643447,3.764775,0.076225,0.053219,10.646783,0.054517,25.533335
1403636861201666560.000000,0.000000,0.000000,12.549511,3.869668,0.077629,0.067986,8.088485,0.091474,25.474939
1403636861251666432.000000,0.000000,0.000000,13.552733,4.091809,0.078608,0.055071,10.203360,0.064833,27.113050
1403636861301666560.000000,0.000000,0.000000,13.556449,5.030367,0.070129,0.069224,10.934011,0.074623,32.229222
1403636861351666432.000000,0.000000,0.000000,13.314405,4.784728,0.064189,0.061879,12.736756,0.069767,30.542157
1403636861401666560.000000,0.000000,0.000000,13.372692,4.566474,0.074217,0.052333,8.304767,0.052945,29.369654
1403636861451666432.000000,0.000000,0.000000,13.687396,4.871781,0.072210,0.057131,11.092969,2.937521,34.133840
1403636861501666560.000000,0.000000,0.000000,13.399414,6.524582,0.091553,0.074319,9.770470,0.076216,33.186090
1403636861551666432.000000,0.000000,0.000000,14.550912,6.480342,0.091426,0.050905,6.204284,2.309905,30.861412
1403636861601666560.000000,0.000000,0.000000,13.628400,6.980367,0.108915,0.067878,10.417583,0.088622,34.497287
1403636861651666432.000000,0.000000,0.000000,13.392641,6.671983,0.085343,0.043259,6.154514,1.872516,31.926677
1403636861701666560.000000,0.000000,0.000000,15.642895,6.490996,0.096871,0.046405,6.487685,0.046691,35.308447
1403636861751666432.000000,0.000000,0.000000,13.297517,7.592977,0.105508,0.035150,5.886217,2.515796,34.996386
1403636861801666560.000000,0.000000,0.000000,13.599267,6.920749,0.119077,0.039295,6.188659,0.042072,36.552981
1403636861851666432.000000,0.000000,0.000000,13.449913,4.277545,0.032976,0.036322,5.556244,1.528482,29.823956
1403636861901666560.000000,0.000000,0.000000,13.623514,6.959281,0.114475,0.048504,11.092103,0.077396,37.871936
1403636861951666432.000000,0.000000,0.000000,12.299376,6.595898,0.125296,0.047740,8.872050,0.043595,32.100320
1403636862001666560.000000,0.000000,0.000000,12.490580,5.856150,0.117587,0.053129,10.725291,0.045087,30.373143
1403636862051666432.000000,0.000000,0.000000,12.784865,5.310689,0.116082,0.033981,6.729249,0.029834,32.133623
1403636862101666560.000000,0.000000,0.000000,12.121235,5.176263,0.124237,0.046399,8.628306,0.031520,28.443678
1403636862151666432.000000,0.000000,0.000000,12.642938,3.277384,0.092449,0.040051,7.387880,0.032116,25.575744
1403636862201666560.000000,0.000000,0.000000,12.381668,2.858082,0.090387,0.042199,7.009819,0.033852,27.141693
1403636862251666432.000000,0.000000,0.000000,12.606128,2.752693,0.087528,0.045550,9.331091,0.054937,24.424557
1403636862301666560.000000,0.000000,0.000000,12.339415,2.766801,0.086675,0.053222,9.693550,0.050350,25.261227
1403636862351666432.000000,0.000000,0.000000,12.048953,3.545088,0.121682,0.053298,10.086507,4.008511,29.954975
1403636862401666560.000000,0.000000,0.000000,12.489012,5.485886,0.125414,0.068586,8.037648,0.073645,30.866001
1403636862451666432.000000,0.000000,0.000000,12.046288,5.820852,0.130414,0.034314,6.898972,2.938610,32.496791
1403636862501666560.000000,0.000000,0.000000,13.206893,3.374631,0.108727,0.073046,10.435936,0.085289,26.249771
