#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,18.394753,4.240401,0.006140,7.621425,3.988330,0.001313,24.937564
1403636579813555456.000000,0.000000,0.000000,18.127827,4.497486,0.070186,1.970863,3.215636,0.000363,25.224208
1403636579863555584.000000,0.000000,0.000000,17.891424,4.875150,0.048172,1.974464,3.006518,0.000397,25.665921
1403636579913555456.000000,0.000000,0.000000,17.626245,5.618619,0.041589,1.925012,3.154730,0.000420,26.037486
1403636579963555584.000000,0.000000,0.000000,18.707185,6.283012,0.062341,1.285601,3.183440,0.343573,29.821876
1403636580013555456.000000,0.000000,0.000000,18.144264,7.712533,0.072149,2.255304,3.068269,0.000572,40.573417
1403636580063555584.000000,0.000000,0.000000,17.695550,4.343451,0.071716,1.722578,3.413764,0.000404,30.547175
1403636580113555456.000000,0.000000,0.000000,17.111805,5.954534,0.059098,2.769707,5.261132,0.000530,31.134345
1403636580163555584.000000,0.000000,0.000000,17.987069,6.320253,0.084450,1.171366,3.509336,0.000479,32.930326
1403636580213555456.000000,0.000000,0.000000,18.515252,3.497641,0.048184,1.051015,3.101724,0.233719,29.620861
1403636580263555584.000000,0.000000,0.000000,17.134707,3.045920,0.062784,1.277172,1.843308,0.000339,28.450263
1403636580313555456.000000,0.000000,0.000000,16.359204,3.042904,0.062623,0.951174,1.864999,0.000441,27.924746
1403636580363555584.000000,0.000000,0.000000,16.597967,6.394709,0.090170,0.902787,1.954824,0.000351,34.145133
1403636580413555456.000000,0.000000,0.000000,15.863261,2.851531,0.057068,0.958474,2.365849,0.000454,26.184239
1403636580463555584.000000,0.000000,0.000000,16.082219,2.623167,0.055257,0.951839,2.159432,0.351751,25.780832
1403636580513555456.000000,0.000000,0.000000,17.730081,2.128052,0.073035,3.789386,4.185055,0.001059,26.217493
1403636580563555584.000000,0.000000,0.000000,16.946802,2.310701,0.099298,1.770809,2.080418,0.000539,25.603527
1403636580613555456.000000,0.000000,0.000000,18.117352,2.372045,0.059452,2.767561,4.787863,0.000816,26.555043
1403636580663555584.000000,0.000000,0.000000,15.832019,2.640030,0.075162,1.269254,2.090378,0.000354,25.108774
1403636580713555456.000000,0.000000,0.000000,16.006038,2.929131,0.069123,1.340456,2.263662,0.476311,25.296173
1403636580763555584.000000,0.000000,0.000000,17.762294,7.762980,0.090026,2.651176,3.193484,0.000597,37.102466
1403636580813555456.000000,0.000000,0.000000,16.205225,8.145288,0.115104,1.800266,3.292855,0.000448,31.172225
1403636580863555584.000000,0.000000,0.000000,17.249115,5.622932,0.107132,2.435029,5.018779,0.000576,33.575634
1403636580913555456.000000,0.000000,0.000000,17.082317,3.761254,0.069797,1.351508,3.132497,0.000418,27.017094
1403636580963555584.000000,0.000000,0.000000,17.378799,4.368350,0.068395,1.245847,3.195069,0.537380,28.774182
1403636581013555456.000000,0.000000,0.000000,17.232674,4.128811,0.058224,2.920139,4.105196,0.000499,30.540525
1403636581063555584.000000,0.000000,0.000000,16.754857,4.280960,0.041139,2.587668,4.305491,0.000504,28.867907
1403636581113555456.000000,0.000000,0.000000,17.316356,8.327253,0.086572,2.405003,4.115576,0.000381,36.218567
