#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.005687,3,1,0,791
0.002578,4,1,0,1116
0.221398,5,1,0,1305
0.512195,6,1,0,1673
0.819563,7,1,0,1895
0.671854,8,1,0,1930
0.922156,9,1,0,2203
0.644089,10,1,0,2618
1.033429,0,0,0,0
44.292734,0,0,0,0
1.031262,0,0,0,0
0.927307,0,0,0,0
1.152349,0,0,0,0
1.252542,0,0,0,0
1.321014,0,0,0,0
1.670135,0,0,0,0
1.580871,0,0,0,0
1.556152,0,0,0,0
2.152925,0,0,0,0
2.186442,0,0,0,0
2.358289,0,0,0,0
3.109672,0,0,0,0
3.306097,0,0,0,0
3.192844,0,0,0,0
3.214476,0,0,0,0
2.997259,0,0,0,0
2.978915,0,0,0,0
3.680011,0,0,0,0
3.365305,0,0,0,0
3.539064,0,0,0,0
3.509387,0,0,0,0
4.136643,0,0,0,0
3.163358,0,0,0,0
4.386181,0,0,0,0
4.917514,0,0,0,0
3.793784,0,0,0,0
3.529869,0,0,0,0
3.987239,3,1,0,1034
4.194754,4,1,0,1342
0.003020,5,1,0,1689
0.002650,6,1,0,1991
0.575177,7,1,0,2327
0.548148,8,1,0,2655
1.630651,9,1,0,2986
1.041851,10,1,0,3304
1.991405,0,0,0,0
2.058254,0,0,0,0
1.963733,0,0,0,0
74.637330,0,0,0,0
1.300278,0,0,0,0
1.263837,0,0,0,0
1.556130,0,0,0,0
2.170939,0,0,0,0
2.055791,0,0,0,0
1.886617,0,0,0,0
1.925776,0,0,0,0
2.146034,0,0,0,0
2.308549,0,0,0,0
1.828766,0,0,0,0
2.289252,0,0,0,0
2.955900,0,0,0,0
2.975290,0,0,0,0
3.034542,0,0,0,0
3.133836,0,0,0,0
2.867787,0,0,0,0
3.094087,0,0,0,0
3.494171,0,0,0,0
3.373170,0,0,0,0
3.209203,0,0,0,0
3.134322,0,0,0,0
3.748961,0,0,0,0
3.037277,0,0,0,0
3.571210,0,0,0,0
3.203001,0,0,0,0
3.163357,0,0,0,0
2.751888,0,0,0,0
2.880520,0,0,0,0
3.396980,0,0,0,0
3.942966,0,0,0,0
2.770340,0,0,0,0
2.671718,0,0,0,0
2.472957,0,0,0,0
3.484334,0,0,0,0
2.697716,0,0,0,0
2.935538,0,0,0,0
2.789898,0,0,0,0
5.249836,0,0,0,0
2.307000,0,0,0,0
4.153908,0,0,0,0
3.345132,0,0,0,0
3.256885,0,0,0,0
3.237641,0,0,0,0
1.961648,0,0,0,0
4.125888,0,0,0,0
2.442150,0,0,0,0
3.369014,0,0,0,0
2.169892,0,0,0,0
3.140213,0,0,0,0
2.978788,0,0,0,0
2.665991,0,0,0,0
2.133351,0,0,0,0
4.367326,0,0,0,0
2.025486,0,0,0,0
2.951406,0,0,0,0
2.903468,0,0,0,0
1.875818,0,0,0,0
1.752092,0,0,0,0
3.014407,0,0,0,0
2.956791,0,0,0,0
2.124771,0,0,0,0
4.701755,0,0,0,0
3.473479,0,0,0,0
2.665596,0,0,0,0
2.743432,0,0,0,0
1.751149,0,0,0,0
3.997764,0,0,0,0
2.574270,0,0,0,0
3.148119,0,0,0,0
3.011140,0,0,0,0
2.501428,0,0,0,0
1.933511,0,0,0,0
2.809751,0,0,0,0
3.607221,0,0,0,0
3.952378,0,0,0,0
3.198001,0,0,0,0
3.014922,0,0,0,0
2.140230,0,0,0,0
3.071576,0,0,0,0
3.496011,0,0,0,0
4.040788,0,0,0,0
4.159266,0,0,0,0
3.070371,0,0,0,0
3.121316,0,0,0,0
2.804832,0,0,0,0
4.864396,0,0,0,0
3.290942,0,0,0,0
3.660950,0,0,0,0
2.830221,0,0,0,0
5.289118,0,0,0,0
2.650830,0,0,0,0
3.572522,0,0,0,0
4.197029,0,0,0,0
3.150171,0,0,0,0
4.059065,0,0,0,0
2.850054,0,0,0,0
4.304441,0,0,0,0
3.819611,0,0,0,0
2.382941,0,0,0,0
3.791267,0,0,0,0
2.798055,0,0,0,0
4.171331,0,0,0,0
4.389036,0,0,0,0
4.868853,0,0,0,0
4.797141,0,0,0,0
4.212478,0,0,0,0
3.936044,0,0,0,0
4.946080,0,0,0,0
3.853714,0,0,0,0
4.560570,0,0,0,0
4.341693,0,0,0,0
2.729474,0,0,0,0
4.434611,0,0,0,0
3.746727,0,0,0,0
4.693825,0,0,0,0
3.909088,0,0,0,0
3.075597,0,0,0,0
6.273707,0,0,0,0
3.838691,0,0,0,0
3.668295,0,0,0,0
4.718280,0,0,0,0
3.006540,0,0,0,0
3.580465,0,0,0,0
4.052203,0,0,0,0
4.273901,0,0,0,0
4.070115,0,0,0,0
3.052686,0,0,0,0
6.389460,0,0,0,0
3.832479,0,0,0,0
3.702767,0,0,0,0
5.476541,0,0,0,0
4.004320,0,0,0,0
4.936116,0,0,0,0
3.689223,0,0,0,0
5.611299,0,0,0,0
