#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.760726,0.016056,0.158374,0.005687,0.005687,5.944939
8.041970,0.110952,1.214506,0.002578,0.002578,9.372526
7.895976,0.197593,4.595785,0.221398,0.221398,23.225985
8.000658,0.261687,9.234754,0.512195,0.512195,38.287923
8.736051,0.321573,10.009050,0.819563,0.819563,42.411710
8.595251,0.117992,12.345250,0.671854,0.671854,49.346556
8.983293,0.316370,13.686709,0.922156,0.922156,59.721408
8.765501,0.266664,10.853832,0.644089,0.644089,49.915625
8.654367,0.186166,10.678095,1.033429,1.033429,48.167321
8.781437,0.137512,12.115362,44.292734,44.292734,97.855788
10.132038,0.209045,23.029174,1.031262,1.031262,65.503907
10.704122,0.327596,21.298346,0.927307,0.927307,72.154942
10.982452,0.231164,16.903475,1.152349,1.152349,61.054398
7.994339,0.175467,14.599174,1.252542,1.252542,58.739432
8.196519,0.164594,13.780594,1.321014,1.321014,63.892540
9.741516,0.130061,14.289089,1.670135,1.670135,67.812376
11.617419,0.212835,30.102529,1.580871,1.580871,91.568946
10.411304,0.113792,28.475084,1.556152,1.556152,84.280070
12.493002,0.311080,29.860919,2.152925,2.152925,102.076877
12.216335,0.196120,14.498075,2.186442,2.186442,79.655361
7.614078,0.141581,13.136407,2.358289,2.358289,73.663602
8.051587,0.099605,13.761937,3.109672,3.109672,75.764815
8.348222,0.086163,12.127699,3.306097,3.306097,77.209425
7.511490,0.102641,23.092234,3.192844,3.192844,204.534177
13.377175,0.258781,30.379677,3.214476,3.214476,120.254220
8.834931,0.123452,16.361778,2.997259,2.997259,83.746732
7.721575,0.117363,15.142808,2.978915,2.978915,80.281787
11.635414,0.351807,28.663429,3.680011,3.680011,103.943795
9.583640,0.176827,29.182337,3.365305,3.365305,105.826700
6.662678,0.085765,16.296059,3.539064,3.539064,82.334719
9.802103,0.156121,19.435572,3.509387,3.509387,95.259870
9.091233,0.218105,23.122041,4.136643,4.136643,111.890695
11.483670,0.161946,20.983716,3.163358,3.163358,96.946372
8.024880,0.090158,16.088713,4.386181,4.386181,91.599304
6.599129,0.081536,16.034447,4.917514,4.917514,93.982796
11.941078,0.221029,33.129709,3.793784,3.793784,121.790779
7.912910,0.103569,15.917125,3.529869,3.529869,98.683656
5.327204,0.114545,11.124745,3.987239,3.987239,79.909047
5.928354,0.207824,10.778096,4.194754,4.194754,79.145408
7.333359,0.070498,0.706062,0.003020,0.003020,8.114698
7.947258,0.241202,1.779144,0.002650,0.002650,9.971884
8.013144,0.276867,2.977818,0.575177,0.575177,29.217075
8.797643,0.272254,3.500355,0.548148,0.548148,22.256217
8.267138,0.222125,5.018967,1.630651,1.630651,31.706627
9.314615,0.108943,3.912390,1.041851,1.041851,26.593955
7.161235,0.085010,3.250557,1.991405,1.991405,27.292617
9.994967,0.218598,9.467409,2.058254,2.058254,50.055807
8.814448,0.115162,20.494274,1.963733,1.963733,62.585740
8.602543,0.308830,30.843446,74.637330,74.637330,150.160579
9.487262,0.362082,20.572037,1.300278,1.300278,70.214432
9.290536,0.497296,22.550995,1.263837,1.263837,74.360728
8.806412,0.212383,14.479601,1.556130,1.556130,69.473247
5.757498,0.192839,9.426182,2.170939,2.170939,48.088022
7.192331,0.193006,20.765264,2.055791,2.055791,72.299166
10.994652,0.347473,28.867879,1.886617,1.886617,89.564312
7.683210,0.180529,16.395112,1.925776,1.925776,68.422447
7.821731,0.152112,16.325535,2.146034,2.146034,73.290669
6.489526,0.116639,10.165627,2.308549,2.308549,76.666813
6.619842,0.137252,13.601422,1.828766,1.828766,73.594656
5.773045,0.101142,9.454146,2.289252,2.289252,69.844552
5.446102,0.098137,11.146641,2.955900,2.955900,74.477147
7.008091,0.094533,15.648385,2.975290,2.975290,78.781567
7.265197,0.151043,10.566910,3.034542,3.034542,77.066721
12.805779,0.208709,36.209274,3.133836,3.133836,271.023604
5.912809,0.110710,13.052590,2.867787,2.867787,74.925553
7.526615,0.113259,14.598423,3.094087,3.094087,80.699909
7.125298,0.152914,12.079738,3.494171,3.494171,74.666345
11.588492,0.309510,23.359789,3.373170,3.373170,104.958738
12.250785,0.219248,32.703436,3.209203,3.209203,115.512399
9.406378,0.141118,24.114528,3.134322,3.134322,91.470893
6.749315,0.145606,17.379130,3.748961,3.748961,81.872333
6.656518,0.147082,13.726555,3.037277,3.037277,75.754407
11.967051,0.264957,24.701644,3.571210,3.571210,99.902508
6.847017,0.119046,12.735001,3.203001,3.203001,76.827194
12.226079,0.204672,28.276988,3.163357,3.163357,102.872747
6.482170,0.104104,12.423772,2.751888,2.751888,75.560195
11.389493,0.176727,26.413975,2.880520,2.880520,95.198837
6.953295,0.095006,13.711533,3.396980,3.396980,74.867147
6.961448,0.109196,16.885049,3.942966,3.942966,80.238612
7.047708,0.095911,14.232481,2.770340,2.770340,76.208230
6.671415,0.126610,12.816724,2.671718,2.671718,73.937895
6.202116,0.271347,17.039589,2.472957,2.472957,77.127321
7.531625,0.191822,17.305329,3.484334,3.484334,79.384470
6.909795,0.220542,19.277426,2.697716,2.697716,78.086241
11.075407,0.349129,31.202566,2.935538,2.935538,102.348427
8.828613,0.236112,18.064185,2.789898,2.789898,90.201228
6.056031,0.210165,15.258273,5.249836,5.249836,80.749312
5.612680,0.194645,12.771721,2.307000,2.307000,71.160431
7.111286,0.221295,16.461163,4.153908,4.153908,84.740043
6.145039,0.206268,12.182031,3.345132,3.345132,75.956688
6.440577,0.186387,13.479785,3.256885,3.256885,75.888586
5.740736,0.172302,17.676974,3.237641,3.237641,79.169172
6.584925,0.182928,17.975464,1.961648,1.961648,78.267983
6.498058,0.208740,19.369532,4.125888,4.125888,83.541662
6.282771,0.344759,15.728915,2.442150,2.442150,75.710322
5.916446,0.177696,16.577381,3.369014,3.369014,77.345485
5.349843,0.195839,15.115774,2.169892,2.169892,72.053864
5.185552,0.163705,14.226668,3.140213,3.140213,76.403976
5.684792,0.156558,15.715180,2.978788,2.978788,57.431273
5.255177,0.097449,11.004049,2.665991,2.665991,66.458801
6.340055,0.123558,13.954534,2.133351,2.133351,70.581288
7.674504,0.165698,18.048822,4.367326,4.367326,84.448446
4.933940,0.120610,11.728819,2.025486,2.025486,68.449321
6.186012,0.153791,13.628312,2.951406,2.951406,76.221557
6.443423,0.149879,14.264698,2.903468,2.903468,78.390714
6.562398,0.173834,16.051440,1.875818,1.875818,73.274379
8.174718,0.181905,16.264789,1.752092,1.752092,77.258250
6.197192,0.173624,20.617128,3.014407,3.014407,80.895555
7.172220,0.166455,17.296906,2.956791,2.956791,80.053756
6.913256,0.176197,15.221860,2.124771,2.124771,78.828313
7.880919,0.160274,15.055829,4.701755,4.701755,83.581605
6.665932,0.158459,15.120636,3.473479,3.473479,77.881519
6.990994,0.167818,14.264407,2.665596,2.665596,75.784863
5.973189,0.163555,14.868892,2.743432,2.743432,77.553622
6.666308,0.169073,14.344789,1.751149,1.751149,74.640498
10.084333,0.325005,19.290452,3.997764,3.997764,86.028267
7.232518,0.171879,16.699580,2.574270,2.574270,79.436696
7.515724,0.180777,17.156548,3.148119,3.148119,83.782176
6.274008,0.161166,17.241903,3.011140,3.011140,80.119178
6.228178,0.143560,16.848108,2.501428,2.501428,78.220760
5.921427,0.162884,15.590502,1.933511,1.933511,76.820134
7.705119,0.226599,24.679983,2.809751,2.809751,92.163423
11.543131,0.269114,36.482676,3.607221,3.607221,107.903538
12.050109,0.307240,28.133339,3.952378,3.952378,104.109204
10.447956,0.200585,18.235403,3.198001,3.198001,87.519532
7.026893,0.168218,16.924707,3.014922,3.014922,79.666282
6.461630,0.165187,16.346648,2.140230,2.140230,78.643235
7.877882,0.182163,19.261637,3.071576,3.071576,90.358325
5.665887,0.159381,14.938490,3.496011,3.496011,87.372786
6.837059,0.156211,17.278521,4.040788,4.040788,86.697089
6.937627,0.141365,16.177064,4.159266,4.159266,86.760857
11.082083,0.276345,33.410886,3.070371,3.070371,116.070364
10.744165,0.260400,31.230462,3.121316,3.121316,108.140878
10.638043,0.309810,38.451327,2.804832,2.804832,126.686321
7.736374,0.191921,28.366974,4.864396,4.864396,105.112070
8.534573,0.176366,19.531260,3.290942,3.290942,97.216591
11.315943,0.183141,23.561743,3.660950,3.660950,107.912544
6.253563,0.091353,14.450683,2.830221,2.830221,82.047951
11.136929,0.236875,26.647042,5.289118,5.289118,105.359256
8.406357,0.218094,25.779919,2.650830,2.650830,110.221081
5.425047,0.088924,13.864119,3.572522,3.572522,80.768103
6.587172,0.094056,13.742424,4.197029,4.197029,85.274145
5.805488,0.086425,13.064471,3.150171,3.150171,78.901061
6.685855,0.081955,13.672207,4.059065,4.059065,85.532768
5.342882,0.057731,10.810276,2.850054,2.850054,75.899718
6.980312,0.065498,14.668527,4.304441,4.304441,85.094977
5.602437,0.043546,10.912877,3.819611,3.819611,79.083298
9.338482,0.090768,22.108628,2.382941,2.382941,92.875212
6.243492,0.053859,12.770710,3.791267,3.791267,81.201844
8.948110,0.099171,22.249945,2.798055,2.798055,113.817349
10.259052,0.098854,21.059992,4.171331,4.171331,109.823252
9.188314,0.046272,17.136008,4.389036,4.389036,95.064643
9.921992,0.049622,22.585024,4.868853,4.868853,102.057183
10.079789,0.048069,14.819626,4.797141,4.797141,96.169784
10.046611,0.044132,25.254912,4.212478,4.212478,113.607173
10.067323,0.036262,18.873356,3.936044,3.936044,112.617244
9.571784,0.039073,24.777406,4.946080,4.946080,102.123663
5.928717,0.019786,12.975910,3.853714,3.853714,94.430623
10.491930,0.034863,26.780608,4.560570,4.560570,159.019092
7.219365,0.024158,13.683028,4.341693,4.341693,90.313074
7.996339,0.028167,14.308584,2.729474,2.729474,90.805846
9.555030,0.039726,24.292520,4.434611,4.434611,111.705428
10.094961,0.050386,24.005243,3.746727,3.746727,121.541608
10.287071,0.061469,26.077794,4.693825,4.693825,117.525550
8.315594,0.026849,13.801798,3.909088,3.909088,96.180258
10.038653,0.035866,23.193751,3.075597,3.075597,111.570184
10.672676,0.045376,20.397805,6.273707,6.273707,117.127304
10.828995,0.032296,21.940096,3.838691,3.838691,116.009553
7.553071,0.017267,8.524016,3.668295,3.668295,83.570750
10.829223,0.029252,22.166354,4.718280,4.718280,148.663212
9.909402,0.031620,20.094655,3.006540,3.006540,110.965610
13.251865,0.036700,21.945652,3.580465,3.580465,125.384704
10.402582,0.021279,22.366230,4.052203,4.052203,106.592885
11.048784,0.035483,21.136256,4.273901,4.273901,129.950129
11.041878,0.063152,20.926937,4.070115,4.070115,124.375919
10.529363,0.054525,18.871601,3.052686,3.052686,105.082820
11.496055,0.073988,16.312035,6.389460,6.389460,114.606784
6.269099,0.031489,7.248095,3.832479,3.832479,76.462553
6.166179,0.056319,8.160339,3.702767,3.702767,75.510611
8.021142,0.074064,10.237920,5.476541,5.476541,85.057424
6.449818,0.062786,7.107209,4.004320,4.004320,76.652202
7.093193,0.081786,13.077480,4.936116,4.936116,108.303458
5.567643,0.061379,13.698511,3.689223,3.689223,82.120087
7.238321,0.102868,15.622337,5.611299,5.611299,89.144878
8.251791,0.163881,19.110748,4.255702,4.255702,288.543833
10.790630,0.219705,36.804052,3.111038,3.111038,124.041484
10.284958,0.289360,39.527884,5.412806,5.412806,132.510504
10.930834,0.366402,28.131750,4.043544,4.043544,112.947795
10.753268,0.400914,38.040088,2.602637,2.602637,125.972630
7.644064,0.304373,21.719875,3.338263,3.338263,112.962797
11.075577,0.431684,39.720989,3.279762,3.279762,133.022950
10.731091,0.377892,33.861376,3.376501,3.376501,128.479777
6.422081,0.246923,28.785722,5.281137,5.281137,119.894040
9.698674,0.247915,32.099813,5.633500,5.633500,134.818256
11.529007,0.449310,37.738844,4.186080,4.186080,128.838275
11.597668,0.453357,40.058150,5.278058,5.278058,143.367189
11.043441,0.444111,36.846192,6.656131,6.656131,146.285564
11.771869,0.448077,37.525658,5.885157,5.885157,149.067326
10.902111,0.458030,39.909368,6.100203,6.100203,152.673165
11.176535,0.513778,42.159311,6.251463,6.251463,155.760512
11.374111,0.364868,31.124444,5.954349,5.954349,145.206378
11.333602,0.540974,37.866647,6.818222,6.818222,151.760743
12.132960,0.386328,42.193989,6.381295,6.381295,156.309116
11.581057,0.438064,42.064137,7.141162,7.141162,171.067864
12.305220,0.388225,35.205277,6.261605,6.261605,164.741798
9.345213,0.259025,21.180921,6.698995,6.698995,144.416174
12.815275,0.429184,40.861559,6.746376,6.746376,190.753313
9.598577,0.279957,24.720707,7.457128,7.457128,166.907394
12.534178,0.408438,35.858661,5.874675,5.874675,174.075365
9.389627,0.243722,40.054296,5.966777,5.966777,166.579903
11.661091,0.470700,40.231594,5.093299,5.093299,188.586431
13.146981,0.463484,38.235851,6.734665,6.734665,186.575489
7.067757,0.234429,17.902974,7.812597,7.812597,146.636549
12.318523,0.304530,24.265337,6.139815,6.139815,167.613166
9.962631,0.208848,25.340165,7.014152,7.014152,172.395574
12.799349,0.385372,40.121613,5.827599,5.827599,177.949665
7.724564,0.259053,17.551378,5.978197,5.978197,151.865626
8.639306,0.272828,19.581724,6.434719,6.434719,159.618898
9.543591,0.254165,25.343241,7.145107,7.145107,184.039592
11.188459,0.295840,36.292823,7.076203,7.076203,190.501580
13.655740,0.386489,41.931214,7.218133,7.218133,196.499148
9.429179,0.240836,20.292040,5.976157,5.976157,169.694538
12.693278,0.440347,33.896716,5.616150,5.616150,183.817046
8.519053,0.273501,33.595802,6.953425,6.953425,174.366636
7.591281,0.244012,18.083067,6.471605,6.471605,164.325224
13.921128,0.428124,32.494499,6.631567,6.631567,192.382205
14.181826,0.437160,32.541966,8.594485,8.594485,192.946035
15.214756,0.459104,33.973246,8.648613,8.648613,195.006043
14.124330,0.441110,34.837586,6.374919,6.374919,187.479329
9.254833,0.281095,21.455663,7.493293,7.493293,169.786498
13.462262,0.394988,40.579665,6.834741,6.834741,198.668704
14.600493,0.522386,43.049725,9.385525,9.385525,192.573642
9.596978,0.299227,26.198989,9.676090,9.676090,185.111948
14.661608,0.567421,41.237132,8.272795,8.272795,213.777552
10.291251,0.400173,37.178913,7.821351,7.821351,193.161803
11.845935,0.268327,37.467275,9.513842,9.513842,187.685079
7.377462,0.233859,20.197239,8.416607,8.416607,163.171408
12.298411,0.279503,27.238043,9.303963,9.303963,196.695711
8.425021,0.245606,25.192911,9.615394,9.615394,166.157378
12.167126,0.267038,23.236246,8.431133,8.431133,172.818475
9.394860,0.231542,26.913634,8.561435,8.561435,175.276526
11.520877,0.285081,34.587728,9.374987,9.374987,195.165070
15.749531,0.310988,35.298838,10.292197,10.292197,190.024914
14.546599,0.272466,29.887117,7.947646,7.947646,193.125016
8.595940,0.202014,20.629057,7.922672,7.922672,190.206326
17.690938,0.335196,42.412893,13.780751,13.780751,212.512470
17.475083,0.291810,39.772244,10.497296,10.497296,204.529042
8.608682,0.162329,24.793516,12.464782,12.464782,190.642311
13.570192,0.190861,26.957372,10.363474,10.363474,194.761398
16.576307,0.310963,43.236123,11.067554,11.067554,215.074672
17.136624,0.285004,31.915827,11.174739,11.174739,203.113910
18.082499,0.356660,29.247013,12.099532,12.099532,205.353468
7.744829,0.159103,32.385860,10.196254,10.196254,200.288447
9.473553,0.240509,35.324601,11.750104,11.750104,198.156143
9.511109,0.203224,24.806470,11.488506,11.488506,196.423860
17.215025,0.661016,42.031826,8.607144,8.607144,220.083779
16.611466,0.412871,41.764576,8.114798,8.114798,212.594904
14.216294,0.403512,38.292478,11.182811,11.182811,205.486154
14.397728,0.662245,38.554296,9.999481,9.999481,194.979118
14.005470,0.479199,37.437435,10.686744,10.686744,198.192864
9.921471,0.334918,23.627927,10.791020,10.791020,197.334273
14.089237,0.598194,35.096650,9.627741,9.627741,195.322798
11.630264,0.514579,37.552871,9.138087,9.138087,196.233296
13.576088,0.469407,41.301156,8.657789,8.657789,215.033310
13.641441,0.474479,40.950972,9.173222,9.173222,214.191706
14.343835,0.452513,40.981639,11.344097,11.344097,218.651472
7.443564,0.255186,21.344087,9.059039,9.059039,185.985899
13.622654,0.470463,43.119965,10.305270,10.305270,212.551301
12.127467,0.330536,35.455522,8.475518,8.475518,211.781986
15.430172,0.536378,28.419723,5.985374,5.985374,185.890516
8.092596,0.300717,29.856078,8.843368,8.843368,182.969603
15.302581,0.441257,42.041268,7.987024,7.987024,208.345174
12.368129,0.230182,22.635915,8.631655,8.631655,170.380503
6.805258,0.227259,23.500320,8.885041,8.885041,169.877705
8.402691,0.257426,24.562328,7.638092,7.638092,165.331242
7.243792,0.273056,24.528045,7.366919,7.366919,176.012843
13.276152,0.289301,34.142906,10.763358,10.763358,197.622348
6.598455,0.319569,22.082693,9.053891,9.053891,162.886994
13.750681,0.400082,35.038971,10.441185,10.441185,196.104060
9.819329,0.248111,34.149896,7.584880,7.584880,187.230014
6.519025,0.169778,16.454157,9.014499,9.014499,157.097929
7.831724,0.199153,22.667559,8.541731,8.541731,175.820833
12.708497,0.354809,33.622136,8.240211,8.240211,179.486735
13.077390,0.361655,42.044375,9.268155,9.268155,200.401348
7.900527,0.216634,19.759988,7.420334,7.420334,158.338350
12.973921,0.497970,41.083973,7.656662,7.656662,192.955789
13.556606,0.334423,26.676603,8.192983,8.192983,168.820531
9.181851,0.219839,24.804272,8.360761,8.360761,162.977043
13.268076,0.266944,28.753328,7.951328,7.951328,167.396091
12.656099,0.340449,28.017136,9.064421,9.064421,163.123244
9.491248,0.252009,27.716466,6.668923,6.668923,158.145139
8.167922,0.231135,25.473878,7.958467,7.958467,155.143323
11.476172,0.359465,40.217167,7.113984,7.113984,182.895131
6.624393,0.240631,20.340441,8.276911,8.276911,154.003772
9.514978,0.297594,32.647404,7.255118,7.255118,185.052908
10.337473,0.428274,37.609085,7.138192,7.138192,180.370791
10.875108,0.414334,36.596928,6.983154,6.983154,181.754623
10.703156,0.427538,29.061285,6.988869,6.988869,182.449022
6.537429,0.246569,15.099641,6.864557,6.864557,136.739284
9.535455,0.392951,34.886370,6.978637,6.978637,156.013189
10.229283,0.515312,33.996590,5.081627,5.081627,165.940794
6.456926,0.297912,14.418959,6.681237,6.681237,134.190800
7.096340,0.354147,22.054733,7.333143,7.333143,146.459265
8.476091,0.343210,21.842625,7.523296,7.523296,146.813455
7.049875,0.216168,15.637584,6.442430,6.442430,127.288207
6.212016,0.250476,25.576082,7.759100,7.759100,136.777092
9.639867,0.283018,24.590745,6.222850,6.222850,144.148943
12.150163,0.383648,27.623590,6.951846,6.951846,155.390998
12.056646,0.369245,29.786307,6.263309,6.263309,156.435102
7.587768,0.237884,25.705386,8.551918,8.551918,148.970993
12.652093,0.436343,39.133462,6.116669,6.116669,175.937876
13.049763,0.413418,40.989434,8.043602,8.043602,179.097860
13.295668,0.422924,43.471975,7.763108,7.763108,180.485027
13.712683,0.459923,41.871978,7.289309,7.289309,183.347742
8.150765,0.243900,20.317674,6.794957,6.794957,141.452846
13.674199,0.348735,35.259676,7.008144,7.008144,168.751666
9.586258,0.250755,28.400881,10.832597,10.832597,155.853243
12.758110,0.363982,39.372379,6.114980,6.114980,171.354211
9.405003,0.219659,30.829412,8.825975,8.825975,158.246759
8.032093,0.227265,22.930281,10.793976,10.793976,150.803822
8.847713,0.250766,27.855717,7.780492,7.780492,162.235577
7.174877,0.190294,21.684629,8.129296,8.129296,155.303077
7.336617,0.198356,20.695871,9.014302,9.014302,155.416574
7.318132,0.211689,22.982553,7.204592,7.204592,221.348338
10.073048,0.190332,33.795257,8.514546,8.514546,169.565470
12.384308,0.350175,45.363913,8.472649,8.472649,196.355794
7.420443,0.216670,20.891376,8.988706,8.988706,163.545945
