#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.284180,0.032971,0.304103,0.006040,0.006040,5.631995
8.165399,0.211224,3.780450,0.002350,0.002350,12.162133
7.963448,0.342387,3.758710,0.177528,0.177528,18.956233
8.402153,0.224607,4.614082,0.328208,0.328208,23.219802
7.594345,0.203034,10.401302,0.340361,0.340361,30.689023
7.917902,0.286106,12.366335,0.548534,0.548534,41.235613
7.201362,0.211078,7.466083,0.379204,0.379204,26.616925
7.240287,0.319789,10.078863,0.541994,0.541994,33.758061
8.080848,0.233883,10.508692,0.675398,0.675398,38.087811
8.375937,0.264119,17.080492,41.484462,41.484462,103.490783
5.125634,0.087292,7.929368,0.449178,0.449178,40.336076
5.603844,0.093298,8.122414,0.881823,0.881823,29.838616
5.125994,0.105681,11.311066,0.723361,0.723361,39.571574
9.486290,0.161573,16.284581,1.027592,1.027592,50.993236
6.557513,0.121300,12.373294,0.931666,0.931666,48.980805
9.448748,0.104659,13.871654,1.131360,1.131360,55.924329
5.625669,0.131718,12.687597,1.348188,1.348188,52.793341
6.012072,0.124052,12.013613,1.162692,1.162692,56.027696
10.561311,0.241358,25.617617,1.498052,1.498052,77.816817
5.833527,0.159712,16.079943,1.674022,1.674022,67.000452
6.605696,0.125733,16.311264,1.949891,1.949891,75.504079
8.087732,0.197352,16.105236,2.375558,2.375558,73.147138
9.005901,0.216188,16.981538,2.557621,2.557621,83.354229
7.835066,0.115693,17.125544,2.660662,2.660662,77.587733
7.451794,0.159547,21.842501,2.550993,2.550993,81.030704
11.169939,0.174293,17.917840,3.274379,3.274379,85.825047
7.989088,0.127908,19.705540,2.488851,2.488851,76.535190
7.266629,0.122605,16.679994,2.475385,2.475385,72.566443
6.693796,0.080655,14.104538,2.314109,2.314109,69.270661
6.364553,0.087546,13.296992,2.198322,2.198322,79.960902
6.282259,0.080603,11.915569,2.378915,2.378915,65.172230
8.221944,0.088324,14.337357,2.441674,2.441674,69.872176
11.433392,0.134670,30.559280,2.428428,2.428428,90.857172
6.687554,0.099524,15.869957,2.107989,2.107989,76.033243
5.738333,0.112997,18.532196,2.108314,2.108314,73.424122
8.935797,0.173381,17.285323,2.353680,2.353680,74.369783
5.732312,0.131620,15.072736,2.255867,2.255867,80.600033
6.030404,0.147992,15.438206,2.218081,2.218081,76.373201
8.576460,0.188768,16.927520,2.595189,2.595189,205.771369
8.281503,0.256005,16.541281,2.256975,2.256975,78.688640
5.837918,0.083258,13.689998,2.264114,2.264114,75.730078
8.048516,0.172377,18.145737,2.351260,2.351260,77.567589
7.852633,0.147790,17.241149,2.706607,2.706607,76.612911
6.255822,0.116331,15.434543,2.705552,2.705552,83.990297
5.420927,0.103701,12.763105,3.194308,3.194308,71.304685
5.950933,0.037791,0.374106,0.001845,0.001845,6.365857
7.561129,0.235300,1.793959,0.002623,0.002623,9.594741
8.875644,0.401355,2.564941,0.524476,0.524476,26.192793
8.852798,0.326995,3.587073,0.737330,0.737330,25.577657
9.109783,0.227334,3.313189,0.618510,0.618510,22.326826
9.488137,0.249510,5.843243,1.463977,1.463977,38.207271
9.574492,0.244137,17.036781,0.956637,0.956637,62.770953
9.144584,0.301555,15.071214,1.155775,1.155775,68.669568
10.163376,0.342134,23.397546,1.329644,1.329644,66.067937
10.431133,0.302857,25.271980,34.133452,34.133452,100.827747
5.883389,0.160067,9.883797,1.215056,1.215056,39.862716
5.760199,0.167021,20.021126,0.930181,0.930181,61.862324
9.363946,0.241235,13.349890,1.256432,1.256432,67.258075
11.560284,0.404837,21.546801,1.303364,1.303364,71.374880
6.355258,0.128864,15.312320,1.449841,1.449841,70.739498
9.767673,0.175380,19.070394,1.767004,1.767004,72.222188
8.013496,0.202006,16.865768,2.009094,2.009094,70.583849
7.950750,0.174531,15.536177,1.736900,1.736900,72.485768
