#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,18.353544,4.278852,0.002767,8.249367,4.177812,0.001672,25.085313
1403636579813555456.000000,0.000000,0.000000,13.801501,3.263478,0.060969,0.811621,2.024736,0.000447,20.301537
1403636579863555584.000000,0.000000,0.000000,12.847701,2.749995,0.054208,1.380821,2.205447,0.000831,18.178321
1403636579913555456.000000,0.000000,0.000000,13.547305,5.376355,0.073026,0.723711,2.051777,0.000503,22.204893
1403636579963555584.000000,0.000000,0.000000,14.792430,3.220440,0.051897,1.424424,4.903412,0.635877,21.268486
1403636580013555456.000000,0.000000,0.000000,14.517234,7.072568,0.094229,1.200316,2.380039,0.000400,37.541211
1403636580063555584.000000,0.000000,0.000000,13.108529,2.866469,0.106915,1.752334,5.605898,0.000758,22.219970
1403636580113555456.000000,0.000000,0.000000,14.024963,5.315182,0.084814,0.846567,2.906621,0.000591,26.328750
1403636580163555584.000000,0.000000,0.000000,13.783684,2.881050,0.061933,1.264963,5.096474,0.000556,22.928290
1403636580213555456.000000,0.000000,0.000000,14.348125,6.944036,0.209104,0.490152,2.253663,0.262738,32.085726
1403636580263555584.000000,0.000000,0.000000,14.855968,5.820845,0.067817,1.704686,2.606883,0.000860,27.485118
1403636580313555456.000000,0.000000,0.000000,14.148740,6.195175,0.115440,0.512104,1.368795,0.000507,31.322412
1403636580363555584.000000,0.000000,0.000000,14.058386,5.664804,0.061968,0.538462,1.438750,0.000424,26.357552
1403636580413555456.000000,0.000000,0.000000,14.133277,6.262153,0.108765,1.160893,3.210561,0.000635,30.490870
1403636580463555584.000000,0.000000,0.000000,12.774840,2.284480,0.049896,1.246563,3.621885,0.606972,21.327090
1403636580513555456.000000,0.000000,0.000000,14.450415,4.622364,0.080992,1.195872,1.635247,0.000596,27.126565
1403636580563555584.000000,0.000000,0.000000,12.919801,1.819147,0.074247,1.746923,4.231066,0.000640,19.846095
1403636580613555456.000000,0.000000,0.000000,13.664114,2.030267,0.073950,0.699954,1.574694,0.000508,20.580887
1403636580663555584.000000,0.000000,0.000000,12.646011,5.971189,0.129273,0.721466,1.670342,0.000415,26.243978
1403636580713555456.000000,0.000000,0.000000,13.058257,6.279067,0.128747,0.823541,1.967210,0.524456,28.877711
1403636580763555584.000000,0.000000,0.000000,12.949733,3.167944,0.055974,3.477456,4.803431,0.000712,22.516688
1403636580813555456.000000,0.000000,0.000000,14.616910,7.017915,0.126490,1.037374,2.529400,0.000618,31.180820
1403636580863555584.000000,0.000000,0.000000,13.147946,2.943331,0.062313,1.509210,4.493628,0.000718,21.991816
1403636580913555456.000000,0.000000,0.000000,13.655781,3.260004,0.064933,0.870772,2.481438,0.000429,22.273942
1403636580963555584.000000,0.000000,0.000000,15.362381,7.085994,0.052962,0.729948,2.501086,0.452842,29.288026
1403636581013555456.000000,0.000000,0.000000,13.962237,7.130841,0.165008,1.954411,3.270387,0.000486,33.081306
1403636581063555584.000000,0.000000,0.000000,13.314156,3.096021,0.059841,1.450977,3.384403,0.000761,22.801981
1403636581113555456.000000,0.000000,0.000000,14.827275,6.868764,0.117039,1.610305,3.389106,0.000558,31.172447
1403636581163555584.000000,0.000000,0.000000,12.450059,3.460672,0.073559,2.205949,5.006996,0.000541,22.490308
1403636581213555456.000000,0.000000,0.000000,14.322456,3.558811,0.072099,1.815626,5.763617,0.614241,25.250749
1403636581263555584.000000,0.000000,0.000000,12.719360,3.885071,0.068597,1.960818,3.202988,0.000512,25.465683
1403636581313555456.000000,0.000000,0.000000,13.489700,3.707540,0.076847,1.402012,3.737280,0.000509,26.013478
1403636581363555584.000000,0.000000,0.000000,14.581435,4.037455,0.067923,1.304060,3.433139,0.000439,26.738795
1403636581413555456.000000,0.000000,0.000000,13.567614,5.982931,0.140743,1.314357,3.327600,0.000389,30.222008
