#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.009110,3,1,0,577
0.001688,4,1,0,767
0.203955,5,1,0,963
0.217914,6,1,0,1185
0.597405,7,1,0,1309
0.482282,7,1,0,1274
0.487036,9,1,0,1477
1.148552,10,1,0,1875
0.889964,0,0,0,0
35.850417,0,0,0,0
0.610406,0,0,0,0
0.648643,0,0,0,0
0.802264,0,0,0,0
0.940455,0,0,0,0
1.137169,0,0,0,0
1.222420,0,0,0,0
1.179338,0,0,0,0
1.428540,0,0,0,0
1.603008,0,0,0,0
1.653830,0,0,0,0
2.734000,0,0,0,0
2.289121,0,0,0,0
2.281639,0,0,0,0
2.460732,0,0,0,0
2.481198,0,0,0,0
2.249737,0,0,0,0
2.717993,0,0,0,0
2.304022,0,0,0,0
2.234860,0,0,0,0
2.674512,0,0,0,0
2.430788,0,0,0,0
2.470017,0,0,0,0
2.261481,0,0,0,0
2.288976,0,0,0,0
2.265070,0,0,0,0
2.185733,0,0,0,0
2.259736,0,0,0,0
2.464483,0,0,0,0
2.269853,0,0,0,0
3.412303,0,0,0,0
2.468983,0,0,0,0
2.339412,0,0,0,0
2.329816,0,0,0,0
2.281919,0,0,0,0
2.420302,0,0,0,0
2.122956,0,0,0,0
2.399070,0,0,0,0
2.469752,0,0,0,0
2.382635,0,0,0,0
1.780317,0,0,0,0
2.491479,0,0,0,0
2.472015,0,0,0,0
2.438613,0,0,0,0
2.116223,0,0,0,0
3.816442,0,0,0,0
2.622444,0,0,0,0
3.642730,0,0,0,0
3.314402,0,0,0,0
3.230327,0,0,0,0
3.517714,0,0,0,0
3.666642,0,0,0,0
2.652703,0,0,0,0
2.076736,0,0,0,0
4.794074,3,1,0,679
2.708525,4,1,0,875
0.002946,5,1,0,1166
0.003020,6,1,0,1383
0.002543,7,1,0,1644
0.484401,8,1,0,1913
0.699062,9,1,0,2252
0.973279,10,1,0,2398
1.094143,0,0,0,0
1.244587,0,0,0,0
1.338976,0,0,0,0
1.420178,0,0,0,0
54.283152,0,0,0,0
0.979083,0,0,0,0
1.172147,0,0,0,0
0.843127,0,0,0,0
1.034674,0,0,0,0
1.198730,0,0,0,0
1.216055,0,0,0,0
1.365126,0,0,0,0
2.631862,0,0,0,0
1.254469,0,0,0,0
1.385451,0,0,0,0
1.796465,0,0,0,0
2.294419,0,0,0,0
2.247012,0,0,0,0
3.708082,0,0,0,0
2.424658,0,0,0,0
2.643396,3,1,0,599
2.088786,3,1,0,521
2.290708,3,2,0,446
2.643381,4,2,0,531
1.918318,6,1,0,715
0.003253,7,1,0,934
0.002763,8,1,0,1098
0.458635,5,6,0,993
0.268203,0,0,0,0
0.299012,0,0,0,0
0.576096,0,0,0,0
0.610961,0,0,0,0
0.568547,0,0,0,0
0.580156,0,0,0,0
31.529096,0,0,0,0
0.575067,0,0,0,0
0.404533,0,0,0,0
0.494326,0,0,0,0
0.465375,0,0,0,0
0.896408,0,0,0,0
1.282232,0,0,0,0
0.759170,0,0,0,0
0.831339,0,0,0,0
0.839147,0,0,0,0
1.563233,0,0,0,0
1.026670,0,0,0,0
1.693349,0,0,0,0
1.556157,0,0,0,0
1.062806,0,0,0,0
1.265463,0,0,0,0
2.033362,0,0,0,0
1.177946,0,0,0,0
0.908061,0,0,0,0
1.011990,0,0,0,0
0.817690,0,0,0,0
1.389911,0,0,0,0
1.222534,0,0,0,0
1.610658,0,0,0,0
2.097229,0,0,0,0
1.978147,0,0,0,0
3.137487,0,0,0,0
4.091586,0,0,0,0
2.579283,0,0,0,0
3.549856,0,0,0,0
1.983664,0,0,0,0
2.922873,0,0,0,0
2.123104,0,0,0,0
1.729143,0,0,0,0
2.208277,0,0,0,0
2.599744,0,0,0,0
2.732413,0,0,0,0
1.808138,0,0,0,0
2.259427,0,0,0,0
1.257596,0,0,0,0
2.063123,0,0,0,0
2.170679,0,0,0,0
2.926950,0,0,0,0
2.183775,0,0,0,0
2.408395,0,0,0,0
1.967839,0,0,0,0
1.975761,0,0,0,0
1.944105,0,0,0,0
2.514815,0,0,0,0
2.146379,0,0,0,0
3.494238,0,0,0,0
1.441630,0,0,0,0
2.976731,0,0,0,0
2.479581,0,0,0,0
2.572861,0,0,0,0
2.435726,0,0,0,0
2.025815,0,0,0,0
1.521432,0,0,0,0
2.251164,0,0,0,0
3.933531,0,0,0,0
1.424761,0,0,0,0
2.412768,0,0,0,0
2.211958,0,0,0,0
1.909123,0,0,0,0
3.458305,0,0,0,0
2.497992,0,0,0,0
2.309901,0,0,0,0
2.107050,0,0,0,0
3.669929,0,0,0,0
2.651973,0,0,0,0
2.438812,0,0,0,0
1.965383,0,0,0,0
2.375942,0,0,0,0
2.049827,0,0,0,0
2.868207,3,1,0,467
2.508718,4,1,0,593
2.033779,5,1,0,740
2.621721,6,1,0,917
2.099481,7,1,0,1070
4.121129,8,1,0,1306
1.706514,9,1,0,1507
0.001913,10,1,0,1654
0.003120,0,0,0,0
0.173781,0,0,0,0
